dataset,threshold,n_runs,mean_selective_test_acc,std_selective_test_acc,mean_delta_vs_mlp,std_delta_vs_mlp,wins_vs_mlp,losses_vs_mlp,ties_vs_mlp,avg_uncertain,avg_changed
chameleon,0.05,10,0.46074561403508774,0.01582750050505801,0.001315783722358832,0.003425545927800687,5,5,0,0.02675438596491228,0.010087719298245614
chameleon,0.25,10,0.45921052631578946,0.01787516129150423,-0.00021930399693941837,0.008905237269277253,6,4,0,0.19144736842105264,0.02521929824561403
chameleon,0.65,10,0.45921052631578946,0.01749444796068344,-0.00021930399693941837,0.008289938140271657,5,5,0,0.4385964912280701,0.026096491228070173
wisconsin,0.05,10,0.8529411764705882,0.04136279041123329,-0.003921577159096223,0.011764703817617074,0,10,0,0.013725490196078433,0.0058823529411764705
wisconsin,0.25,10,0.8470588235294118,0.049449098874190155,-0.009803930100272706,0.015808348163671635,0,10,0,0.0823529411764706,0.01764705882352941
wisconsin,0.65,10,0.8450980392156863,0.0507157535544218,-0.011764714413998189,0.01568627439293235,0,10,0,0.2215686274509804,0.019607843137254898
