dataset,threshold,avg_uncertain,avg_changed,mean_delta_vs_mlp
chameleon,0.05,0.02675438596491228,0.010087719298245614,0.001315783722358832
chameleon,0.25,0.19144736842105264,0.02521929824561403,-0.00021930399693941837
chameleon,0.65,0.4385964912280701,0.026096491228070173,-0.00021930399693941837
wisconsin,0.05,0.013725490196078433,0.0058823529411764705,-0.003921577159096223
wisconsin,0.25,0.0823529411764706,0.01764705882352941,-0.009803930100272706
wisconsin,0.65,0.2215686274509804,0.019607843137254898,-0.011764714413998189
