method,dataset,n_splits,mean_test_acc,std_test_acc,mean_runtime_sec,mean_n_hurt
APPNP,actor,10,0.341513,0.010633,716.9270,
APPNP,chameleon,10,0.527632,0.025390,425.4379,
APPNP,citeseer,10,0.767137,0.014956,260.6956,
APPNP,cora,10,0.880684,0.013747,348.9658,
APPNP,cornell,10,0.475676,0.060030,124.3796,
APPNP,squirrel,10,0.393852,0.014998,1190.9964,
APPNP,texas,10,0.589189,0.055242,155.7027,
APPNP,wisconsin,10,0.570588,0.028414,149.3712,
CLP,actor,10,0.340197,0.015365,219.8222,
CLP,chameleon,10,0.471053,0.041271,205.4243,
CLP,citeseer,10,0.751480,0.017712,190.7591,
CLP,cora,10,0.825352,0.015200,300.1880,
CLP,cornell,10,0.759459,0.039166,110.9436,
CLP,squirrel,10,0.237080,0.037511,230.5414,
CLP,texas,10,0.794595,0.052839,158.3231,
CLP,wisconsin,10,0.856863,0.043404,125.5301,
CORRECT_AND_SMOOTH,actor,10,0.255921,0.013720,222.3656,
CORRECT_AND_SMOOTH,chameleon,10,0.491009,0.025332,207.6833,
CORRECT_AND_SMOOTH,citeseer,10,0.773163,0.013519,191.1274,
CORRECT_AND_SMOOTH,cora,10,0.878270,0.012448,296.4427,
CORRECT_AND_SMOOTH,cornell,10,0.721622,0.025640,111.3917,
CORRECT_AND_SMOOTH,squirrel,10,0.334390,0.013198,248.2353,
CORRECT_AND_SMOOTH,texas,10,0.789189,0.070708,154.8823,
CORRECT_AND_SMOOTH,wisconsin,10,0.815686,0.051630,126.5562,
GRAPHSAGE,actor,10,0.351053,0.006775,370.8985,
GRAPHSAGE,chameleon,10,0.633553,0.025332,507.6306,
GRAPHSAGE,citeseer,10,0.760552,0.011900,358.6064,
GRAPHSAGE,cora,10,0.869819,0.008162,453.9130,
GRAPHSAGE,cornell,10,0.705405,0.062999,270.7993,
GRAPHSAGE,squirrel,10,0.455427,0.017424,819.0377,
GRAPHSAGE,texas,10,0.824324,0.067718,657.8603,
GRAPHSAGE,wisconsin,10,0.741176,0.067165,305.2218,
MLP_ONLY,actor,10,0.343882,0.006942,138.2931,
MLP_ONLY,chameleon,10,0.466447,0.022437,141.4296,
MLP_ONLY,citeseer,10,0.680529,0.019525,113.4938,
MLP_ONLY,cora,10,0.705634,0.029343,153.3975,
MLP_ONLY,cornell,10,0.713514,0.055827,76.8778,
MLP_ONLY,squirrel,10,0.321326,0.014904,153.0039,
MLP_ONLY,texas,10,0.805405,0.070708,107.1076,
MLP_ONLY,wisconsin,10,0.843137,0.044329,92.7192,
SGC,actor,10,0.293421,0.010016,30.6142,
SGC,chameleon,10,0.625219,0.019408,43.4612,
SGC,citeseer,10,0.765077,0.016529,25.6951,
SGC,cora,10,0.868008,0.008703,38.2835,
SGC,cornell,10,0.486486,0.064965,9.7333,
SGC,squirrel,10,0.452930,0.019761,65.5677,
SGC,texas,10,0.567568,0.064965,6.9388,
SGC,wisconsin,10,0.535294,0.070425,24.0286,
