dataset,split_id,method,seed,test_acc,train_acc_last_epoch,val_acc_last_epoch,runtime_sec,n_parameters,device,git_rev,output_tag,hyperparameters_json
cora,0,djgnn,133700,0.8551307847082495,0.9991610738255033,0.8454773869346733,8932.803587559029,1032187,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__cora,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.01, ""wd"": 0.0005, ""epochs"": 500, ""n_layers"": 10, ""num_centers"": 5}"
cora,1,djgnn,133800,0.8812877263581489,1.0,0.8567839195979899,8784.277890058933,1032187,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__cora,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.01, ""wd"": 0.0005, ""epochs"": 500, ""n_layers"": 10, ""num_centers"": 5}"
cora,2,djgnn,133900,0.8893360160965795,0.9949664429530202,0.8505025125628141,8908.216203670017,1032187,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__cora,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.01, ""wd"": 0.0005, ""epochs"": 500, ""n_layers"": 10, ""num_centers"": 5}"
cora,3,djgnn,134000,0.8792756539235412,0.99748322147651,0.8517587939698492,9407.482675634907,1032187,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__cora,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.01, ""wd"": 0.0005, ""epochs"": 500, ""n_layers"": 10, ""num_centers"": 5}"
cora,4,djgnn,134100,0.8913480885311871,0.99748322147651,0.8467336683417085,9140.606124654063,1032187,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__cora,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.01, ""wd"": 0.0005, ""epochs"": 500, ""n_layers"": 10, ""num_centers"": 5}"
cora,5,djgnn,134200,0.8611670020120724,0.9983221476510067,0.8542713567839196,9167.08885016106,1032187,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__cora,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.01, ""wd"": 0.0005, ""epochs"": 500, ""n_layers"": 10, ""num_centers"": 5}"
cora,6,djgnn,134300,0.869215291750503,0.9991610738255033,0.8869346733668342,8842.82546232699,1032187,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__cora,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.01, ""wd"": 0.0005, ""epochs"": 500, ""n_layers"": 10, ""num_centers"": 5}"
cora,7,djgnn,134400,0.8772635814889336,1.0,0.8618090452261307,8570.294860527036,1032187,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__cora,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.01, ""wd"": 0.0005, ""epochs"": 500, ""n_layers"": 10, ""num_centers"": 5}"
cora,8,djgnn,134500,0.8893360160965795,0.99748322147651,0.8592964824120602,7969.733973621973,1032187,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__cora,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.01, ""wd"": 0.0005, ""epochs"": 500, ""n_layers"": 10, ""num_centers"": 5}"
cora,9,djgnn,134600,0.8812877263581489,0.9966442953020134,0.8567839195979899,8780.59225306299,1032187,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__cora,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.01, ""wd"": 0.0005, ""epochs"": 500, ""n_layers"": 10, ""num_centers"": 5}"
