dataset,split_id,method,seed,test_acc,train_acc_last_epoch,val_acc_last_epoch,runtime_sec,n_parameters,device,git_rev,output_tag,hyperparameters_json
wisconsin,0,djgnn,133700,0.8627450980392157,1.0,0.875,4539.789861447993,661687,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__wisconsin,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.03, ""wd"": 0.0005, ""epochs"": 700, ""n_layers"": 5, ""num_centers"": 5}"
wisconsin,1,djgnn,133800,0.9215686274509803,0.9916666666666667,0.7875,4481.0996533059515,661687,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__wisconsin,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.03, ""wd"": 0.0005, ""epochs"": 700, ""n_layers"": 5, ""num_centers"": 5}"
wisconsin,2,djgnn,133900,0.9411764705882353,0.975,0.875,4533.840237749973,661687,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__wisconsin,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.03, ""wd"": 0.0005, ""epochs"": 700, ""n_layers"": 5, ""num_centers"": 5}"
wisconsin,3,djgnn,134000,0.9607843137254902,0.9833333333333333,0.75,4757.909720464959,661687,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__wisconsin,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.03, ""wd"": 0.0005, ""epochs"": 700, ""n_layers"": 5, ""num_centers"": 5}"
wisconsin,4,djgnn,134100,0.9607843137254902,1.0,0.775,4759.999846877065,661687,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__wisconsin,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.03, ""wd"": 0.0005, ""epochs"": 700, ""n_layers"": 5, ""num_centers"": 5}"
wisconsin,5,djgnn,134200,0.9215686274509803,0.9916666666666667,0.8,4747.626660384005,661687,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__wisconsin,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.03, ""wd"": 0.0005, ""epochs"": 700, ""n_layers"": 5, ""num_centers"": 5}"
wisconsin,6,djgnn,134300,0.9411764705882353,0.9833333333333333,0.8375,4755.898548512021,661687,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__wisconsin,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.03, ""wd"": 0.0005, ""epochs"": 700, ""n_layers"": 5, ""num_centers"": 5}"
wisconsin,7,djgnn,134400,0.9215686274509803,0.9833333333333333,0.8875,4763.724131059018,661687,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__wisconsin,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.03, ""wd"": 0.0005, ""epochs"": 700, ""n_layers"": 5, ""num_centers"": 5}"
wisconsin,8,djgnn,134500,0.9215686274509803,0.9916666666666667,0.8375,4685.298977507977,661687,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__wisconsin,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.03, ""wd"": 0.0005, ""epochs"": 700, ""n_layers"": 5, ""num_centers"": 5}"
wisconsin,9,djgnn,134600,0.9607843137254902,0.9916666666666667,0.85,4658.1602296821075,661687,cpu,647d0d0ce32ff7b46dda93393452580095885df3,djgnn_all_20260403_154645__wisconsin,"{""hidden_channels"": 64, ""dropout"": 0.5, ""lr"": 0.03, ""wd"": 0.0005, ""epochs"": 700, ""n_layers"": 5, ""num_centers"": 5}"
