method,dataset,split_id,repeat_id,seed,success,notes,dataset_root,split_file,num_nodes,num_edges,num_classes,train_count,val_count,test_count,graph_symmetrized,self_loops_added,features_normalized_for_propagation,graph_treated_as_undirected,tuning_runtime_sec,method_runtime_sec,total_runtime_sec,parameter_source,parameter_tuning_target_method,tuned_separately_for_this_method,is_distinct_method_variant,parent_method,val_acc,test_acc,mlp_hidden,mlp_layers,mlp_dropout,mlp_lr,mlp_weight_decay,mlp_epochs,a_values,selected_threshold_high,selected_weights,fraction_test_nodes_uncertain,fraction_test_nodes_changed_from_mlp,acc_test_confident_nodes,acc_test_uncertain_nodes,feature_knn_used,feature_knn_k,avg_runtime_overhead_over_mlp_sec,diagnostics_path
mlp_only,texas,0,0,133700,True,,data/,/workspace/data/geom-gcn-splits/texas_split_0.6_0.2_0.npz,183,574,5,87,59,37,True,False,True,True,0.21411339200858492,8.893400081433356e-05,0.21420232600939926,mlp_only_self_tuned,mlp_only,True,True,,0.7796609997749329,0.7567567825317383,64,2,0.5,0.01,0.0005,200,,,,,,,,,,,
prop_only,texas,0,0,133700,True,,data/,/workspace/data/geom-gcn-splits/texas_split_0.6_0.2_0.npz,183,574,5,87,59,37,True,False,True,True,2.4211941370012937,0.02713886499986984,2.4483330020011635,tuned_on_predictclass_then_reused,predictclass,True,True,,0.5932203389830508,0.5675675675675675,,,,,,,"[0.47604431089474164, -0.2719624403212464, 0.07360155249805861, 0.08631796591003948, 0.026474857943067764, 0.01329774199754118, 0.8820629394376571, 1.2404974457996838]",,,,,,,,,,
selective_graph_correction,texas,0,0,133700,True,,data/,/workspace/data/geom-gcn-splits/texas_split_0.6_0.2_0.npz,183,574,5,87,59,37,True,False,True,True,0.002894813005696051,0.00708472600672394,0.009979539012419991,validation_selected_threshold_and_weights,selective_graph_correction,True,True,mlp_only,0.7966101694915254,0.7567567567567568,,,,,,,,0.05,"{'b1': 1.0, 'b2': 0.6, 'b3': 0.0, 'b4': 0.5, 'b5': 0.3}",0.02702702702702703,0.0,0.7777777777777778,0.0,False,5,0.009979539012419991,logs/texas_selective_graph_correction_split0_rep0.json
mlp_only,texas,1,0,133800,True,,data/,/workspace/data/geom-gcn-splits/texas_split_0.6_0.2_1.npz,183,574,5,87,59,37,True,False,True,True,0.21277552499668673,9.159899491351098e-05,0.21286712399160024,mlp_only_self_tuned,mlp_only,True,True,,0.8135592937469482,0.8918918967247009,64,2,0.5,0.01,0.0005,200,,,,,,,,,,,
prop_only,texas,1,0,133800,True,,data/,/workspace/data/geom-gcn-splits/texas_split_0.6_0.2_1.npz,183,574,5,87,59,37,True,False,True,True,2.413200699011213,0.0270984730013879,2.440299172012601,tuned_on_predictclass_then_reused,predictclass,True,True,,0.5423728813559322,0.6216216216216216,,,,,,,"[0.06354613952348165, -0.36411880858996704, 0.18705148755009182, 0.13804516674321193, 0.001413536624089362, 0.012558845769623307, 0.7843371684129363, 0.7729640073507053]",,,,,,,,,,
selective_graph_correction,texas,1,0,133800,True,,data/,/workspace/data/geom-gcn-splits/texas_split_0.6_0.2_1.npz,183,574,5,87,59,37,True,False,True,True,0.0013355970004340634,0.006957067016628571,0.008292664017062634,validation_selected_threshold_and_weights,selective_graph_correction,True,True,mlp_only,0.8305084745762712,0.8918918918918919,,,,,,,,0.05,"{'b1': 1.0, 'b2': 0.6, 'b3': 0.0, 'b4': 0.5, 'b5': 0.3}",0.02702702702702703,0.0,0.9166666666666666,0.0,False,5,0.008292664017062634,logs/texas_selective_graph_correction_split1_rep0.json
mlp_only,texas,2,0,133900,True,,data/,/workspace/data/geom-gcn-splits/texas_split_0.6_0.2_2.npz,183,574,5,87,59,37,True,False,True,True,0.21229442898766138,7.729999197181314e-05,0.2123717289796332,mlp_only_self_tuned,mlp_only,True,True,,0.7966101765632629,0.8108108043670654,64,2,0.5,0.01,0.0005,200,,,,,,,,,,,
prop_only,texas,2,0,133900,True,,data/,/workspace/data/geom-gcn-splits/texas_split_0.6_0.2_2.npz,183,574,5,87,59,37,True,False,True,True,2.4615566590073286,0.026542057006736286,2.488098716014065,tuned_on_predictclass_then_reused,predictclass,True,True,,0.6101694915254238,0.5135135135135135,,,,,,,"[0.2958674507597185, -0.30266208404969264, 0.08239341316662019, 0.3679791350947433, 0.15893344110040317, 0.0008348377910102567, 0.41354173117725324, 1.4160319027970014]",,,,,,,,,,
selective_graph_correction,texas,2,0,133900,True,,data/,/workspace/data/geom-gcn-splits/texas_split_0.6_0.2_2.npz,183,574,5,87,59,37,True,False,True,True,0.001240148994838819,0.00692596600856632,0.008166115003405139,validation_selected_threshold_and_weights,selective_graph_correction,True,True,mlp_only,0.7966101694915254,0.8108108108108109,,,,,,,,0.05,"{'b1': 1.0, 'b2': 0.6, 'b3': 0.0, 'b4': 0.5, 'b5': 0.3}",0.0,0.0,0.8108108108108109,,False,5,0.008166115003405139,logs/texas_selective_graph_correction_split2_rep0.json
mlp_only,texas,3,0,134000,True,,data/,/workspace/data/geom-gcn-splits/texas_split_0.6_0.2_3.npz,183,574,5,87,59,37,True,False,True,True,0.21481872300500982,0.00012938100553583354,0.21494810401054565,mlp_only_self_tuned,mlp_only,True,True,,0.8135592937469482,0.837837815284729,64,2,0.5,0.01,0.0005,200,,,,,,,,,,,
prop_only,texas,3,0,134000,True,,data/,/workspace/data/geom-gcn-splits/texas_split_0.6_0.2_3.npz,183,574,5,87,59,37,True,False,True,True,1.3786371869937284,0.03015833099198062,1.408795517985709,tuned_on_predictclass_then_reused,predictclass,True,True,,0.576271186440678,0.6756756756756757,,,,,,,"[0.05554577434091601, -0.398278268287779, 0.3817265278960936, 0.001047640283537099, 0.2443994878586353, 0.049021783287214085, 0.6703512549632749, 0.5139346590234953]",,,,,,,,,,
selective_graph_correction,texas,3,0,134000,True,,data/,/workspace/data/geom-gcn-splits/texas_split_0.6_0.2_3.npz,183,574,5,87,59,37,True,False,True,True,0.001181026003905572,0.007528660018579103,0.008709686022484675,validation_selected_threshold_and_weights,selective_graph_correction,True,True,mlp_only,0.8305084745762712,0.8648648648648649,,,,,,,,0.05,"{'b1': 1.0, 'b2': 0.6, 'b3': 0.0, 'b4': 0.5, 'b5': 0.3}",0.05405405405405406,0.02702702702702703,0.8571428571428571,1.0,False,5,0.008709686022484675,logs/texas_selective_graph_correction_split3_rep0.json
mlp_only,texas,4,0,134100,True,,data/,/workspace/data/geom-gcn-splits/texas_split_0.6_0.2_4.npz,183,574,5,87,59,37,True,False,True,True,0.22480583799188025,6.400099664460868e-05,0.22486983898852486,mlp_only_self_tuned,mlp_only,True,True,,0.7796609997749329,0.7837837934494019,64,2,0.5,0.01,0.0005,200,,,,,,,,,,,
prop_only,texas,4,0,134100,True,,data/,/workspace/data/geom-gcn-splits/texas_split_0.6_0.2_4.npz,183,574,5,87,59,37,True,False,True,True,2.6766160770057468,0.030505050002830103,2.707121127008577,tuned_on_predictclass_then_reused,predictclass,True,True,,0.6271186440677966,0.5135135135135135,,,,,,,"[0.36957711008305844, -0.4526313748865331, 0.12596251900160899, 0.44158658087451125, 0.06646405208161689, 0.07004961754146648, 0.4299020068465988, 0.6763085799383435]",,,,,,,,,,
selective_graph_correction,texas,4,0,134100,True,,data/,/workspace/data/geom-gcn-splits/texas_split_0.6_0.2_4.npz,183,574,5,87,59,37,True,False,True,True,0.0011911729961866513,0.007649801016668789,0.00884097401285544,validation_selected_threshold_and_weights,selective_graph_correction,True,True,mlp_only,0.7796610169491526,0.7837837837837838,,,,,,,,0.05,"{'b1': 1.0, 'b2': 0.6, 'b3': 0.0, 'b4': 0.5, 'b5': 0.3}",0.0,0.0,0.7837837837837838,,False,5,0.00884097401285544,logs/texas_selective_graph_correction_split4_rep0.json
mlp_only,texas,5,0,134200,True,,data/,/workspace/data/geom-gcn-splits/texas_split_0.6_0.2_5.npz,183,574,5,87,59,37,True,False,True,True,0.21079874700808432,6.503899930976331e-05,0.21086378600739408,mlp_only_self_tuned,mlp_only,True,True,,0.8474576473236084,0.7837837934494019,64,2,0.5,0.01,0.0005,200,,,,,,,,,,,
