dataset,delta_sel_minus_mlp,delta_std,wins,losses,ties,sign_test_p,avg_uncertain_frac,avg_changed_frac,regime_bucket
cora,0.03534540366119063,0.00817610525457416,30,0,0,1.862645149230957e-09,0.21415157612340707,0.046143527833668686,promising
citeseer,0.02442914052736991,0.00703031058258574,30,0,0,1.862645149230957e-09,0.21376588853003947,0.049395149866847975,promising
chameleon,0.0007309912589558339,0.004324617588709188,16,14,0,0.8555355519056321,0.0692251461988304,0.013011695906432749,neutral
texas,-0.001801808191849293,0.015499687138401462,11,19,0,0.20048842206597334,0.036036036036036036,0.014414414414414415,neutral
actor,-0.00019736802368832868,0.002610385403012802,16,14,0,0.8555355519056321,0.16164473684210526,0.035416666666666666,neutral
cornell,-0.002702704152545399,0.020164893357054882,14,16,0,0.8555355519056321,0.03063063063063063,0.013513513513513514,neutral
wisconsin,-0.0032679825047262447,0.0073074111685094995,0,30,0,1.862645149230957e-09,0.01437908496732026,0.00392156862745098,not_worth_keeping
