dataset,delta_selective_minus_mlp,wins_vs_mlp,losses_vs_mlp,ties_vs_mlp,delta_selective_minus_prop,avg_uncertain_frac,avg_changed_frac,delta_std_across_runs,delta_se_across_runs,sign_test_two_sided_p
chameleon,0.0007309912589558339,16,14,0,0.06381578947368423,0.0692251461988304,0.013011695906432749,0.004324617588709188,0.0008030613256217793,0.8555355519056321
citeseer,0.02442914052736991,30,0,0,0.019907879577690895,0.21376588853003947,0.049395149866847975,0.00703031058258574,0.0013054959011229654,1.862645149230957e-09
cora,0.03534540366119063,30,0,0,-0.07411133467471495,0.21415157612340707,0.046143527833668686,0.00817610525457416,0.0015182646302193193,1.862645149230957e-09
texas,-0.001801808191849293,11,19,0,0.20900900900900907,0.036036036036036036,0.014414414414414415,0.015499687138401462,0.0028782196448039607,0.20048842206597334
wisconsin,-0.0032679825047262447,0,30,0,0.31176470588235294,0.01437908496732026,0.00392156862745098,0.0073074111685094995,0.0013569521881351373,1.862645149230957e-09
