method,dataset,split_id,repeat_id,seed,success,notes,dataset_root,split_file,num_nodes,num_edges,num_classes,train_count,val_count,test_count,graph_symmetrized,self_loops_added,features_normalized_for_propagation,graph_treated_as_undirected,tuning_runtime_sec,method_runtime_sec,total_runtime_sec,parameter_source,parameter_tuning_target_method,tuned_separately_for_this_method,is_distinct_method_variant,parent_method,val_acc,test_acc,mlp_hidden,mlp_layers,mlp_dropout,mlp_lr,mlp_weight_decay,mlp_epochs,a_values,selected_threshold_high,selected_weights,fraction_test_nodes_uncertain,fraction_test_nodes_changed_from_mlp,acc_test_confident_nodes,acc_test_uncertain_nodes,feature_knn_used,feature_knn_k,avg_runtime_overhead_over_mlp_sec,diagnostics_path
mlp_only,actor,0,0,133700,True,,data/,/workspace/data/geom-gcn-splits-broad/film_split_0.6_0.2_0.npz,7600,53411,5,3648,2432,1520,True,False,True,True,1.9588095150247682,0.00013867099187336862,1.9589481860166416,mlp_only_self_tuned,mlp_only,True,True,,0.34457236528396606,0.35789474844932556,64,2,0.5,0.01,0.0005,200,,,,,,,,,,,
prop_only,actor,0,0,133700,True,,data/,/workspace/data/geom-gcn-splits-broad/film_split_0.6_0.2_0.npz,7600,53411,5,3648,2432,1520,True,False,True,True,77.69201780401636,0.8892131879983936,78.58123099201475,tuned_on_predictclass_then_reused,predictclass,True,True,,0.35074013157894735,0.33223684210526316,,,,,,,"[0.3778505412531483, -0.04699503054106419, 0.47823991672676963, 0.0786627504217135, 0.10082297609541563, 0.039234719879681614, 0.5824943526743889, 0.8491898198705831]",,,,,,,,,,
selective_graph_correction,actor,0,0,133700,True,,data/,/workspace/data/geom-gcn-splits-broad/film_split_0.6_0.2_0.npz,7600,53411,5,3648,2432,1520,True,False,True,True,0.007752245990559459,0.32372365696937777,0.33147590295993723,validation_selected_threshold_and_weights,selective_graph_correction,True,True,mlp_only,0.34292763157894735,0.35986842105263156,,,,,,,,0.05,"{'b1': 1.0, 'b2': 0.6, 'b3': 0.0, 'b4': 0.5, 'b5': 0.3}",0.09736842105263158,0.026973684210526316,0.36588921282798836,0.30405405405405406,False,5,0.33147590295993723,logs/actor_selective_graph_correction_split0_rep0.json
mlp_only,actor,0,1,133701,True,,data/,/workspace/data/geom-gcn-splits-broad/film_split_0.6_0.2_0.npz,7600,53411,5,3648,2432,1520,True,False,True,True,1.932086729008006,0.00015559402527287602,1.9322423230332788,mlp_only_self_tuned,mlp_only,True,True,,0.34210526943206787,0.3572368323802948,64,2,0.5,0.01,0.0005,200,,,,,,,,,,,
prop_only,actor,0,1,133701,True,,data/,/workspace/data/geom-gcn-splits-broad/film_split_0.6_0.2_0.npz,7600,53411,5,3648,2432,1520,True,False,True,True,72.06051201900118,0.819593491993146,72.88010551099433,tuned_on_predictclass_then_reused,predictclass,True,True,,0.3338815789473684,0.31973684210526315,,,,,,,"[0.28904605873526307, -0.22209971959043895, 0.4498336003829757, 0.04116431925793129, 0.1146250440437322, 0.04794195328627369, 0.5609361233574441, 0.7654466151066338]",,,,,,,,,,
selective_graph_correction,actor,0,1,133701,True,,data/,/workspace/data/geom-gcn-splits-broad/film_split_0.6_0.2_0.npz,7600,53411,5,3648,2432,1520,True,False,True,True,0.006563995004398748,0.30754713900387287,0.3141111340082716,validation_selected_threshold_and_weights,selective_graph_correction,True,True,mlp_only,0.3449835526315789,0.3605263157894737,,,,,,,,0.1,"{'b1': 1.0, 'b2': 0.9, 'b3': 0.0, 'b4': 0.3, 'b5': 0.2}",0.14868421052631578,0.02236842105263158,0.37094281298299847,0.3008849557522124,False,5,0.3141111340082716,logs/actor_selective_graph_correction_split0_rep1.json
mlp_only,actor,0,2,133702,True,,data/,/workspace/data/geom-gcn-splits-broad/film_split_0.6_0.2_0.npz,7600,53411,5,3648,2432,1520,True,False,True,True,1.9177316009881906,0.0001795330026652664,1.9179111339908559,mlp_only_self_tuned,mlp_only,True,True,,0.34580591320991516,0.3499999940395355,64,2,0.5,0.01,0.0005,200,,,,,,,,,,,
prop_only,actor,0,2,133702,True,,data/,/workspace/data/geom-gcn-splits-broad/film_split_0.6_0.2_0.npz,7600,53411,5,3648,2432,1520,True,False,True,True,70.80632072800654,0.8075820359808858,71.61390276398743,tuned_on_predictclass_then_reused,predictclass,True,True,,0.35773026315789475,0.35855263157894735,,,,,,,"[0.23148577873275122, 0.0058520178178606, 0.4337776022837053, 0.024045199983951604, 0.093527305776903, 0.08143008337842066, 0.556419479529481, 1.0802179471204671]",,,,,,,,,,
selective_graph_correction,actor,0,2,133702,True,,data/,/workspace/data/geom-gcn-splits-broad/film_split_0.6_0.2_0.npz,7600,53411,5,3648,2432,1520,True,False,True,True,0.006424168008379638,0.3986463070032187,0.4050704750115983,validation_selected_threshold_and_weights,selective_graph_correction,True,True,mlp_only,0.3458059210526316,0.34868421052631576,,,,,,,,0.05,"{'b1': 1.2, 'b2': 0.5, 'b3': 0.0, 'b4': 0.4, 'b5': 0.2}",0.07828947368421052,0.020394736842105264,0.35831548893647397,0.23529411764705882,False,5,0.4050704750115983,logs/actor_selective_graph_correction_split0_rep2.json
mlp_only,actor,1,0,133800,True,,data/,/workspace/data/geom-gcn-splits-broad/film_split_0.6_0.2_1.npz,7600,53411,5,3648,2432,1520,True,False,True,True,1.898724686994683,0.00012103200424462557,1.8988457189989276,mlp_only_self_tuned,mlp_only,True,True,,0.35320723056793213,0.33552631735801697,64,2,0.5,0.01,0.0005,200,,,,,,,,,,,
