method,dataset,split_id,repeat_id,seed,success,notes,dataset_root,split_file,num_nodes,num_edges,num_classes,train_count,val_count,test_count,graph_symmetrized,self_loops_added,features_normalized_for_propagation,graph_treated_as_undirected,tuning_runtime_sec,method_runtime_sec,total_runtime_sec,parameter_source,parameter_tuning_target_method,tuned_separately_for_this_method,is_distinct_method_variant,parent_method,val_acc,test_acc,mlp_hidden,mlp_layers,mlp_dropout,mlp_lr,mlp_weight_decay,mlp_epochs,a_values,selected_threshold_high,selected_weights,fraction_test_nodes_uncertain,fraction_test_nodes_changed_from_mlp,acc_test_confident_nodes,acc_test_uncertain_nodes,feature_knn_used,feature_knn_k,avg_runtime_overhead_over_mlp_sec,diagnostics_path
mlp_only,cora,0,0,133700,True,,data/,/workspace/data/geom-gcn-splits-broad/cora_split_0.6_0.2_0.npz,2708,10556,7,1192,796,497,True,False,True,True,0.9267720089992508,0.00010175100760534406,0.9268737600068562,mlp_only_self_tuned,mlp_only,True,True,,0.7097989916801453,0.682092547416687,64,2,0.5,0.01,0.0005,200,,,,,,,,,,,
prop_only,cora,0,0,133700,True,,data/,/workspace/data/geom-gcn-splits-broad/cora_split_0.6_0.2_0.npz,2708,10556,7,1192,796,497,True,False,True,True,32.83553070301423,0.37641251800232567,33.211943221016554,tuned_on_predictclass_then_reused,predictclass,True,True,,0.8040201005025126,0.7867203219315896,,,,,,,"[0.23543642809566995, 1.065406122525241, 2.547431471169095, 0.037368556387470275, 0.27847893696198317, 0.05111456393375488, 0.8184386367053098, 0.400336631477035]",,,,,,,,,,
selective_graph_correction,cora,0,0,133700,True,,data/,/workspace/data/geom-gcn-splits-broad/cora_split_0.6_0.2_0.npz,2708,10556,7,1192,796,497,True,False,True,True,0.0037004000041633844,0.09849401997053064,0.10219441997469403,validation_selected_threshold_and_weights,selective_graph_correction,True,True,mlp_only,0.7550251256281407,0.7142857142857143,,,,,,,,0.520629,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5}",0.19919517102615694,0.04426559356136821,0.7512562814070352,0.5656565656565656,False,5,0.10219441997469403,logs/cora_selective_graph_correction_split0_rep0.json
mlp_only,cora,0,1,133701,True,,data/,/workspace/data/geom-gcn-splits-broad/cora_split_0.6_0.2_0.npz,2708,10556,7,1192,796,497,True,False,True,True,0.9183969279984012,0.00015222400543279946,0.918549152003834,mlp_only_self_tuned,mlp_only,True,True,,0.7148241400718689,0.6780683994293213,64,2,0.5,0.01,0.0005,200,,,,,,,,,,,
prop_only,cora,0,1,133701,True,,data/,/workspace/data/geom-gcn-splits-broad/cora_split_0.6_0.2_0.npz,2708,10556,7,1192,796,497,True,False,True,True,33.09310210100375,0.35171714500756934,33.44481924601132,tuned_on_predictclass_then_reused,predictclass,True,True,,0.8052763819095478,0.7867203219315896,,,,,,,"[0.3039139755401088, 3.95321787413733, 1.7598455227207537, 0.03603716018883696, 0.2030305378869245, 0.06676220534178946, 0.5197150314181579, 0.6905498605816452]",,,,,,,,,,
selective_graph_correction,cora,0,1,133701,True,,data/,/workspace/data/geom-gcn-splits-broad/cora_split_0.6_0.2_0.npz,2708,10556,7,1192,796,497,True,False,True,True,0.0031784489983692765,0.09957386399037205,0.10275231298874132,validation_selected_threshold_and_weights,selective_graph_correction,True,True,mlp_only,0.7537688442211056,0.716297786720322,,,,,,,,0.522644,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5}",0.20321931589537223,0.04426559356136821,0.7424242424242424,0.6138613861386139,False,5,0.10275231298874132,logs/cora_selective_graph_correction_split0_rep1.json
mlp_only,cora,0,2,133702,True,,data/,/workspace/data/geom-gcn-splits-broad/cora_split_0.6_0.2_0.npz,2708,10556,7,1192,796,497,True,False,True,True,0.8909752100007609,0.00011404399992898107,0.8910892540006898,mlp_only_self_tuned,mlp_only,True,True,,0.7072864174842834,0.6981891393661499,64,2,0.5,0.01,0.0005,200,,,,,,,,,,,
prop_only,cora,0,2,133702,True,,data/,/workspace/data/geom-gcn-splits-broad/cora_split_0.6_0.2_0.npz,2708,10556,7,1192,796,497,True,False,True,True,30.542091139010154,0.32554112299112603,30.86763226200128,tuned_on_predictclass_then_reused,predictclass,True,True,,0.8128140703517588,0.7947686116700201,,,,,,,"[0.22638798959340445, 2.249744109091787, 1.4027794856139555, 0.030891325810000703, 0.23595531011105178, 0.07360732964282711, 0.7750346937794763, 0.32758691999112977]",,,,,,,,,,
selective_graph_correction,cora,0,2,133702,True,,data/,/workspace/data/geom-gcn-splits-broad/cora_split_0.6_0.2_0.npz,2708,10556,7,1192,796,497,True,False,True,True,0.0029307089862413704,0.09514465398387983,0.0980753629701212,validation_selected_threshold_and_weights,selective_graph_correction,True,True,mlp_only,0.7487437185929648,0.7183098591549296,,,,,,,,0.520287,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5}",0.2052313883299799,0.04225352112676056,0.769620253164557,0.5196078431372549,False,5,0.0980753629701212,logs/cora_selective_graph_correction_split0_rep2.json
mlp_only,cora,1,0,133800,True,,data/,/workspace/data/geom-gcn-splits-broad/cora_split_0.6_0.2_1.npz,2708,10556,7,1192,796,497,True,False,True,True,0.9021769399987534,9.374000364914536e-05,0.9022706800024025,mlp_only_self_tuned,mlp_only,True,True,,0.7123115658760071,0.7002012133598328,64,2,0.5,0.01,0.0005,200,,,,,,,,,,,
