method,dataset,split_id,repeat_id,seed,success,notes,dataset_root,split_file,num_nodes,num_edges,num_classes,train_count,val_count,test_count,graph_symmetrized,self_loops_added,features_normalized_for_propagation,graph_treated_as_undirected,tuning_runtime_sec,method_runtime_sec,total_runtime_sec,parameter_source,parameter_tuning_target_method,tuned_separately_for_this_method,is_distinct_method_variant,parent_method,val_acc,test_acc,mlp_hidden,mlp_layers,mlp_dropout,mlp_lr,mlp_weight_decay,mlp_epochs,a_values,selected_threshold_high,selected_weights,fraction_test_nodes_uncertain,fraction_test_nodes_changed_from_mlp,acc_test_confident_nodes,acc_test_uncertain_nodes,feature_knn_used,feature_knn_k,avg_runtime_overhead_over_mlp_sec,diagnostics_path
mlp_only,texas,0,0,133700,True,,data/,/workspace/data/geom-gcn-splits-broad/texas_split_0.6_0.2_0.npz,183,574,5,87,59,37,True,False,True,True,0.22073203900072258,0.0001123690017266199,0.2208444080024492,mlp_only_self_tuned,mlp_only,True,True,,0.7796609997749329,0.7567567825317383,64,2,0.5,0.01,0.0005,200,,,,,,,,,,,
prop_only,texas,0,0,133700,True,,data/,/workspace/data/geom-gcn-splits-broad/texas_split_0.6_0.2_0.npz,183,574,5,87,59,37,True,False,True,True,2.577811773007852,0.027843706993735395,2.6056554800015874,tuned_on_predictclass_then_reused,predictclass,True,True,,0.5932203389830508,0.5675675675675675,,,,,,,"[0.47604431089474164, -0.2719624403212464, 0.07360155249805861, 0.08631796591003948, 0.026474857943067764, 0.01329774199754118, 0.8820629394376571, 1.2404974457996838]",,,,,,,,,,
selective_graph_correction,texas,0,0,133700,True,,data/,/workspace/data/geom-gcn-splits-broad/texas_split_0.6_0.2_0.npz,183,574,5,87,59,37,True,False,True,True,0.0015953990077832714,0.007186904986156151,0.008782303993939422,validation_selected_threshold_and_weights,selective_graph_correction,True,True,mlp_only,0.7966101694915254,0.7567567567567568,,,,,,,,0.05,"{'b1': 1.0, 'b2': 0.6, 'b3': 0.0, 'b4': 0.5, 'b5': 0.3}",0.02702702702702703,0.0,0.7777777777777778,0.0,False,5,0.008782303993939422,logs/texas_selective_graph_correction_split0_rep0.json
mlp_only,texas,1,0,133800,True,,data/,/workspace/data/geom-gcn-splits-broad/texas_split_0.6_0.2_1.npz,183,574,5,87,59,37,True,False,True,True,0.2228477640019264,0.00010110098810400814,0.22294886499003042,mlp_only_self_tuned,mlp_only,True,True,,0.8135592937469482,0.8918918967247009,64,2,0.5,0.01,0.0005,200,,,,,,,,,,,
prop_only,texas,1,0,133800,True,,data/,/workspace/data/geom-gcn-splits-broad/texas_split_0.6_0.2_1.npz,183,574,5,87,59,37,True,False,True,True,2.483897177007748,0.027015315994503908,2.5109124930022517,tuned_on_predictclass_then_reused,predictclass,True,True,,0.5423728813559322,0.6216216216216216,,,,,,,"[0.06354613952348165, -0.36411880858996704, 0.18705148755009182, 0.13804516674321193, 0.001413536624089362, 0.012558845769623307, 0.7843371684129363, 0.7729640073507053]",,,,,,,,,,
selective_graph_correction,texas,1,0,133800,True,,data/,/workspace/data/geom-gcn-splits-broad/texas_split_0.6_0.2_1.npz,183,574,5,87,59,37,True,False,True,True,0.0011458840017439798,0.007137433989555575,0.008283317991299555,validation_selected_threshold_and_weights,selective_graph_correction,True,True,mlp_only,0.8305084745762712,0.8918918918918919,,,,,,,,0.05,"{'b1': 1.0, 'b2': 0.6, 'b3': 0.0, 'b4': 0.5, 'b5': 0.3}",0.02702702702702703,0.0,0.9166666666666666,0.0,False,5,0.008283317991299555,logs/texas_selective_graph_correction_split1_rep0.json
mlp_only,texas,2,0,133900,True,,data/,/workspace/data/geom-gcn-splits-broad/texas_split_0.6_0.2_2.npz,183,574,5,87,59,37,True,False,True,True,0.21618776800460182,8.511700434610248e-05,0.21627288500894792,mlp_only_self_tuned,mlp_only,True,True,,0.7966101765632629,0.8108108043670654,64,2,0.5,0.01,0.0005,200,,,,,,,,,,,
prop_only,texas,2,0,133900,True,,data/,/workspace/data/geom-gcn-splits-broad/texas_split_0.6_0.2_2.npz,183,574,5,87,59,37,True,False,True,True,2.458743263996439,0.02666960000351537,2.4854128639999544,tuned_on_predictclass_then_reused,predictclass,True,True,,0.6101694915254238,0.5135135135135135,,,,,,,"[0.2958674507597185, -0.30266208404969264, 0.08239341316662019, 0.3679791350947433, 0.15893344110040317, 0.0008348377910102567, 0.41354173117725324, 1.4160319027970014]",,,,,,,,,,
selective_graph_correction,texas,2,0,133900,True,,data/,/workspace/data/geom-gcn-splits-broad/texas_split_0.6_0.2_2.npz,183,574,5,87,59,37,True,False,True,True,0.0011690469982568175,0.007055230002151802,0.00822427700040862,validation_selected_threshold_and_weights,selective_graph_correction,True,True,mlp_only,0.7966101694915254,0.8108108108108109,,,,,,,,0.05,"{'b1': 1.0, 'b2': 0.6, 'b3': 0.0, 'b4': 0.5, 'b5': 0.3}",0.0,0.0,0.8108108108108109,,False,5,0.00822427700040862,logs/texas_selective_graph_correction_split2_rep0.json
mlp_only,texas,3,0,134000,True,,data/,/workspace/data/geom-gcn-splits-broad/texas_split_0.6_0.2_3.npz,183,574,5,87,59,37,True,False,True,True,0.2163453030079836,6.54379982734099e-05,0.216410741006257,mlp_only_self_tuned,mlp_only,True,True,,0.8135592937469482,0.837837815284729,64,2,0.5,0.01,0.0005,200,,,,,,,,,,,
