dataset,acc_confident,acc_uncertain,avg_threshold_high,most_common_weight,avg_weight_tuple,feature_knn_used_count,feature_knn_total_count,zero_uncertain_runs,zero_changed_runs
chameleon,0.46952691142486025,0.3278717400232302,0.11499999999999998,"[[1.0, 0.4, 0.0, 0.9, 0.5], 12]","[1.0333333333333332, 0.5733333333333335, 0.0, 0.5966666666666666, 0.33999999999999997]",0,30,0,0
citeseer,0.7622662433322477,0.5239562754995578,0.5590082333333334,"[[1.0, 0.4, 0.0, 0.9, 0.5], 30]","[1.0, 0.4000000000000002, 0.0, 0.8999999999999996, 0.5]",0,30,0,0
cora,0.7893399371639703,0.5754585017200033,0.5917086333333333,"[[1.0, 0.4, 0.0, 0.9, 0.5], 30]","[1.0, 0.4000000000000002, 0.0, 0.8999999999999996, 0.5]",0,30,0,0
texas,0.7987988485047307,0.1473922902494331,0.05333333333333335,"[[1.0, 0.6, 0.0, 0.5, 0.3], 27]","[1.0, 0.5966666666666668, 0.0, 0.52, 0.31]",0,30,9,17
wisconsin,0.8613856673104024,0.13076923076923078,0.06000000000000002,"[[1.0, 0.6, 0.0, 0.5, 0.3], 22]","[1.0066666666666666, 0.6, 0.0, 0.53, 0.31333333333333335]",0,30,17,24
