phase,dataset,split_id,seed,homophily,num_nodes,avg_degree,num_classes,train_size,val_size,test_size,test_acc_mlp_base,method,test_acc,delta_over_mlp,wall_sec,frac_uncertain,frac_changed,runtime_sec,frac_full_graph,frac_feat_only,mean_reliability,mean_alpha,sharpness,selected_signal
phase1,cora,0,1337,0.81,2708,3.9,7,1192,796,497,0.676056338028169,mlp_only,0.676056338028169,0.0,0.0,,,,,,,,,
phase1,cora,0,1337,0.81,2708,3.9,7,1192,796,497,0.676056338028169,sgc_v1,0.7223340040241448,0.046277665995975825,0.16,0.2535211267605634,0.060362173038229376,0.15836937300014142,,,,,,
phase1,cora,0,1337,0.81,2708,3.9,7,1192,796,497,0.676056338028169,sgc_v2_full,0.7203219315895373,0.04426559356136828,0.35,0.2535211267605634,,0.32063885700006267,0.22334004024144868,0.030181086519114688,0.6344984675830101,,,
phase1,cora,0,1337,0.81,2708,3.9,7,1192,796,497,0.676056338028169,sgc_v21,0.7002012072434608,0.024144869215291798,0.34,0.18712273641851107,,0.339832928000078,,,0.6746574923837114,0.6746574923837114,1.0,
phase1,cora,0,1337,0.81,2708,3.9,7,1192,796,497,0.676056338028169,sgc_v22,0.7243460764587525,0.048289738430583484,0.35,0.31388329979879276,,0.3449099440000509,0.30985915492957744,0.004024144869215292,0.6746574923837114,,,
phase1,cora,0,1337,0.81,2708,3.9,7,1192,796,497,0.676056338028169,sgc_v23,0.7002012072434608,0.024144869215291798,0.37,0.18712273641851107,,0.3660337269999445,,,0.6746574923837114,0.6746574923837114,1.0,margin
phase1,cora,1,1338,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,mlp_only,0.7142857142857143,0.0,0.0,,,,,,,,,
phase1,cora,1,1338,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,sgc_v1,0.7283702213279678,0.014084507042253502,0.14,0.17706237424547283,0.03219315895372234,0.14076032200011923,,,,,,
phase1,cora,1,1338,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,sgc_v2_full,0.7283702213279678,0.014084507042253502,0.32,0.17706237424547283,,0.29810075500006405,0.15694164989939638,0.02012072434607646,0.6521344677849984,,,
phase1,cora,1,1338,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,sgc_v21,0.7223340040241448,0.008048289738430525,0.34,0.12072434607645875,,0.3338955229999101,,,0.6924707925924918,0.6924707925924918,1.0,
phase1,cora,1,1338,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,sgc_v22,0.7263581488933601,0.012072434607645843,0.35,0.22736418511066397,,0.34866886199995406,0.2193158953722334,0.008048289738430584,0.6924707925924918,,,
phase1,cora,1,1338,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,sgc_v23,0.7223340040241448,0.008048289738430525,0.37,0.12072434607645875,,0.3627258050000819,,,0.6924707925924918,0.6924707925924918,1.0,margin
phase1,chameleon,0,1337,0.2305,2277,27.58,5,1092,729,456,0.4780701754385965,mlp_only,0.4780701754385965,0.0,0.0,,,,,,,,,
phase1,chameleon,0,1337,0.2305,2277,27.58,5,1092,729,456,0.4780701754385965,sgc_v1,0.4758771929824561,-0.0021929824561403577,0.44,0.03070175438596491,0.013157894736842105,0.43991107900001225,,,,,,
phase1,chameleon,0,1337,0.2305,2277,27.58,5,1092,729,456,0.4780701754385965,sgc_v2_full,0.4758771929824561,-0.0021929824561403577,0.66,0.11403508771929824,,0.6354572310000322,0.008771929824561403,0.10526315789473684,0.27368715804658816,,,
phase1,chameleon,0,1337,0.2305,2277,27.58,5,1092,729,456,0.4780701754385965,sgc_v21,0.4758771929824561,-0.0021929824561403577,0.67,0.11403508771929824,,0.6666103659999862,,,0.3886427186632338,0.04307585084974184,4.0,
phase1,chameleon,0,1337,0.2305,2277,27.58,5,1092,729,456,0.4780701754385965,sgc_v22,0.4758771929824561,-0.0021929824561403577,0.68,0.1162280701754386,,0.6754526510000005,0.02631578947368421,0.08991228070175439,0.3886427186632338,,,
phase1,chameleon,0,1337,0.2305,2277,27.58,5,1092,729,456,0.4780701754385965,sgc_v23,0.4758771929824561,-0.0021929824561403577,0.71,0.11403508771929824,,0.7036663589999534,,,0.3886427186632338,0.04307585084974184,4.0,margin
phase1,chameleon,1,1338,0.2305,2277,27.58,5,1092,729,456,0.4605263157894737,mlp_only,0.4605263157894737,0.0,0.0,,,,,,,,,
phase1,chameleon,1,1338,0.2305,2277,27.58,5,1092,729,456,0.4605263157894737,sgc_v1,0.46271929824561403,0.0021929824561403577,0.45,0.06140350877192982,0.017543859649122806,0.4537289550000878,,,,,,
