dataset,split_id,method,test_acc,val_acc,delta_vs_mlp,frac_confident,frac_corrected_1hop,frac_corrected_2hop,frac_mlp_only_uncertain,mean_H1,mean_H2,mean_DeltaH,n_helped,n_hurt,correction_precision,helped_1hop,hurt_1hop,net_gain_1hop,avg_margin_before_1hop,helped_2hop,hurt_2hop,net_gain_2hop,avg_margin_before_2hop,test_confident_kept,test_uncertain_total,test_routed_1hop,test_routed_2hop,test_fallback_mlp,test_blocked_by_h1_only,test_blocked_by_r1_only,test_blocked_by_h1_and_r1,test_blocked_by_r2_only,test_blocked_by_delta_only,test_blocked_by_r2_and_delta,selected_tau,selected_rho1,selected_rho2,selected_h1_max,selected_delta_min,selected_profile_1hop,selected_profile_2hop,runtime_sec
chameleon,0,MLP_ONLY,0.43640350877192985,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chameleon,0,FINAL_V3,0.4407894736842105,0.4663923182441701,0.00438596491228066,0.8837719298245614,,,,,,,4,2,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4379941949999875
chameleon,0,MS_HSGC,0.43859649122807015,0.4609053497942387,0.002192982456140302,0.918859649122807,0.010964912280701754,0.03289473684210526,0.03728070175438596,0.7542884945869446,0.7076719999313354,0.04661649093031883,1,0,1.0,0,0,0,0.06654787808656693,1,0,1,0.05227601155638695,419,37,5,15,17,31,0,1,8,8,1,0.15,0.3,0.3,0.55,0.0,0,0,0.4295224520000147
chameleon,1,MLP_ONLY,0.45614035087719296,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chameleon,1,FINAL_V3,0.45614035087719296,0.4499314128943759,0.0,0.8596491228070176,,,,,,,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4364970459999995
chameleon,1,MS_HSGC,0.4649122807017544,0.44718792866941015,0.00877192982456143,0.9166666666666666,0.010964912280701754,0.05263157894736842,0.019736842105263157,0.7542411088943481,0.704411506652832,0.04982959106564522,4,0,1.0,0,0,0,0.07906678318977356,4,0,4,0.06348537653684616,418,38,5,24,9,32,0,1,3,4,2,0.15,0.3,0.3,0.55,0.0,0,0,0.4392754479999894
chameleon,2,MLP_ONLY,0.4605263157894737,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chameleon,2,FINAL_V3,0.46271929824561403,0.4334705075445816,0.0021929824561403577,0.8728070175438597,,,,,,,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4375429359999998
chameleon,2,MS_HSGC,0.4605263157894737,0.4334705075445816,0.0,0.9166666666666666,0.008771929824561403,0.043859649122807015,0.03070175438596491,0.7613239884376526,0.7015456557273865,0.05977834761142731,0,0,0.0,0,0,0,0.0414433553814888,0,0,0,0.06317667663097382,418,38,4,20,14,34,0,0,5,9,0,0.15,0.3,0.3,0.55,0.0,0,0,0.4420580689999838
citeseer,0,MLP_ONLY,0.6771771771771772,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citeseer,0,FINAL_V3,0.7012012012012012,0.7070422535211267,0.024024024024024038,0.7282282282282282,,,,,,,21,5,0.8076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23036664599999312
citeseer,0,MS_HSGC,0.6801801801801802,0.6873239436619718,0.0030030030030030463,0.918918918918919,0.03153153153153153,0.02702702702702703,0.02252252252252252,0.3652645945549011,0.25764885544776917,0.10761576890945435,4,2,0.5714285714285714,0,2,-2,0.08340331166982651,4,0,4,0.06460949778556824,612,54,21,18,15,26,2,5,13,1,1,0.15,0.3,0.3,0.7,0.0,0,0,0.2347600279999824
citeseer,1,MLP_ONLY,0.6816816816816816,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citeseer,1,FINAL_V3,0.7027027027027027,0.707981220657277,0.021021021021021102,0.7357357357357357,,,,,,,19,5,0.7916666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22604812800000218
citeseer,1,MS_HSGC,0.6846846846846847,0.6863849765258216,0.0030030030030030463,0.8993993993993994,0.02252252252252252,0.03153153153153153,0.046546546546546545,0.3642105460166931,0.2605730891227722,0.10363749414682388,3,1,0.6,0,0,0,0.15531782805919647,3,1,2,0.120842345058918,599,67,15,21,31,40,3,9,25,2,4,0.25,0.3,0.3,0.55,0.0,0,0,0.23223934899999676
citeseer,2,MLP_ONLY,0.6846846846846847,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citeseer,2,FINAL_V3,0.6921921921921922,0.7023474178403756,0.007507507507507505,0.9234234234234234,,,,,,,8,3,0.7272727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22587636699995528
citeseer,2,MS_HSGC,0.6921921921921922,0.6901408450704225,0.007507507507507505,0.9384384384384384,0.02252252252252252,0.024024024024024024,0.015015015015015015,0.3553573787212372,0.2540943920612335,0.10126298666000366,5,0,1.0,0,0,0,0.06343261897563934,5,0,5,0.08043724298477173,625,41,15,16,10,23,1,2,8,1,1,0.15,0.3,0.3,0.55,0.0,0,0,0.23301084199999877
texas,0,MLP_ONLY,0.7567567567567568,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
texas,0,FINAL_V3,0.7567567567567568,0.7966101694915254,0.0,0.972972972972973,,,,,,,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010865404000014678
texas,0,MS_HSGC,0.7567567567567568,0.7796610169491526,0.0,0.9459459459459459,0.0,0.02702702702702703,0.02702702702702703,0.8239656090736389,0.49507275223731995,0.32889288663864136,0,0,0.0,0,0,0,nan,0,0,0,0.14155858755111694,35,2,0,1,1,1,0,1,1,0,0,0.15,0.3,0.3,0.55,0.0,0,0,0.010810671000058392
texas,1,MLP_ONLY,0.8918918918918919,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
texas,1,FINAL_V3,0.8918918918918919,0.8305084745762712,0.0,0.972972972972973,,,,,,,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010794190000069648
texas,1,MS_HSGC,0.8918918918918919,0.8135593220338984,0.0,0.972972972972973,0.02702702702702703,0.0,0.0,0.84271639585495,0.4651985764503479,0.37751778960227966,0,0,0.0,0,0,0,0.038005948066711426,0,0,0,nan,36,1,1,0,0,0,0,0,0,0,0,0.15,0.3,0.35,0.55,0.0,0,0,0.010906961999921805
texas,2,MLP_ONLY,0.8108108108108109,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
texas,2,FINAL_V3,0.8108108108108109,0.7966101694915254,0.0,1.0,,,,,,,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010815279999974337
texas,2,MS_HSGC,0.8108108108108109,0.7966101694915254,0.0,0.8918918918918919,0.02702702702702703,0.05405405405405406,0.02702702702702703,0.8158922791481018,0.49322593212127686,0.3226664662361145,0,0,0.0,0,0,0,0.145809143781662,0,0,0,0.13679403066635132,33,4,1,2,1,1,0,2,1,0,0,0.15,0.3,0.3,0.55,0.0,0,0,0.011380320000057509
