dataset,split_id,seed,variant,test_acc_mlp,test_acc,delta_vs_mlp,val_acc,runtime_sec,details
cora,0,133700,BASELINE_SGC,0.6941649899396378,0.7223340040241448,0.028169014084507005,0.7462311557788944,1.4506045610032743,"{""threshold"": 0.542218, ""weights"": {""b1"": 1.0, ""b2"": 0.4, ""b3"": 0.0, ""b4"": 0.9, ""b5"": 0.5, ""b6"": 0.0}, ""frac_uncertain"": 0.2112676056338028, ""frac_changed"": 0.04024144869215292}"
cora,0,133700,MLP_ONLY,0.6941649899396378,0.6941649899396378,0.0,,0.0,{}
cora,0,133700,V1_RELIABILITY,0.6941649899396378,0.7243460764587525,0.030181086519114664,0.742462311557789,0.1381847009906778,"{""val_acc_selective"": 0.742462311557789, ""test_acc_mlp"": 0.6941649899396378, ""test_acc_selective"": 0.7243460764587525, ""selected_threshold"": 0.542218, ""selected_reliability_threshold"": 0.3, ""selected_weights"": {""b1"": 1.0, ""b2"": 0.4, ""b3"": 0.0, ""b4"": 0.9, ""b5"": 0.5, ""b6"": 0.0}, ""fraction_test_uncertain"": 0.2112676056338028, ""fraction_test_reliable"": 0.9356136820925554, ""fraction_test_corrected"": 0.193158953722334, ""fraction_test_changed"": 0.03420523138832998}"
cora,0,133700,V2_MULTIBRANCH,0.6941649899396378,0.7243460764587525,0.030181086519114664,0.742462311557789,0.11066180700436234,"{""val_acc_selective"": 0.742462311557789, ""test_acc_mlp"": 0.6941649899396378, ""test_acc_selective"": 0.7243460764587525, ""selected_threshold"": 0.542218, ""selected_reliability_threshold"": 0.3, ""selected_full_weights"": {""b1"": 1.0, ""b2"": 0.4, ""b3"": 0.0, ""b4"": 0.9, ""b5"": 0.5, ""b6"": 0.0}, ""fraction_test_feat_branch"": 0.018108651911468814, ""fraction_test_full_branch"": 0.193158953722334, ""fraction_test_no_correct"": 0.7887323943661971}"
cora,0,133700,V3_LEARNED_MIX,0.6941649899396378,0.7062374245472837,0.012072434607645843,0.7311557788944724,0.14857095800107345,"{""val_acc_selective"": 0.7311557788944724, ""test_acc_mlp"": 0.6941649899396378, ""test_acc_selective"": 0.7062374245472837, ""mean_gate_prob_test"": 0.3736613690853119, ""fraction_test_gate_above_0.5"": 0.1267605633802817}"
cora,0,133700,V4_ENTROPY_GATE,0.6941649899396378,0.7223340040241448,0.028169014084507005,0.7474874371859297,0.14329886699852068,"{""val_acc_selective"": 0.7474874371859297, ""test_acc_mlp"": 0.6941649899396378, ""test_acc_selective"": 0.7223340040241448, ""selected_entropy_threshold"": 0.594959157228587, ""selected_weights"": {""b1"": 1.0, ""b2"": 0.4, ""b3"": 0.0, ""b4"": 0.9, ""b5"": 0.5, ""b6"": 0.0}, ""fraction_test_uncertain"": 0.27364185110663986, ""fraction_test_changed"": 0.04024144869215292}"
cora,0,133700,V5_KNN_ENHANCED,0.6941649899396378,0.7082494969818913,0.014084507042253502,0.7349246231155779,0.20515415800036862,"{""val_acc_selective"": 0.7349246231155779, ""test_acc_mlp"": 0.6941649899396378, ""test_acc_selective"": 0.7082494969818913, ""selected_threshold"": 0.3, ""selected_weights"": {""b1"": 1.0, ""b2"": 0.6, ""b3"": 0.3, ""b4"": 0.5, ""b5"": 0.3, ""b6"": 0.0}, ""feature_knn_k"": 10, ""fraction_test_uncertain"": 0.12474849094567404, ""fraction_test_changed"": 0.028169014084507043}"
cora,0,133700,V6_COMBO,0.6941649899396378,0.7062374245472837,0.012072434607645843,0.7311557788944724,0.2963012030086247,"{""val_acc_selective"": 0.7311557788944724, ""test_acc_mlp"": 0.6941649899396378, ""test_acc_selective"": 0.7062374245472837, ""selected_weights"": {""b1"": 1.0, ""b2"": 0.6, ""b3"": 0.2, ""b4"": 0.5, ""b5"": 0.3, ""b6"": 0.0}, ""feature_knn_k"": 10, ""mean_gate_prob_test"": 0.3747517466545105, ""fraction_test_gate_above_0.5"": 0.1448692152917505}"
cora,1,133800,BASELINE_SGC,0.7303822937625755,0.7484909456740443,0.01810865191146882,0.7512562814070352,1.4015610959904734,"{""threshold"": 0.574398, ""weights"": {""b1"": 1.0, ""b2"": 0.4, ""b3"": 0.0, ""b4"": 0.9, ""b5"": 0.5, ""b6"": 0.0}, ""frac_uncertain"": 0.2052313883299799, ""frac_changed"": 0.03621730382293763}"
cora,1,133800,MLP_ONLY,0.7303822937625755,0.7303822937625755,0.0,,0.0,{}
cora,1,133800,V1_RELIABILITY,0.7303822937625755,0.7464788732394366,0.01609657947686116,0.75,0.10556984500726685,"{""val_acc_selective"": 0.75, ""test_acc_mlp"": 0.7303822937625755, ""test_acc_selective"": 0.7464788732394366, ""selected_threshold"": 0.574398, ""selected_reliability_threshold"": 0.3, ""selected_weights"": {""b1"": 1.0, ""b2"": 0.4, ""b3"": 0.0, ""b4"": 0.9, ""b5"": 0.5, ""b6"": 0.0}, ""fraction_test_uncertain"": 0.2052313883299799, ""fraction_test_reliable"": 0.93158953722334, ""fraction_test_corrected"": 0.1790744466800805, ""fraction_test_changed"": 0.03219315895372234}"
cora,1,133800,V2_MULTIBRANCH,0.7303822937625755,0.7484909456740443,0.01810865191146882,0.75,0.09697771699575242,"{""val_acc_selective"": 0.75, ""test_acc_mlp"": 0.7303822937625755, ""test_acc_selective"": 0.7484909456740443, ""selected_threshold"": 0.574398, ""selected_reliability_threshold"": 0.3, ""selected_full_weights"": {""b1"": 1.0, ""b2"": 0.4, ""b3"": 0.0, ""b4"": 0.9, ""b5"": 0.5, ""b6"": 0.0}, ""fraction_test_feat_branch"": 0.026156941649899398, ""fraction_test_full_branch"": 0.1790744466800805, ""fraction_test_no_correct"": 0.7947686116700201}"
cora,1,133800,V3_LEARNED_MIX,0.7303822937625755,0.7344064386317908,0.004024144869215318,0.7273869346733668,0.12031529399973806,"{""val_acc_selective"": 0.7273869346733668, ""test_acc_mlp"": 0.7303822937625755, ""test_acc_selective"": 0.7344064386317908, ""mean_gate_prob_test"": 0.37163496017456055, ""fraction_test_gate_above_0.5"": 0.13480885311871227}"
