dataset,split_id,method,ablation,test_acc,val_acc,delta_vs_mlp,frac_corrected,mean_delta_entropy,mean_corr_mag,helped_count,hurt_count,net_help,frac_corrected_low_margin,frac_corrected_med_margin,frac_corrected_high_margin,alpha1,alpha2,lambda_corr,tau_H,tau_R,runtime_sec
chameleon,0,MLP_ONLY,,0.44956140350877194,,0.0,,,,,,,,,,,,,,,
chameleon,0,FINAL_V3,,0.44956140350877194,0.4773662551440329,0.0,,,,0,0,,,,,,,,,,0.44072535499998367
chameleon,0,CA_MRC,full,0.4473684210526316,0.4732510288065844,-0.0021929824561403577,0.2631578947368421,0.012132839299738407,2.282634735107422,1,2,-1,0.3416666666666667,0.225,0.43333333333333335,1.0,0.25,0.5,0.05,0.0,0.11413330799996402
chameleon,0,CA_MRC,no_compat,0.46271929824561403,0.47599451303155005,0.01315789473684209,0.26535087719298245,0.015950169414281845,2.228041648864746,6,0,6,0.30578512396694213,0.2066115702479339,0.48760330578512395,1.0,1.0,0.5,0.05,0.0,0.10412679300003447
chameleon,0,CA_MRC,entropy_only,0.4473684210526316,0.4732510288065844,-0.0021929824561403577,0.2631578947368421,0.012132839299738407,2.282634735107422,1,2,-1,0.3416666666666667,0.225,0.43333333333333335,1.0,0.25,0.5,0.05,0.0,0.10420109200003935
chameleon,0,CA_MRC,mag_only,0.4144736842105263,0.46227709190672156,-0.03508771929824561,0.9978070175438597,0.037357863038778305,2.282634735107422,16,32,-16,0.1912087912087912,0.17802197802197803,0.6307692307692307,1.0,0.25,1.0,0.0,0.0,0.10112740299996403
chameleon,1,MLP_ONLY,,0.4407894736842105,,0.0,,,,,,,,,,,,,,,
chameleon,1,FINAL_V3,,0.4407894736842105,0.4348422496570645,0.0,,,,0,0,,,,,,,,,,0.4330844469999988
chameleon,1,CA_MRC,full,0.43859649122807015,0.4430727023319616,-0.0021929824561403577,0.6030701754385965,0.1770259439945221,2.372506618499756,45,46,-1,0.13454545454545455,0.4254545454545455,0.44,1.0,0.25,4.0,0.01,0.0,0.10427617299995973
chameleon,1,CA_MRC,no_compat,0.43201754385964913,0.4444444444444444,-0.008771929824561375,0.5701754385964912,0.12347430735826492,2.243041515350342,24,28,-4,0.14615384615384616,0.4346153846153846,0.41923076923076924,1.0,1.0,2.0,0.01,0.0,0.10311922199997525
chameleon,1,CA_MRC,entropy_only,0.43859649122807015,0.4430727023319616,-0.0021929824561403577,0.6030701754385965,0.1770259439945221,2.372506618499756,45,46,-1,0.13454545454545455,0.4254545454545455,0.44,1.0,0.25,4.0,0.01,0.0,0.1034375859999841
chameleon,1,CA_MRC,mag_only,0.4692982456140351,0.44718792866941015,0.028508771929824595,0.9978070175438597,0.07666285336017609,2.372506618499756,52,39,13,0.0989010989010989,0.2967032967032967,0.6043956043956044,1.0,0.25,2.0,0.0,0.0,0.10302594800003817
citeseer,0,MLP_ONLY,,0.6756756756756757,,0.0,,,,,,,,,,,,,,,
citeseer,0,FINAL_V3,,0.6921921921921922,0.7173708920187793,0.016516516516516533,,,,17,6,,,,,,,,,,0.22928841100002728
citeseer,0,CA_MRC,full,0.7102102102102102,0.7295774647887324,0.03453453453453459,0.512012012012012,0.14745943248271942,1.8460389375686646,43,20,23,0.11143695014662756,0.17888563049853373,0.7096774193548387,1.0,0.25,4.0,0.01,0.0,0.12849448800000118
citeseer,0,CA_MRC,no_compat,0.7147147147147147,0.7286384976525822,0.03903903903903905,0.4039039039039039,0.1481814980506897,1.7616710662841797,46,20,26,0.1412639405204461,0.22304832713754646,0.6356877323420075,1.0,0.25,4.0,0.05,0.0,0.1275861320000331
citeseer,0,CA_MRC,entropy_only,0.7102102102102102,0.7295774647887324,0.03453453453453459,0.512012012012012,0.14745943248271942,1.8460389375686646,43,20,23,0.11143695014662756,0.17888563049853373,0.7096774193548387,1.0,0.25,4.0,0.01,0.0,0.12730865399998947
citeseer,0,CA_MRC,mag_only,0.7057057057057057,0.72018779342723,0.03003003003003002,0.8408408408408409,0.0853513553738594,1.8439313173294067,40,20,20,0.07142857142857142,0.12321428571428572,0.8053571428571429,1.0,0.5,2.0,0.0,0.0,0.12700526700001546
citeseer,1,MLP_ONLY,,0.6966966966966966,,0.0,,,,,,,,,,,,,,,
citeseer,1,FINAL_V3,,0.7192192192192193,0.7183098591549296,0.022522522522522626,,,,18,3,,,,,,,,,,0.23674464399999806
citeseer,1,CA_MRC,full,0.7207207207207207,0.723943661971831,0.024024024024024038,0.4039039039039039,0.14990268647670746,1.8525416851043701,43,27,16,0.18587360594795538,0.17100371747211895,0.6431226765799256,1.0,0.25,4.0,0.05,0.0,0.1279962780000119
citeseer,1,CA_MRC,no_compat,0.7207207207207207,0.7211267605633803,0.024024024024024038,0.45795795795795796,0.09277573227882385,1.796865463256836,27,11,16,0.1540983606557377,0.1377049180327869,0.7081967213114754,1.0,0.25,2.0,0.01,0.0,0.12754732000001923
citeseer,1,CA_MRC,entropy_only,0.7207207207207207,0.723943661971831,0.024024024024024038,0.4039039039039039,0.14990268647670746,1.8525416851043701,43,27,16,0.18587360594795538,0.17100371747211895,0.6431226765799256,1.0,0.25,4.0,0.05,0.0,0.12717952299999524
citeseer,1,CA_MRC,mag_only,0.7147147147147147,0.72018779342723,0.018018018018018056,0.8588588588588588,0.0880819633603096,1.8525416851043701,35,23,12,0.0979020979020979,0.08566433566433566,0.8164335664335665,1.0,0.25,2.0,0.0,0.0,0.12676577000001998
texas,0,MLP_ONLY,,0.7567567567567568,,0.0,,,,,,,,,,,,,,,
texas,0,FINAL_V3,,0.7567567567567568,0.7796610169491526,0.0,,,,0,0,,,,,,,,,,0.01115897700003643
texas,0,CA_MRC,full,0.7567567567567568,0.7627118644067796,0.0,0.2702702702702703,-0.019782107323408127,2.662045955657959,0,0,0,0.1,0.4,0.5,1.0,0.25,0.5,0.01,0.0,0.013583213999993404
texas,0,CA_MRC,no_compat,0.7567567567567568,0.7966101694915254,0.0,0.3783783783783784,0.03843514621257782,2.4892101287841797,1,1,0,0.14285714285714285,0.2857142857142857,0.5714285714285714,1.0,0.25,1.0,0.05,0.0,0.013113075000035224
texas,0,CA_MRC,entropy_only,0.7567567567567568,0.7627118644067796,0.0,0.2702702702702703,-0.019782107323408127,2.662045955657959,0,0,0,0.1,0.4,0.5,1.0,0.25,0.5,0.01,0.0,0.012973485000031815
texas,0,CA_MRC,mag_only,0.7567567567567568,0.7457627118644068,0.0,0.972972972972973,-0.019782107323408127,2.662045955657959,0,0,0,0.05555555555555555,0.25,0.6944444444444444,1.0,0.25,0.5,0.0,0.0,0.013125678999983847
texas,1,MLP_ONLY,,0.918918918918919,,0.0,,,,,,,,,,,,,,,
texas,1,FINAL_V3,,0.8918918918918919,0.7796610169491526,-0.027027027027027084,,,,0,1,,,,,,,,,,0.011108243000023776
texas,1,CA_MRC,full,0.8918918918918919,0.7966101694915254,-0.027027027027027084,0.24324324324324326,-0.012227716855704784,2.666818618774414,0,1,-1,0.1111111111111111,0.3333333333333333,0.5555555555555556,1.0,0.25,0.5,0.05,0.0,0.013812491999999565
texas,1,CA_MRC,no_compat,0.918918918918919,0.7966101694915254,0.0,0.2972972972972973,0.027520518749952316,2.286743402481079,0,0,0,0.0,0.18181818181818182,0.8181818181818182,1.0,0.25,0.5,0.05,0.0,0.013064855999971314
texas,1,CA_MRC,entropy_only,0.8918918918918919,0.7966101694915254,-0.027027027027027084,0.24324324324324326,-0.012227716855704784,2.666818618774414,0,1,-1,0.1111111111111111,0.3333333333333333,0.5555555555555556,1.0,0.25,0.5,0.05,0.0,0.012989164999964942
texas,1,CA_MRC,mag_only,0.8378378378378378,0.8305084745762712,-0.08108108108108114,0.972972972972973,-0.024394869804382324,2.666818618774414,1,4,-3,0.05555555555555555,0.16666666666666666,0.7777777777777778,1.0,0.25,1.0,0.0,0.0,0.012966412000025684
