dataset,split_id,method,test_acc,val_acc,delta_vs_mlp,frac_confident,frac_corrected_1hop,frac_corrected_2hop,frac_mlp_only_uncertain,mean_H1,mean_H2,mean_DeltaH,n_helped,n_hurt,correction_precision,selected_tau,selected_rho1,selected_rho2,selected_h1_max,selected_delta_min,selected_profile_1hop,selected_profile_2hop,runtime_sec
chameleon,0,MLP_ONLY,0.44956140350877194,,0.0,,,,,,,,,,,,,,,,,,
chameleon,0,FINAL_V3,0.44956140350877194,0.4773662551440329,0.0,0.9517543859649122,,,,,,,0,0,0.0,,,,,,,,0.44569375800000444
chameleon,0,MS_HSGC,0.44956140350877194,0.4718792866941015,0.0,0.9780701754385965,0.0,0.0043859649122807015,0.017543859649122806,0.7551530003547668,0.7104493379592896,0.044703755527734756,0,0,0.0,0.05,0.4,0.4,0.5,0.0,0,0,0.4488184589999946
chameleon,1,MLP_ONLY,0.4407894736842105,,0.0,,,,,,,,,,,,,,,,,,
chameleon,1,FINAL_V3,0.4407894736842105,0.4348422496570645,0.0,0.9605263157894737,,,,,,,0,0,1.0,,,,,,,,0.4421354370000472
chameleon,1,MS_HSGC,0.4407894736842105,0.43072702331961593,0.0,0.9605263157894737,0.0043859649122807015,0.013157894736842105,0.021929824561403508,0.7591081261634827,0.7085192799568176,0.05058883875608444,0,0,0.0,0.1,0.4,0.4,0.5,0.0,0,0,0.44270038700000214
citeseer,0,MLP_ONLY,0.6756756756756757,,0.0,,,,,,,,,,,,,,,,,,
citeseer,0,FINAL_V3,0.6921921921921922,0.7173708920187793,0.016516516516516533,0.7192192192192193,,,,,,,17,6,0.7391304347826086,,,,,,,,0.22763123499998983
citeseer,0,MS_HSGC,0.6756756756756757,0.692018779342723,0.0,0.9129129129129129,0.03753753753753754,0.028528528528528527,0.021021021021021023,0.36265289783477783,0.2557331621646881,0.10691971331834793,0,0,0.0,0.2,0.4,0.4,0.5,0.0,0,0,0.23262492000003476
citeseer,1,MLP_ONLY,0.6966966966966966,,0.0,,,,,,,,,,,,,,,,,,
citeseer,1,FINAL_V3,0.7192192192192193,0.7183098591549296,0.022522522522522626,0.7402402402402403,,,,,,,18,3,0.8571428571428571,,,,,,,,0.22612846399999853
citeseer,1,MS_HSGC,0.6966966966966966,0.6929577464788732,0.0,0.8933933933933934,0.03153153153153153,0.03153153153153153,0.04354354354354354,0.3520360291004181,0.25562942028045654,0.09640665352344513,1,1,0.5,0.2,0.4,0.4,0.5,0.0,0,0,0.22753181000001632
texas,0,MLP_ONLY,0.7567567567567568,,0.0,,,,,,,,,,,,,,,,,,
texas,0,FINAL_V3,0.7567567567567568,0.7796610169491526,0.0,1.0,,,,,,,0,0,1.0,,,,,,,,0.010957002999987253
texas,0,MS_HSGC,0.7567567567567568,0.7796610169491526,0.0,1.0,0.0,0.0,0.0,0.8355911374092102,0.49868375062942505,0.3369075059890747,0,0,1.0,0.05,0.4,0.4,0.5,0.0,0,0,0.00949644900003932
texas,1,MLP_ONLY,0.918918918918919,,0.0,,,,,,,,,,,,,,,,,,
texas,1,FINAL_V3,0.8918918918918919,0.7796610169491526,-0.027027027027027084,0.972972972972973,,,,,,,0,1,0.0,,,,,,,,0.011030798999968283
texas,1,MS_HSGC,0.918918918918919,0.7796610169491526,0.0,0.972972972972973,0.0,0.02702702702702703,0.0,0.8316605091094971,0.4801449775695801,0.35151538252830505,0,0,0.0,0.05,0.4,0.4,0.5,0.0,0,0,0.009633753999992223
