dataset,split_id,h1_max_value,ms_hsgc_test_acc,delta_vs_mlp,delta_vs_final_v3,n_helped,n_hurt,net_help,frac_corrected_1hop,frac_corrected_2hop,frac_mlp_only_uncertain,blocked_by_h1_only,blocked_by_r1,blocked_by_r2,blocked_by_delta,selected_tau,selected_rho1,selected_rho2,selected_delta_min,selected_profile_1hop,selected_profile_2hop
chameleon,0,0.6,0.43859649122807015,-0.0021929824561403577,-0.0021929824561403577,0,1,-1,0.006578947368421052,0.021929824561403508,0.02631578947368421,0.84,0.04,0.36,0.12,0.1,0.3,0.3,0.0,0,0
chameleon,0,0.7,0.4407894736842105,0.0,0.0,1,1,0,0.017543859649122806,0.019736842105263157,0.017543859649122806,0.64,0.04,0.24,0.08,0.1,0.3,0.3,0.0,0,0
chameleon,0,0.8,0.43640350877192985,-0.00438596491228066,-0.00438596491228066,1,3,-2,0.03070175438596491,0.010964912280701754,0.013157894736842105,0.4,0.04,0.2,0.04,0.1,0.3,0.3,0.0,0,0
chameleon,1,0.6,0.4692982456140351,0.004385964912280715,0.004385964912280715,2,0,2,0.010964912280701754,0.02850877192982456,0.019736842105263157,0.7407407407407407,0.07407407407407407,0.18518518518518517,0.14814814814814814,0.1,0.3,0.3,0.0,0,0
chameleon,1,0.7,0.4692982456140351,0.004385964912280715,0.004385964912280715,2,0,2,0.021929824561403508,0.02850877192982456,0.008771929824561403,0.5555555555555556,0.07407407407407407,0.1111111111111111,0.037037037037037035,0.1,0.3,0.3,0.0,0,0
chameleon,1,0.8,0.4692982456140351,0.004385964912280715,0.004385964912280715,2,0,2,0.03508771929824561,0.017543859649122806,0.006578947368421052,0.3333333333333333,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.1,0.3,0.3,0.0,0,0
chameleon,2,0.6,0.4473684210526316,0.0,0.0,0,0,0,0.021929824561403508,0.015350877192982455,0.017543859649122806,0.56,0.04,0.24,0.08,0.1,0.3,0.3,0.0,0,1
chameleon,2,0.7,0.4451754385964912,-0.0021929824561403577,-0.0021929824561403577,0,1,-1,0.02850877192982456,0.010964912280701754,0.015350877192982455,0.44,0.04,0.2,0.08,0.1,0.3,0.3,0.0,0,1
chameleon,2,0.8,0.4451754385964912,-0.0021929824561403577,-0.0021929824561403577,0,1,-1,0.03508771929824561,0.0043859649122807015,0.015350877192982455,0.32,0.04,0.2,0.08,0.1,0.3,0.3,0.0,0,1
chameleon,3,0.6,0.5021929824561403,0.0,0.002192982456140302,0,0,0,0.0021929824561403508,0.010964912280701754,0.013157894736842105,0.75,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.05,0.3,0.3,0.0,0,0
chameleon,3,0.7,0.5021929824561403,0.0,0.002192982456140302,0,0,0,0.008771929824561403,0.006578947368421052,0.010964912280701754,0.5,0.16666666666666666,0.25,0.16666666666666666,0.05,0.3,0.3,0.0,0,0
chameleon,3,0.8,0.5021929824561403,0.0,0.002192982456140302,0,0,0,0.019736842105263157,0.0,0.006578947368421052,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.05,0.3,0.3,0.0,0,0
chameleon,4,0.6,0.48026315789473684,0.0021929824561403577,0.0021929824561403577,1,0,1,0.015350877192982455,0.04824561403508772,0.03508771929824561,0.8222222222222222,0.022222222222222223,0.2222222222222222,0.13333333333333333,0.2,0.3,0.3,0.0,0,1
chameleon,4,0.7,0.48026315789473684,0.0021929824561403577,0.0021929824561403577,1,0,1,0.02631578947368421,0.043859649122807015,0.02850877192982456,0.7111111111111111,0.022222222222222223,0.2,0.08888888888888889,0.2,0.3,0.3,0.0,0,1
chameleon,4,0.8,0.48026315789473684,0.0021929824561403577,0.0021929824561403577,1,0,1,0.039473684210526314,0.03508771929824561,0.02412280701754386,0.5777777777777777,0.022222222222222223,0.2,0.044444444444444446,0.2,0.3,0.3,0.0,0,1
chameleon,5,0.6,0.46710526315789475,0.0,0.0,1,1,0,0.006578947368421052,0.03289473684210526,0.05482456140350877,0.8837209302325582,0.046511627906976744,0.3488372093023256,0.23255813953488372,0.2,0.3,0.3,0.0,0,1
chameleon,5,0.7,0.46710526315789475,0.0,0.0,1,1,0,0.010964912280701754,0.03289473684210526,0.05043859649122807,0.8372093023255814,0.046511627906976744,0.3488372093023256,0.18604651162790697,0.2,0.3,0.3,0.0,0,1
chameleon,5,0.8,0.47149122807017546,0.004385964912280715,0.004385964912280715,2,0,2,0.041666666666666664,0.021929824561403508,0.03070175438596491,0.5116279069767442,0.046511627906976744,0.27906976744186046,0.046511627906976744,0.2,0.3,0.3,0.0,0,1
chameleon,6,0.6,0.45394736842105265,-0.002192982456140302,0.006578947368421073,0,1,-1,0.0021929824561403508,0.02412280701754386,0.021929824561403508,0.8181818181818182,0.13636363636363635,0.36363636363636365,0.09090909090909091,0.1,0.3,0.3,0.0,0,1
chameleon,6,0.7,0.4517543859649123,-0.00438596491228066,0.004385964912280715,0,2,-2,0.008771929824561403,0.021929824561403508,0.017543859649122806,0.6818181818181818,0.13636363636363635,0.3181818181818182,0.045454545454545456,0.1,0.3,0.3,0.0,0,1
chameleon,6,0.8,0.4517543859649123,-0.00438596491228066,0.004385964912280715,0,2,-2,0.008771929824561403,0.021929824561403508,0.017543859649122806,0.6818181818181818,0.13636363636363635,0.3181818181818182,0.045454545454545456,0.1,0.3,0.3,0.0,0,1
chameleon,7,0.6,0.44956140350877194,0.0021929824561403577,0.0021929824561403577,1,0,1,0.03289473684210526,0.10087719298245613,0.07456140350877193,0.8105263157894737,0.031578947368421054,0.28421052631578947,0.07368421052631578,0.2,0.3,0.3,0.0,0,1
chameleon,7,0.7,0.44956140350877194,0.0021929824561403577,0.0021929824561403577,1,0,1,0.05263157894736842,0.09649122807017543,0.05921052631578947,0.7157894736842105,0.031578947368421054,0.25263157894736843,0.031578947368421054,0.2,0.3,0.3,0.0,0,1
chameleon,7,0.8,0.44956140350877194,0.0021929824561403577,0.0021929824561403577,1,0,1,0.11403508771929824,0.05482456140350877,0.039473684210526314,0.42105263157894735,0.031578947368421054,0.17894736842105263,0.010526315789473684,0.2,0.3,0.3,0.0,0,1
chameleon,8,0.6,0.4605263157894737,0.0,0.0,1,1,0,0.010964912280701754,0.006578947368421052,0.006578947368421052,0.5454545454545454,0.0,0.09090909090909091,0.18181818181818182,0.05,0.3,0.3,0.0,0,0
chameleon,8,0.7,0.4605263157894737,0.0,0.0,1,1,0,0.013157894736842105,0.006578947368421052,0.0043859649122807015,0.45454545454545453,0.0,0.09090909090909091,0.09090909090909091,0.05,0.3,0.3,0.0,0,0
chameleon,8,0.8,0.4605263157894737,0.0,0.0,1,1,0,0.013157894736842105,0.006578947368421052,0.0043859649122807015,0.45454545454545453,0.0,0.09090909090909091,0.09090909090909091,0.05,0.3,0.3,0.0,0,0
chameleon,9,0.6,0.4451754385964912,0.0,0.0,0,0,0,0.02412280701754386,0.02850877192982456,0.03289473684210526,0.6923076923076923,0.02564102564102564,0.2564102564102564,0.1282051282051282,0.2,0.3,0.3,0.0,0,1
chameleon,9,0.7,0.4451754385964912,0.0,0.0,0,0,0,0.02631578947368421,0.02850877192982456,0.03070175438596491,0.6666666666666666,0.02564102564102564,0.2564102564102564,0.10256410256410256,0.2,0.3,0.3,0.0,0,1
chameleon,9,0.8,0.4451754385964912,0.0,0.0,0,0,0,0.03728070175438596,0.021929824561403508,0.02631578947368421,0.5384615384615384,0.02564102564102564,0.20512820512820512,0.10256410256410256,0.2,0.3,0.3,0.0,0,1
citeseer,0,0.6,0.6831831831831832,0.0,-0.009009009009009028,2,2,0,0.018018018018018018,0.036036036036036036,0.016516516516516516,0.6382978723404256,0.10638297872340426,0.2127659574468085,0.02127659574468085,0.2,0.3,0.3,0.0,0,1
