dataset,split_id,mlp_test_acc,final_v3_test_acc,ca_mrc_test_acc,delta_ca_mrc_vs_final_v3
chameleon,0,0.44956140350877194,0.44956140350877194,0.4473684210526316,-0.0021929824561403577
chameleon,1,0.4407894736842105,0.4407894736842105,0.43859649122807015,-0.0021929824561403577
citeseer,0,0.6756756756756757,0.6921921921921922,0.7102102102102102,0.018018018018018056
citeseer,1,0.6966966966966966,0.7192192192192193,0.7207207207207207,0.0015015015015014122
texas,0,0.7567567567567568,0.7567567567567568,0.7567567567567568,0.0
texas,1,0.918918918918919,0.8918918918918919,0.8918918918918919,0.0
