dataset,split_id,seed,variant,test_acc,mlp_test_acc,delta_vs_mlp,fraction_routed_to_correction,fraction_changed_vs_mlp,changed_precision,n_helped,n_hurt,selected_tau,selected_rho,mean_reliability_corrected,mean_margin_corrected
cora,0,133700,FINAL_V3,0.7203219315895373,0.6921529175050302,0.028169014084507116,0.2676056338028169,0.04627766599597585,0.85,17,3,0.71587,0.3,0.568469060996586,0.3499422577538885
cora,0,133700,ABL_NO_RELIABILITY_GATE,0.7263581488933601,0.6921529175050302,0.03420523138832998,0.289738430583501,0.05432595573440644,0.8695652173913043,20,3,0.71587,0.3,1.0,nan
cora,0,133700,ABL_BALANCED_PROFILE_ONLY,0.7183098591549296,0.6921529175050302,0.026156941649899457,0.13279678068410464,0.03420523138832998,0.9333333333333333,14,1,0.3,0.3,0.5263174662092016,nan
cora,0,133700,ABL_GRAPH_HEAVY_PROFILE_ONLY,0.7203219315895373,0.6921529175050302,0.028169014084507116,0.2676056338028169,0.04627766599597585,0.85,17,3,0.71587,0.3,0.568469060996586,nan
cora,0,133700,ABL_NO_COMPATIBILITY,0.716297786720322,0.6921529175050302,0.024144869215291798,0.13279678068410464,0.03822937625754527,0.875,14,2,0.3,0.3,0.5263174662092016,nan
cora,0,133700,ABL_NO_PROTOTYPE,0.7183098591549296,0.6921529175050302,0.026156941649899457,0.2676056338028169,0.04426559356136821,0.8421052631578947,16,3,0.71587,0.3,0.568469060996586,nan
cora,1,133800,FINAL_V3,0.7303822937625755,0.6981891348088531,0.03219315895372232,0.22132796780684105,0.04024144869215292,0.9,18,2,0.68542,0.3,0.5736310182332338,0.35190674046223813
cora,1,133800,ABL_NO_RELIABILITY_GATE,0.7344064386317908,0.6981891348088531,0.03621730382293764,0.2515090543259557,0.04627766599597585,0.9090909090909091,20,2,0.68542,0.3,1.0,nan
cora,1,133800,ABL_BALANCED_PROFILE_ONLY,0.7122736418511066,0.6981891348088531,0.014084507042253502,0.08853118712273642,0.014084507042253521,1.0,7,0,0.3,0.3,0.5910600286186593,nan
cora,1,133800,ABL_GRAPH_HEAVY_PROFILE_ONLY,0.7303822937625755,0.6981891348088531,0.03219315895372232,0.22132796780684105,0.04024144869215292,0.9,18,2,0.68542,0.3,0.5736310182332338,nan
cora,1,133800,ABL_NO_COMPATIBILITY,0.7122736418511066,0.6981891348088531,0.014084507042253502,0.08853118712273642,0.018108651911468814,0.8888888888888888,8,1,0.3,0.3,0.5910600286186593,nan
cora,1,133800,ABL_NO_PROTOTYPE,0.7303822937625755,0.6981891348088531,0.03219315895372232,0.22132796780684105,0.04024144869215292,0.9,18,2,0.68542,0.3,0.5736310182332338,nan
cora,2,133900,FINAL_V3,0.7665995975855131,0.7424547283702213,0.024144869215291798,0.19114688128772636,0.028169014084507043,0.9285714285714286,13,1,0.70031,0.3,0.5813728753777808,0.3774329257638831
cora,2,133900,ABL_NO_RELIABILITY_GATE,0.7665995975855131,0.7424547283702213,0.024144869215291798,0.2112676056338028,0.03420523138832998,0.875,14,2,0.70031,0.3,1.0,nan
cora,2,133900,ABL_BALANCED_PROFILE_ONLY,0.7565392354124748,0.7424547283702213,0.014084507042253502,0.07042253521126761,0.014084507042253521,1.0,7,0,0.3,0.3,0.5607008632291214,nan
cora,2,133900,ABL_GRAPH_HEAVY_PROFILE_ONLY,0.7665995975855131,0.7424547283702213,0.024144869215291798,0.19114688128772636,0.028169014084507043,0.9285714285714286,13,1,0.70031,0.3,0.5813728753777808,nan
cora,2,133900,ABL_NO_COMPATIBILITY,0.7645875251509054,0.7424547283702213,0.02213279678068414,0.19114688128772636,0.022132796780684104,1.0,11,0,0.70031,0.3,0.5813728753777808,nan
cora,2,133900,ABL_NO_PROTOTYPE,0.7665995975855131,0.7424547283702213,0.024144869215291798,0.19114688128772636,0.028169014084507043,0.9285714285714286,13,1,0.70031,0.3,0.5813728753777808,nan
