dataset,split_id,mlp_test_acc,final_v3_test_acc,ms_hsgc_test_acc,delta_ms_hsgc_vs_final_v3
chameleon,0,0.4407894736842105,0.4407894736842105,0.43859649122807015,-0.0021929824561403577
chameleon,1,0.4649122807017544,0.4649122807017544,0.4692982456140351,0.004385964912280715
chameleon,2,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.0
chameleon,3,0.5021929824561403,0.5,0.5021929824561403,0.002192982456140302
chameleon,4,0.4780701754385965,0.4780701754385965,0.48026315789473684,0.0021929824561403577
chameleon,5,0.46710526315789475,0.46710526315789475,0.46710526315789475,0.0
chameleon,6,0.45614035087719296,0.4473684210526316,0.45394736842105265,0.006578947368421073
chameleon,7,0.4473684210526316,0.4473684210526316,0.44956140350877194,0.0021929824561403577
chameleon,8,0.4605263157894737,0.4605263157894737,0.46271929824561403,0.0021929824561403577
chameleon,9,0.4451754385964912,0.4451754385964912,0.4451754385964912,0.0
citeseer,0,0.6831831831831832,0.6921921921921922,0.6831831831831832,-0.009009009009009028
citeseer,1,0.6921921921921922,0.7102102102102102,0.6981981981981982,-0.012012012012012074
citeseer,2,0.6696696696696697,0.6921921921921922,0.6741741741741741,-0.018018018018018056
citeseer,3,0.6336336336336337,0.6606606606606606,0.6381381381381381,-0.022522522522522515
citeseer,4,0.7028301886792453,0.7382075471698113,0.714622641509434,-0.023584905660377298
citeseer,5,0.6768867924528302,0.7004716981132075,0.6910377358490566,-0.009433962264150941
citeseer,6,0.6741741741741741,0.6996996996996997,0.6831831831831832,-0.016516516516516533
citeseer,7,0.6711711711711712,0.6996996996996997,0.6741741741741741,-0.02552552552552556
citeseer,8,0.6771771771771772,0.7117117117117117,0.6801801801801802,-0.03153153153153143
citeseer,9,0.7372372372372372,0.7612612612612613,0.7507507507507507,-0.010510510510510551
texas,0,0.7567567567567568,0.7567567567567568,0.7567567567567568,0.0
texas,1,0.9459459459459459,0.972972972972973,0.9459459459459459,-0.027027027027027084
texas,2,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.0
texas,3,0.8108108108108109,0.8378378378378378,0.8108108108108109,-0.027027027027026973
texas,4,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.0
texas,5,0.7567567567567568,0.7297297297297297,0.7567567567567568,0.027027027027027084
texas,6,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.0
texas,7,0.7837837837837838,0.8108108108108109,0.7837837837837838,-0.027027027027027084
texas,8,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.0
texas,9,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.0
