dataset,split_id,seed,homophily,num_nodes,avg_degree,num_classes,train_size,val_size,test_size,test_acc_mlp_base,method,test_acc,delta_over_mlp,test_acc_mlp,threshold,uncertain_frac,changed_frac,runtime_sec,percentile,reliability_threshold,frac_full_graph,frac_feat_only,mean_reliability
cora,0,1337,0.81,2708,3.9,7,1192,796,497,0.676056338028169,mlp_only,0.676056338028169,0.0,,,,,,,,,,
cora,0,1337,0.81,2708,3.9,7,1192,796,497,0.676056338028169,sgc_v1,0.7223340040241448,0.046277665995975825,0.676056338028169,0.593693,0.2535211267605634,0.060362173038229376,0.1616037219998816,,,,,
cora,0,1337,0.81,2708,3.9,7,1192,796,497,0.676056338028169,sgc_v2_reliability,0.7203219315895373,0.04426559356136828,0.676056338028169,0.593693,0.2535211267605634,,0.3261184170000888,nan,0.3,0.22334004024144868,0.030181086519114688,0.6344984675830101
cora,0,1337,0.81,2708,3.9,7,1192,796,497,0.676056338028169,sgc_v2_percentile,0.7243460764587525,0.048289738430583484,0.676056338028169,0.5936930552124977,0.2535211267605634,,0.29744898100011596,0.2,-1.0,0.2535211267605634,0.0,0.6344984675830101
cora,0,1337,0.81,2708,3.9,7,1192,796,497,0.676056338028169,sgc_v2_full,0.7203219315895373,0.04426559356136828,0.676056338028169,0.5936930552124977,0.2535211267605634,,0.3172034710000844,0.2,0.3,0.22334004024144868,0.030181086519114688,0.6344984675830101
cora,1,1338,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,mlp_only,0.7142857142857143,0.0,,,,,,,,,,
cora,1,1338,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,sgc_v1,0.7283702213279678,0.014084507042253502,0.7142857142857143,0.576114,0.17706237424547283,0.03219315895372234,0.1380716470000607,,,,,
cora,1,1338,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,sgc_v2_reliability,0.7283702213279678,0.014084507042253502,0.7142857142857143,0.576114,0.17706237424547283,,0.30464094299998123,nan,0.3,0.15694164989939638,0.02012072434607646,0.6521344677849984
cora,1,1338,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,sgc_v2_percentile,0.7263581488933601,0.012072434607645843,0.7142857142857143,0.5761143565177917,0.17706237424547283,,0.29944387600005484,0.2,-1.0,0.17706237424547283,0.0,0.6521344677849984
cora,1,1338,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,sgc_v2_full,0.7283702213279678,0.014084507042253502,0.7142857142857143,0.5761143565177917,0.17706237424547283,,0.31537009700002727,0.2,0.3,0.15694164989939638,0.02012072434607646,0.6521344677849984
chameleon,0,1337,0.2305,2277,27.58,5,1092,729,456,0.4780701754385965,mlp_only,0.4780701754385965,0.0,,,,,,,,,,
chameleon,0,1337,0.2305,2277,27.58,5,1092,729,456,0.4780701754385965,sgc_v1,0.4758771929824561,-0.0021929824561403577,0.4780701754385965,0.05,0.03070175438596491,0.013157894736842105,0.44442272900005264,,,,,
chameleon,0,1337,0.2305,2277,27.58,5,1092,729,456,0.4780701754385965,sgc_v2_reliability,0.4758771929824561,-0.0021929824561403577,0.4780701754385965,0.05,0.03070175438596491,,0.6330396560001645,nan,0.6,0.0,0.03070175438596491,0.27368715804658816
chameleon,0,1337,0.2305,2277,27.58,5,1092,729,456,0.4780701754385965,sgc_v2_percentile,0.4780701754385965,0.0,0.4780701754385965,0.20714762210845944,0.11403508771929824,,0.6278885750000427,0.1,-1.0,0.11403508771929824,0.0,0.27368715804658816
chameleon,0,1337,0.2305,2277,27.58,5,1092,729,456,0.4780701754385965,sgc_v2_full,0.4758771929824561,-0.0021929824561403577,0.4780701754385965,0.20714762210845944,0.11403508771929824,,0.6451474980001421,0.1,0.5,0.008771929824561403,0.10526315789473684,0.27368715804658816
chameleon,1,1338,0.2305,2277,27.58,5,1092,729,456,0.4605263157894737,mlp_only,0.4605263157894737,0.0,,,,,,,,,,
chameleon,1,1338,0.2305,2277,27.58,5,1092,729,456,0.4605263157894737,sgc_v1,0.46271929824561403,0.0021929824561403577,0.4605263157894737,0.15,0.06140350877192982,0.017543859649122806,0.4476812189999464,,,,,
chameleon,1,1338,0.2305,2277,27.58,5,1092,729,456,0.4605263157894737,sgc_v2_reliability,0.4605263157894737,0.0,0.4605263157894737,0.25,0.12280701754385964,,0.6456205779999209,nan,0.4,0.03508771929824561,0.08771929824561403,0.28437778994752344
