dataset,split_id,method,test_acc,val_acc,delta_vs_mlp,delta_vs_final_v3,frac_confident,frac_corrected_1hop,frac_corrected_2hop,frac_mlp_only_uncertain,mean_H1,mean_H2,mean_DeltaH,n_helped,n_hurt,net_help,correction_precision,blocked_by_h1_only,blocked_by_r1,blocked_by_r2,blocked_by_delta,selected_tau,selected_rho1,selected_rho2,selected_h1_max,selected_delta_min,selected_profile_1hop,selected_profile_2hop,h1_max_override,runtime_sec
chameleon,0,MLP_ONLY,0.4407894736842105,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
chameleon,0,FINAL_V3,0.4407894736842105,0.47050754458161864,0.0,,0.9451754385964912,,,,,,,0,0,,1.0,,,,,,,,,,,,,0.43723672800001623
chameleon,0,MS_HSGC,0.43859649122807015,0.47050754458161864,-0.0021929824561403577,-0.0021929824561403577,0.9451754385964912,0.0,0.021929824561403508,0.03289473684210526,0.7563980221748352,0.7090420722961426,0.04735603183507919,0,1,-1,0.0,0.96,0.04,0.4,0.2,0.1,0.3,0.3,0.4,0.0,0,0,,0.4552685510000174
chameleon,1,MLP_ONLY,0.4649122807017544,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
chameleon,1,FINAL_V3,0.4649122807017544,0.4540466392318244,0.0,,0.9692982456140351,,,,,,,0,0,,1.0,,,,,,,,,,,,,0.4386616290000802
chameleon,1,MS_HSGC,0.4692982456140351,0.4554183813443073,0.004385964912280715,0.004385964912280715,0.9407894736842105,0.010964912280701754,0.02850877192982456,0.019736842105263157,0.7547256946563721,0.7044392824172974,0.05028644949197769,2,0,2,0.6666666666666666,0.7407407407407407,0.07407407407407407,0.18518518518518517,0.14814814814814814,0.1,0.3,0.3,0.4,0.0,0,0,,0.46604040100010025
chameleon,2,MLP_ONLY,0.4473684210526316,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
chameleon,2,FINAL_V3,0.4473684210526316,0.43621399176954734,0.0,,0.9671052631578947,,,,,,,0,0,,1.0,,,,,,,,,,,,,0.4384370499999477
chameleon,2,MS_HSGC,0.4473684210526316,0.4375857338820302,0.0,0.0,0.9451754385964912,0.008771929824561403,0.015350877192982455,0.03070175438596491,0.7550336122512817,0.7011533379554749,0.053880248218774796,0,0,0,0.0,0.8,0.04,0.36,0.2,0.1,0.3,0.3,0.4,0.0,0,1,,0.4660673379999025
chameleon,3,MLP_ONLY,0.5021929824561403,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
chameleon,3,FINAL_V3,0.5,0.4430727023319616,-0.002192982456140302,,0.9144736842105263,,,,,,,1,2,,0.3333333333333333,,,,,,,,,,,,,0.43916310700001304
chameleon,3,MS_HSGC,0.5021929824561403,0.438957475994513,0.0,0.002192982456140302,0.9736842105263158,0.0021929824561403508,0.010964912280701754,0.013157894736842105,0.7634247541427612,0.7079915404319763,0.055433157831430435,0,0,0,0.0,0.75,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.05,0.3,0.3,0.4,0.0,0,0,,0.46549112000002424
chameleon,4,MLP_ONLY,0.4780701754385965,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
chameleon,4,FINAL_V3,0.4780701754385965,0.44718792866941015,0.0,,0.9013157894736842,,,,,,,1,1,,0.5,,,,,,,,,,,,,0.44163795400004346
chameleon,4,MS_HSGC,0.48026315789473684,0.4458161865569273,0.0021929824561403577,0.0021929824561403577,0.9013157894736842,0.008771929824561403,0.04824561403508772,0.041666666666666664,0.7549980878829956,0.7063199281692505,0.048678137362003326,1,0,1,0.5,0.8888888888888888,0.022222222222222223,0.24444444444444444,0.17777777777777778,0.2,0.3,0.3,0.4,0.0,0,1,,0.4663833029999296
chameleon,5,MLP_ONLY,0.46710526315789475,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
chameleon,5,FINAL_V3,0.46710526315789475,0.4540466392318244,0.0,,0.9758771929824561,,,,,,,0,0,,1.0,,,,,,,,,,,,,0.43686902699982966
chameleon,5,MS_HSGC,0.46710526315789475,0.4567901234567901,0.0,0.0,0.9057017543859649,0.0021929824561403508,0.03289473684210526,0.05921052631578947,0.7609574794769287,0.7117007374763489,0.04925673454999924,1,1,0,0.25,0.9302325581395349,0.046511627906976744,0.3488372093023256,0.27906976744186046,0.2,0.3,0.3,0.4,0.0,0,1,,0.4673154380000142
chameleon,6,MLP_ONLY,0.45614035087719296,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
chameleon,6,FINAL_V3,0.4473684210526316,0.4499314128943759,-0.008771929824561375,,0.8991228070175439,,,,,,,0,4,,0.0,,,,,,,,,,,,,0.44104085999993003
chameleon,6,MS_HSGC,0.45394736842105265,0.44718792866941015,-0.002192982456140302,0.006578947368421073,0.9517543859649122,0.0,0.02412280701754386,0.02412280701754386,0.7599772214889526,0.707546591758728,0.0524306520819664,0,1,-1,0.0,0.8636363636363636,0.13636363636363635,0.36363636363636365,0.13636363636363635,0.1,0.3,0.3,0.4,0.0,0,1,,0.46455720599988126
chameleon,7,MLP_ONLY,0.4473684210526316,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
chameleon,7,FINAL_V3,0.4473684210526316,0.4375857338820302,0.0,,0.9407894736842105,,,,,,,1,1,,0.5,,,,,,,,,,,,,0.439987851000069
chameleon,7,MS_HSGC,0.44956140350877194,0.43621399176954734,0.0021929824561403577,0.0021929824561403577,0.7916666666666666,0.006578947368421052,0.10087719298245613,0.10087719298245613,0.760125994682312,0.7086890935897827,0.05143682658672333,1,0,1,0.5,0.9368421052631579,0.031578947368421054,0.29473684210526313,0.18947368421052632,0.2,0.3,0.3,0.4,0.0,0,1,,0.4685027909999917
chameleon,8,MLP_ONLY,0.4605263157894737,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
chameleon,8,FINAL_V3,0.4605263157894737,0.49108367626886146,0.0,,0.9758771929824561,,,,,,,0,0,,1.0,,,,,,,,,,,,,0.441321046999974
chameleon,8,MS_HSGC,0.46271929824561403,0.4924554183813443,0.0021929824561403577,0.0021929824561403577,0.9758771929824561,0.0,0.008771929824561403,0.015350877192982455,0.753818929195404,0.706091582775116,0.0477273054420948,1,0,1,0.5,1.0,0.0,0.18181818181818182,0.45454545454545453,0.05,0.3,0.3,0.4,0.0,0,0,,0.46633970500010946
chameleon,9,MLP_ONLY,0.4451754385964912,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
