dataset,split_id,method,test_acc,val_acc,delta_vs_mlp,delta_vs_final_v3,frac_confident,frac_corrected_1hop,frac_corrected_2hop,frac_mlp_only_uncertain,mean_H1,mean_H2,mean_DeltaH,n_helped,n_hurt,net_help,correction_precision,blocked_by_h1_only,blocked_by_r1,blocked_by_r2,blocked_by_delta,selected_tau,selected_rho1,selected_rho2,selected_h1_max,selected_delta_min,selected_profile_1hop,selected_profile_2hop,h1_max_override,runtime_sec
chameleon,9,FINAL_V3,0.4451754385964912,0.4375857338820302,0.0,,0.9605263157894737,,,,,,,1,1,,0.5,,,,,,,,,,,,,0.44055041199999323
chameleon,9,MS_HSGC,0.4451754385964912,0.4375857338820302,0.0,0.0,0.9144736842105263,0.008771929824561403,0.02850877192982456,0.04824561403508772,0.7554609179496765,0.7163973450660706,0.03906359151005745,0,0,0,0.0,0.8717948717948718,0.02564102564102564,0.3076923076923077,0.2564102564102564,0.2,0.3,0.3,0.4,0.0,0,1,,0.46663560599995435
citeseer,0,MLP_ONLY,0.6831831831831832,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
citeseer,0,FINAL_V3,0.6921921921921922,0.6976525821596244,0.009009009009009028,,0.7297297297297297,,,,,,,16,10,,0.6153846153846154,,,,,,,,,,,,,0.22443082800009506
citeseer,0,MS_HSGC,0.6831831831831832,0.6826291079812207,0.0,-0.009009009009009028,0.9294294294294294,0.016516516516516516,0.03753753753753754,0.016516516516516516,0.37230879068374634,0.2569490969181061,0.11535973101854324,2,2,0,0.4,0.6595744680851063,0.10638297872340426,0.2127659574468085,0.02127659574468085,0.2,0.3,0.3,0.4,0.0,0,1,,0.2661236259998532
citeseer,1,MLP_ONLY,0.6921921921921922,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
citeseer,1,FINAL_V3,0.7102102102102102,0.7183098591549296,0.018018018018018056,,0.7342342342342343,,,,,,,17,5,,0.7727272727272727,,,,,,,,,,,,,0.22597823199998857
citeseer,1,MS_HSGC,0.6981981981981982,0.6976525821596244,0.006006006006005982,-0.012012012012012074,0.9294294294294294,0.013513513513513514,0.02702702702702703,0.03003003003003003,0.3486185073852539,0.24948394298553467,0.09913451969623566,4,0,4,0.8,0.6170212765957447,0.19148936170212766,0.425531914893617,0.0,0.2,0.3,0.3,0.4,0.0,0,1,,0.2628297010001006
citeseer,2,MLP_ONLY,0.6696696696696697,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
citeseer,2,FINAL_V3,0.6921921921921922,0.7070422535211267,0.022522522522522515,,0.7252252252252253,,,,,,,18,3,,0.8571428571428571,,,,,,,,,,,,,0.22589774500011117
citeseer,2,MS_HSGC,0.6741741741741741,0.6985915492957746,0.0045045045045044585,-0.018018018018018056,0.9144144144144144,0.03003003003003003,0.025525525525525526,0.03003003003003003,0.35367801785469055,0.24955548346042633,0.10412251204252243,3,0,3,1.0,0.47368421052631576,0.17543859649122806,0.3157894736842105,0.03508771929824561,0.2,0.3,0.3,0.4,0.0,0,0,,0.26235986500000763
citeseer,3,MLP_ONLY,0.6336336336336337,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
citeseer,3,FINAL_V3,0.6606606606606606,0.7014084507042253,0.027027027027026973,,0.7222222222222222,,,,,,,22,4,,0.8461538461538461,,,,,,,,,,,,,0.22683938499994838
citeseer,3,MS_HSGC,0.6381381381381381,0.6835680751173709,0.0045045045045044585,-0.022522522522522515,0.9264264264264265,0.028528528528528527,0.03003003003003003,0.015015015015015015,0.3694220781326294,0.2580927908420563,0.11132930219173431,4,1,3,0.8,0.46938775510204084,0.14285714285714285,0.20408163265306123,0.0,0.2,0.3,0.3,0.4,0.0,0,1,,0.2655247759998929
citeseer,4,MLP_ONLY,0.7028301886792453,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
citeseer,4,FINAL_V3,0.7382075471698113,0.7142857142857143,0.035377358490566,,0.7594339622641509,,,,,,,19,4,,0.8260869565217391,,,,,,,,,,,,,0.2168378970000049
citeseer,4,MS_HSGC,0.714622641509434,0.6966126656848306,0.011792452830188704,-0.023584905660377298,0.9150943396226415,0.02830188679245283,0.02830188679245283,0.02830188679245283,0.43239864706993103,0.3093293011188507,0.1230693906545639,5,0,5,0.8333333333333334,0.6111111111111112,0.05555555555555555,0.3055555555555556,0.027777777777777776,0.2,0.3,0.3,0.4,0.0,0,0,,0.25254603899998074
citeseer,5,MLP_ONLY,0.6768867924528302,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
citeseer,5,FINAL_V3,0.7004716981132075,0.7245949926362297,0.023584905660377298,,0.7311320754716981,,,,,,,15,5,,0.75,,,,,,,,,,,,,0.21605121900006452
citeseer,5,MS_HSGC,0.6910377358490566,0.7098674521354934,0.014150943396226356,-0.009433962264150941,0.9033018867924528,0.03773584905660377,0.02358490566037736,0.03537735849056604,0.4411819279193878,0.31563666462898254,0.12554527819156647,6,0,6,0.8571428571428571,0.4146341463414634,0.1951219512195122,0.36585365853658536,0.0,0.2,0.3,0.3,0.4,0.0,0,1,,0.2535154510001121
citeseer,6,MLP_ONLY,0.6741741741741741,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
citeseer,6,FINAL_V3,0.6996996996996997,0.7211267605633803,0.02552552552552556,,0.7627627627627628,,,,,,,21,4,,0.84,,,,,,,,,,,,,0.22636953100004575
citeseer,6,MS_HSGC,0.6831831831831832,0.704225352112676,0.009009009009009028,-0.016516516516516533,0.9174174174174174,0.01951951951951952,0.028528528528528527,0.03453453453453453,0.3673371374607086,0.2559138834476471,0.11142319440841675,6,0,6,0.8571428571428571,0.5636363636363636,0.2,0.36363636363636365,0.05454545454545454,0.2,0.3,0.3,0.4,0.0,0,1,,0.2635700529999667
citeseer,7,MLP_ONLY,0.6711711711711712,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
citeseer,7,FINAL_V3,0.6996996996996997,0.6957746478873239,0.028528528528528496,,0.7342342342342343,,,,,,,23,4,,0.8518518518518519,,,,,,,,,,,,,0.3318990779998785
citeseer,7,MS_HSGC,0.6741741741741741,0.67981220657277,0.0030030030030029353,-0.02552552552552556,0.9309309309309309,0.012012012012012012,0.03003003003003003,0.02702702702702703,0.3583638072013855,0.2589589059352875,0.09940491616725922,3,1,2,0.6,0.6521739130434783,0.17391304347826086,0.32608695652173914,0.06521739130434782,0.2,0.3,0.3,0.4,0.0,0,0,,0.2634944750000159
citeseer,8,MLP_ONLY,0.6771771771771772,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
citeseer,8,FINAL_V3,0.7117117117117117,0.6835680751173709,0.03453453453453448,,0.7222222222222222,,,,,,,25,2,,0.9259259259259259,,,,,,,,,,,,,0.22450757299998259
citeseer,8,MS_HSGC,0.6801801801801802,0.6629107981220658,0.0030030030030030463,-0.03153153153153143,0.9309309309309309,0.016516516516516516,0.024024024024024024,0.028528528528528527,0.3667706251144409,0.26025068759918213,0.1065199226140976,2,0,2,0.6666666666666666,0.5434782608695652,0.21739130434782608,0.34782608695652173,0.06521739130434782,0.2,0.3,0.3,0.4,0.0,0,1,,0.2633144189999257
citeseer,9,MLP_ONLY,0.7372372372372372,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
citeseer,9,FINAL_V3,0.7612612612612613,0.6995305164319249,0.024024024024024038,,0.7717717717717718,,,,,,,24,8,,0.75,,,,,,,,,,,,,0.22483309499989446
citeseer,9,MS_HSGC,0.7507507507507507,0.6835680751173709,0.013513513513513487,-0.010510510510510551,0.9204204204204204,0.021021021021021023,0.042042042042042045,0.016516516516516516,0.3508296310901642,0.2575336992740631,0.09329599142074585,10,1,9,0.8333333333333334,0.6415094339622641,0.09433962264150944,0.16981132075471697,0.03773584905660377,0.2,0.3,0.3,0.4,0.0,0,1,,0.26412210599983155
texas,0,MLP_ONLY,0.7567567567567568,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
texas,0,FINAL_V3,0.7567567567567568,0.8135593220338984,0.0,,0.9459459459459459,,,,,,,0,0,,0.0,,,,,,,,,,,,,0.011009025000021211
texas,0,MS_HSGC,0.7567567567567568,0.8135593220338984,0.0,0.0,0.9459459459459459,0.0,0.02702702702702703,0.02702702702702703,0.812318742275238,0.4780128002166748,0.3343060314655304,0,0,0,0.0,1.0,0.0,0.5,0.0,0.05,0.3,0.3,0.4,0.0,0,0,,0.018500908000078198
texas,1,MLP_ONLY,0.9459459459459459,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
texas,1,FINAL_V3,0.972972972972973,0.8305084745762712,0.027027027027027084,,0.972972972972973,,,,,,,1,0,,1.0,,,,,,,,,,,,,0.011060813000085545
texas,1,MS_HSGC,0.9459459459459459,0.8135593220338984,0.0,-0.027027027027027084,0.972972972972973,0.0,0.0,0.02702702702702703,0.8624465465545654,0.4759262204170227,0.38652029633522034,0,0,0,1.0,1.0,0.0,1.0,0.0,0.05,0.3,0.3,0.4,0.0,0,0,,0.018591657999877498
texas,2,MLP_ONLY,0.8378378378378378,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
texas,2,FINAL_V3,0.8378378378378378,0.8305084745762712,0.0,,1.0,,,,,,,0,0,,1.0,,,,,,,,,,,,,0.010855750000018816
texas,2,MS_HSGC,0.8378378378378378,0.8305084745762712,0.0,0.0,1.0,0.0,0.0,0.0,0.8157603740692139,0.4750401973724365,0.34072017669677734,0,0,0,1.0,0.0,0.0,0.0,0.0,0.05,0.3,0.3,0.4,0.0,0,0,,0.01777308800001265
texas,3,MLP_ONLY,0.8108108108108109,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
texas,3,FINAL_V3,0.8378378378378378,0.847457627118644,0.027027027027026973,,0.9459459459459459,,,,,,,1,0,,1.0,,,,,,,,,,,,,0.011339243000065835
texas,3,MS_HSGC,0.8108108108108109,0.847457627118644,0.0,-0.027027027027026973,0.9459459459459459,0.0,0.0,0.05405405405405406,0.905327320098877,0.4557141065597534,0.44961315393447876,0,0,0,1.0,1.0,0.0,1.0,0.0,0.05,0.3,0.3,0.4,0.0,0,0,,0.0194032449999213
texas,4,MLP_ONLY,0.7297297297297297,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
texas,4,FINAL_V3,0.7297297297297297,0.7966101694915254,0.0,,0.9459459459459459,,,,,,,0,0,,0.0,,,,,,,,,,,,,0.011301626999966174
texas,4,MS_HSGC,0.7297297297297297,0.7627118644067796,0.0,0.0,0.9459459459459459,0.0,0.0,0.05405405405405406,0.8331459164619446,0.516380786895752,0.3167651295661926,0,0,0,1.0,0.5,0.5,1.0,0.0,0.05,0.3,0.3,0.4,0.0,0,0,,0.020941216999972312
texas,5,MLP_ONLY,0.7567567567567568,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
texas,5,FINAL_V3,0.7297297297297297,0.864406779661017,-0.027027027027027084,,0.972972972972973,,,,,,,0,1,,0.0,,,,,,,,,,,,,0.011460522999868772
texas,5,MS_HSGC,0.7567567567567568,0.864406779661017,0.0,0.027027027027027084,0.972972972972973,0.0,0.02702702702702703,0.0,0.8968522548675537,0.5084983706474304,0.3883538544178009,0,0,0,0.0,1.0,0.0,0.0,0.0,0.05,0.3,0.3,0.4,0.0,0,0,,0.021184310000080586
texas,6,MLP_ONLY,0.8108108108108109,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
texas,6,FINAL_V3,0.8108108108108109,0.7966101694915254,0.0,,0.972972972972973,,,,,,,0,0,,1.0,,,,,,,,,,,,,0.011293401000102676
texas,6,MS_HSGC,0.8108108108108109,0.7966101694915254,0.0,0.0,0.972972972972973,0.0,0.02702702702702703,0.0,0.8603020310401917,0.49893227219581604,0.36136969923973083,0,0,0,0.0,1.0,0.0,0.0,0.0,0.05,0.3,0.3,0.4,0.0,0,0,,0.017742796999982602
texas,7,MLP_ONLY,0.7837837837837838,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
texas,7,FINAL_V3,0.8108108108108109,0.7966101694915254,0.027027027027027084,,0.972972972972973,,,,,,,1,0,,1.0,,,,,,,,,,,,,0.011159891000033895
texas,7,MS_HSGC,0.7837837837837838,0.7966101694915254,0.0,-0.027027027027027084,0.972972972972973,0.0,0.0,0.02702702702702703,0.8957988023757935,0.4866485595703125,0.40915021300315857,0,0,0,1.0,1.0,0.0,1.0,0.0,0.05,0.3,0.3,0.4,0.0,0,0,,0.019045292000100744
texas,8,MLP_ONLY,0.7297297297297297,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
texas,8,FINAL_V3,0.7297297297297297,0.8305084745762712,0.0,,1.0,,,,,,,0,0,,1.0,,,,,,,,,,,,,0.012237985999945522
texas,8,MS_HSGC,0.7297297297297297,0.8305084745762712,0.0,0.0,1.0,0.0,0.0,0.0,0.8262842893600464,0.48307424783706665,0.3432099223136902,0,0,0,1.0,0.0,0.0,0.0,0.0,0.05,0.3,0.3,0.4,0.0,0,0,,0.01839696999991247
texas,9,MLP_ONLY,0.8918918918918919,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
texas,9,FINAL_V3,0.8918918918918919,0.7796610169491526,0.0,,0.918918918918919,,,,,,,0,0,,1.0,,,,,,,,,,,,,0.011386305000087305
texas,9,MS_HSGC,0.8918918918918919,0.7796610169491526,0.0,0.0,0.918918918918919,0.0,0.08108108108108109,0.0,0.8200972080230713,0.435393750667572,0.38470345735549927,0,0,0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.05,0.3,0.3,0.4,0.0,0,0,,0.01899586900003669
