dataset,split_id,seed,variant,mlp_test_acc,test_acc,delta_vs_mlp,selected_tau,selected_rho
cora,0,133700,FINAL_V3,0.6921529175050302,0.7203219315895373,0.028169014084507116,0.71587,0.3
cora,0,133700,NO_RELIABILITY_GATE,0.6921529175050302,0.7263581488933601,0.03420523138832998,0.71587,0.3
cora,0,133700,BALANCED_PROFILE_ONLY,0.6921529175050302,0.7183098591549296,0.026156941649899457,0.3,0.3
cora,0,133700,GRAPH_HEAVY_PROFILE_ONLY,0.6921529175050302,0.7203219315895373,0.028169014084507116,0.71587,0.3
cora,0,133700,NO_COMPATIBILITY_TERM,0.6921529175050302,0.716297786720322,0.024144869215291798,0.3,0.3
cora,0,133700,NO_PROTOTYPE_TERM,0.6921529175050302,0.7183098591549296,0.026156941649899457,0.71587,0.3
cora,1,133800,FINAL_V3,0.6981891348088531,0.7303822937625755,0.03219315895372232,0.68542,0.3
cora,1,133800,NO_RELIABILITY_GATE,0.6981891348088531,0.7344064386317908,0.03621730382293764,0.68542,0.3
cora,1,133800,BALANCED_PROFILE_ONLY,0.6981891348088531,0.7122736418511066,0.014084507042253502,0.3,0.3
cora,1,133800,GRAPH_HEAVY_PROFILE_ONLY,0.6981891348088531,0.7303822937625755,0.03219315895372232,0.68542,0.3
cora,1,133800,NO_COMPATIBILITY_TERM,0.6981891348088531,0.7122736418511066,0.014084507042253502,0.3,0.3
cora,1,133800,NO_PROTOTYPE_TERM,0.6981891348088531,0.7303822937625755,0.03219315895372232,0.68542,0.3
cora,2,133900,FINAL_V3,0.7424547283702213,0.7665995975855131,0.024144869215291798,0.70031,0.3
cora,2,133900,NO_RELIABILITY_GATE,0.7424547283702213,0.7665995975855131,0.024144869215291798,0.70031,0.3
cora,2,133900,BALANCED_PROFILE_ONLY,0.7424547283702213,0.7565392354124748,0.014084507042253502,0.3,0.3
cora,2,133900,GRAPH_HEAVY_PROFILE_ONLY,0.7424547283702213,0.7665995975855131,0.024144869215291798,0.70031,0.3
cora,2,133900,NO_COMPATIBILITY_TERM,0.7424547283702213,0.7645875251509054,0.02213279678068414,0.70031,0.3
cora,2,133900,NO_PROTOTYPE_TERM,0.7424547283702213,0.7665995975855131,0.024144869215291798,0.70031,0.3
cora,3,134000,FINAL_V3,0.7002012072434608,0.7545271629778671,0.05432595573440635,0.68736,0.3
cora,3,134000,NO_RELIABILITY_GATE,0.7002012072434608,0.7565392354124748,0.05633802816901401,0.68736,0.3
cora,3,134000,BALANCED_PROFILE_ONLY,0.7002012072434608,0.7323943661971831,0.03219315895372232,0.3,0.3
cora,3,134000,GRAPH_HEAVY_PROFILE_ONLY,0.7002012072434608,0.7545271629778671,0.05432595573440635,0.68736,0.3
cora,3,134000,NO_COMPATIBILITY_TERM,0.7002012072434608,0.7404426559356136,0.04024144869215285,0.68736,0.3
cora,3,134000,NO_PROTOTYPE_TERM,0.7002012072434608,0.7545271629778671,0.05432595573440635,0.68736,0.3
cora,4,134100,FINAL_V3,0.7746478873239436,0.7967806841046278,0.02213279678068414,0.7344,0.3
cora,4,134100,NO_RELIABILITY_GATE,0.7746478873239436,0.7947686116700201,0.02012072434607648,0.7344,0.3
cora,4,134100,BALANCED_PROFILE_ONLY,0.7746478873239436,0.7826961770623743,0.008048289738430636,0.3,0.4
cora,4,134100,GRAPH_HEAVY_PROFILE_ONLY,0.7746478873239436,0.7967806841046278,0.02213279678068414,0.7344,0.3
cora,4,134100,NO_COMPATIBILITY_TERM,0.7746478873239436,0.7826961770623743,0.008048289738430636,0.3,0.4
cora,4,134100,NO_PROTOTYPE_TERM,0.7746478873239436,0.7967806841046278,0.02213279678068414,0.7344,0.3
cora,5,134200,FINAL_V3,0.710261569416499,0.7364185110663984,0.026156941649899457,0.70234,0.3
cora,5,134200,NO_RELIABILITY_GATE,0.710261569416499,0.7404426559356136,0.030181086519114664,0.70234,0.3
cora,5,134200,BALANCED_PROFILE_ONLY,0.710261569416499,0.7263581488933601,0.01609657947686116,0.70234,0.3
cora,5,134200,GRAPH_HEAVY_PROFILE_ONLY,0.710261569416499,0.7364185110663984,0.026156941649899457,0.70234,0.3
cora,5,134200,NO_COMPATIBILITY_TERM,0.710261569416499,0.7303822937625755,0.02012072434607648,0.70234,0.3
cora,5,134200,NO_PROTOTYPE_TERM,0.710261569416499,0.7364185110663984,0.026156941649899457,0.70234,0.3
cora,6,134300,FINAL_V3,0.6901408450704225,0.7203219315895373,0.030181086519114775,0.70813,0.3
cora,6,134300,NO_RELIABILITY_GATE,0.6901408450704225,0.7183098591549296,0.028169014084507116,0.70813,0.3
cora,6,134300,BALANCED_PROFILE_ONLY,0.6901408450704225,0.7082494969818913,0.01810865191146882,0.70813,0.3
cora,6,134300,GRAPH_HEAVY_PROFILE_ONLY,0.6901408450704225,0.7203219315895373,0.030181086519114775,0.70813,0.3
cora,6,134300,NO_COMPATIBILITY_TERM,0.6901408450704225,0.710261569416499,0.02012072434607648,0.70813,0.3
cora,6,134300,NO_PROTOTYPE_TERM,0.6901408450704225,0.7203219315895373,0.030181086519114775,0.70813,0.3
cora,7,134400,FINAL_V3,0.6740442655935613,0.7022132796780685,0.028169014084507116,0.67409,0.3
cora,7,134400,NO_RELIABILITY_GATE,0.6740442655935613,0.704225352112676,0.030181086519114664,0.67409,0.3
cora,7,134400,BALANCED_PROFILE_ONLY,0.6740442655935613,0.6921529175050302,0.01810865191146882,0.67409,0.3
cora,7,134400,GRAPH_HEAVY_PROFILE_ONLY,0.6740442655935613,0.7022132796780685,0.028169014084507116,0.67409,0.3
cora,7,134400,NO_COMPATIBILITY_TERM,0.6740442655935613,0.7022132796780685,0.028169014084507116,0.67409,0.3
cora,7,134400,NO_PROTOTYPE_TERM,0.6740442655935613,0.7022132796780685,0.028169014084507116,0.67409,0.3
cora,8,134500,FINAL_V3,0.6941649899396378,0.7203219315895373,0.026156941649899457,0.73899,0.3
cora,8,134500,NO_RELIABILITY_GATE,0.6941649899396378,0.7263581488933601,0.03219315895372232,0.73899,0.3
cora,8,134500,BALANCED_PROFILE_ONLY,0.6941649899396378,0.7062374245472837,0.012072434607645843,0.73899,0.3
cora,8,134500,GRAPH_HEAVY_PROFILE_ONLY,0.6941649899396378,0.7203219315895373,0.026156941649899457,0.73899,0.3
cora,8,134500,NO_COMPATIBILITY_TERM,0.6941649899396378,0.7062374245472837,0.012072434607645843,0.73899,0.3
cora,8,134500,NO_PROTOTYPE_TERM,0.6941649899396378,0.7183098591549296,0.024144869215291798,0.73899,0.3
cora,9,134600,FINAL_V3,0.704225352112676,0.7323943661971831,0.028169014084507116,0.67682,0.3
cora,9,134600,NO_RELIABILITY_GATE,0.704225352112676,0.7344064386317908,0.030181086519114775,0.67682,0.3
cora,9,134600,BALANCED_PROFILE_ONLY,0.704225352112676,0.7223340040241448,0.01810865191146882,0.67682,0.3
cora,9,134600,GRAPH_HEAVY_PROFILE_ONLY,0.704225352112676,0.7323943661971831,0.028169014084507116,0.67682,0.3
cora,9,134600,NO_COMPATIBILITY_TERM,0.704225352112676,0.7263581488933601,0.02213279678068414,0.67682,0.3
cora,9,134600,NO_PROTOTYPE_TERM,0.704225352112676,0.7323943661971831,0.028169014084507116,0.67682,0.3
citeseer,0,133700,FINAL_V3,0.6666666666666666,0.6906906906906907,0.024024024024024038,0.3,0.3
citeseer,0,133700,NO_RELIABILITY_GATE,0.6666666666666666,0.6906906906906907,0.024024024024024038,0.3,0.3
citeseer,0,133700,BALANCED_PROFILE_ONLY,0.6666666666666666,0.6831831831831832,0.016516516516516533,0.3,0.3
citeseer,0,133700,GRAPH_HEAVY_PROFILE_ONLY,0.6666666666666666,0.6906906906906907,0.024024024024024038,0.3,0.3
citeseer,0,133700,NO_COMPATIBILITY_TERM,0.6666666666666666,0.6906906906906907,0.024024024024024038,0.66703,0.3
citeseer,0,133700,NO_PROTOTYPE_TERM,0.6666666666666666,0.6906906906906907,0.024024024024024038,0.3,0.3
citeseer,1,133800,FINAL_V3,0.6951951951951952,0.7117117117117117,0.016516516516516422,0.7299,0.3
citeseer,1,133800,NO_RELIABILITY_GATE,0.6951951951951952,0.7117117117117117,0.016516516516516422,0.7299,0.3
citeseer,1,133800,BALANCED_PROFILE_ONLY,0.6951951951951952,0.7102102102102102,0.01501501501501501,0.3,0.3
