dataset,split_id,seed,method,mlp_acc,test_acc,delta,n_helped,n_hurt,precision,frac_corrected
cora,0,133700,SGC_V1,0.6901408450704225,0.7203219315895373,0.030181086519114775,,,,0.2152917505030181
cora,0,133700,V2_MULTI,0.6901408450704225,0.7203219315895373,0.030181086519114775,,,,0.19718309859154928
cora,0,133700,FINAL_V3,0.6901408450704225,0.7183098591549296,0.028169014084507116,14,0,1.0,0.2515090543259557
cora,1,133800,SGC_V1,0.7303822937625755,0.7484909456740443,0.01810865191146882,,,,0.2052313883299799
cora,1,133800,V2_MULTI,0.7303822937625755,0.7484909456740443,0.01810865191146882,,,,0.1790744466800805
cora,1,133800,FINAL_V3,0.7303822937625755,0.7484909456740443,0.01810865191146882,13,4,0.7647058823529411,0.24748490945674045
cora,2,133900,SGC_V1,0.7424547283702213,0.7665995975855131,0.024144869215291798,,,,0.17303822937625754
cora,2,133900,V2_MULTI,0.7424547283702213,0.7665995975855131,0.024144869215291798,,,,0.15492957746478872
cora,2,133900,FINAL_V3,0.7424547283702213,0.7665995975855131,0.024144869215291798,13,1,0.9285714285714286,0.19114688128772636
cora,3,134000,SGC_V1,0.6981891348088531,0.7505030181086519,0.0523138832997988,,,,0.22736418511066397
cora,3,134000,V2_MULTI,0.6981891348088531,0.7464788732394366,0.048289738430583484,,,,0.19919517102615694
cora,3,134000,FINAL_V3,0.6981891348088531,0.7464788732394366,0.048289738430583484,24,0,1.0,0.23943661971830985
cora,4,134100,SGC_V1,0.7766599597585513,0.7867203219315896,0.010060362173038295,,,,0.19919517102615694
cora,4,134100,V2_MULTI,0.7766599597585513,0.7887323943661971,0.012072434607645843,,,,0.1750503018108652
cora,4,134100,FINAL_V3,0.7766599597585513,0.7907444668008048,0.014084507042253502,9,2,0.8181818181818182,0.24748490945674045
cora,5,134200,SGC_V1,0.7062374245472837,0.7364185110663984,0.030181086519114775,,,,0.19919517102615694
cora,5,134200,V2_MULTI,0.7062374245472837,0.738430583501006,0.03219315895372232,,,,0.16297786720321933
cora,5,134200,FINAL_V3,0.7062374245472837,0.7344064386317908,0.028169014084507116,15,1,0.9375,0.19919517102615694
cora,6,134300,SGC_V1,0.7002012072434608,0.7183098591549296,0.01810865191146882,,,,0.2414486921529175
cora,6,134300,V2_MULTI,0.7002012072434608,0.7183098591549296,0.01810865191146882,,,,0.18108651911468812
cora,6,134300,FINAL_V3,0.7002012072434608,0.7203219315895373,0.02012072434607648,10,0,1.0,0.26961770623742454
cora,7,134400,SGC_V1,0.6921529175050302,0.7303822937625755,0.0382293762575453,,,,0.2193158953722334
cora,7,134400,V2_MULTI,0.6921529175050302,0.7283702213279678,0.03621730382293764,,,,0.19718309859154928
cora,7,134400,FINAL_V3,0.6921529175050302,0.7263581488933601,0.03420523138832998,19,2,0.9047619047619048,0.22132796780684105
cora,8,134500,SGC_V1,0.6941649899396378,0.7424547283702213,0.048289738430583484,,,,0.33400402414486924
cora,8,134500,V2_MULTI,0.6941649899396378,0.738430583501006,0.044265593561368166,,,,0.30985915492957744
cora,8,134500,FINAL_V3,0.6941649899396378,0.7323943661971831,0.0382293762575453,21,2,0.9130434782608695,0.2716297786720322
cora,9,134600,SGC_V1,0.6961770623742455,0.7323943661971831,0.03621730382293764,,,,0.1750503018108652
cora,9,134600,V2_MULTI,0.6961770623742455,0.7263581488933601,0.030181086519114664,,,,0.13480885311871227
cora,9,134600,FINAL_V3,0.6961770623742455,0.7323943661971831,0.03621730382293764,19,1,0.95,0.22937625754527163
citeseer,0,133700,SGC_V1,0.6666666666666666,0.6861861861861862,0.01951951951951958,,,,0.21771771771771772
citeseer,0,133700,V2_MULTI,0.6666666666666666,0.6846846846846847,0.018018018018018056,,,,0.16666666666666666
citeseer,0,133700,FINAL_V3,0.6666666666666666,0.6816816816816816,0.01501501501501501,14,4,0.7777777777777778,0.2132132132132132
citeseer,1,133800,SGC_V1,0.6846846846846847,0.7102102102102102,0.02552552552552556,,,,0.2012012012012012
citeseer,1,133800,V2_MULTI,0.6846846846846847,0.7102102102102102,0.02552552552552556,,,,0.16216216216216217
citeseer,1,133800,FINAL_V3,0.6846846846846847,0.7102102102102102,0.02552552552552556,23,6,0.7931034482758621,0.22972972972972974
citeseer,2,133900,SGC_V1,0.6801801801801802,0.6981981981981982,0.018018018018017945,,,,0.11561561561561562
citeseer,2,133900,V2_MULTI,0.6801801801801802,0.6996996996996997,0.019519519519519468,,,,0.09759759759759759
citeseer,2,133900,FINAL_V3,0.6801801801801802,0.6996996996996997,0.019519519519519468,16,3,0.8421052631578947,0.10510510510510511
citeseer,3,134000,SGC_V1,0.6426426426426426,0.6891891891891891,0.04654654654654655,,,,0.3078078078078078
citeseer,3,134000,V2_MULTI,0.6426426426426426,0.6816816816816816,0.03903903903903905,,,,0.24024024024024024
citeseer,3,134000,FINAL_V3,0.6426426426426426,0.6891891891891891,0.04654654654654655,33,2,0.9428571428571428,0.22372372372372373
citeseer,4,134100,SGC_V1,0.6933962264150944,0.7358490566037735,0.04245283018867918,,,,0.29245283018867924
citeseer,4,134100,V2_MULTI,0.6933962264150944,0.7334905660377359,0.04009433962264153,,,,0.2665094339622642
citeseer,4,134100,FINAL_V3,0.6933962264150944,0.7334905660377359,0.04009433962264153,20,3,0.8695652173913043,0.21226415094339623
citeseer,5,134200,SGC_V1,0.6816037735849056,0.6910377358490566,0.009433962264150941,,,,0.3136792452830189
citeseer,5,134200,V2_MULTI,0.6816037735849056,0.6933962264150944,0.011792452830188704,,,,0.27122641509433965
citeseer,5,134200,FINAL_V3,0.6816037735849056,0.6933962264150944,0.011792452830188704,8,3,0.7272727272727273,0.2099056603773585
citeseer,6,134300,SGC_V1,0.6711711711711712,0.6966966966966966,0.02552552552552545,,,,0.1966966966966967
citeseer,6,134300,V2_MULTI,0.6711711711711712,0.6966966966966966,0.02552552552552545,,,,0.17717717717717718
citeseer,6,134300,FINAL_V3,0.6711711711711712,0.6951951951951952,0.024024024024024038,20,4,0.8333333333333334,0.1981981981981982
citeseer,7,134400,SGC_V1,0.6876876876876877,0.7057057057057057,0.018018018018017945,,,,0.18468468468468469
citeseer,7,134400,V2_MULTI,0.6876876876876877,0.7042042042042042,0.016516516516516422,,,,0.16066066066066065
citeseer,7,134400,FINAL_V3,0.6876876876876877,0.7042042042042042,0.016516516516516422,16,5,0.7619047619047619,0.2072072072072072
citeseer,8,134500,SGC_V1,0.6756756756756757,0.7072072072072072,0.03153153153153154,,,,0.21621621621621623
citeseer,8,134500,V2_MULTI,0.6756756756756757,0.7072072072072072,0.03153153153153154,,,,0.18018018018018017
citeseer,8,134500,FINAL_V3,0.6756756756756757,0.7057057057057057,0.03003003003003002,26,6,0.8125,0.2222222222222222
citeseer,9,134600,SGC_V1,0.7132132132132132,0.7432432432432432,0.03003003003003002,,,,0.1831831831831832
citeseer,9,134600,V2_MULTI,0.7132132132132132,0.7432432432432432,0.03003003003003002,,,,0.15465465465465467
citeseer,9,134600,FINAL_V3,0.7132132132132132,0.7432432432432432,0.03003003003003002,23,3,0.8846153846153846,0.1831831831831832
pubmed,0,133700,SGC_V1,0.8676470588235294,0.8800709939148073,0.012423935091277816,,,,0.19852941176470587
pubmed,0,133700,V2_MULTI,0.8676470588235294,0.8795638945233266,0.01191683569979718,,,,0.17976673427991888
pubmed,0,133700,FINAL_V3,0.8676470588235294,0.8798174442190669,0.012170385395537497,87,39,0.6904761904761905,0.23782961460446247
pubmed,1,133800,SGC_V1,0.8742393509127789,0.8914807302231237,0.01724137931034475,,,,0.19447261663286003
pubmed,1,133800,V2_MULTI,0.8742393509127789,0.890973630831643,0.016734279918864114,,,,0.18711967545638944
pubmed,1,133800,FINAL_V3,0.8742393509127789,0.8914807302231237,0.01724137931034475,88,20,0.8148148148148148,0.23884381338742394
