method,dataset,noise_fraction,mean_test_acc,std_test_acc,n_splits
APPNP,chameleon,0.0,0.527632,0.025390,10
CLP,chameleon,0.0,0.471053,0.041271,10
CORRECT_AND_SMOOTH,chameleon,0.0,0.491009,0.025332,10
FINAL_V3,chameleon,0.0,0.466228,0.024403,10
GRAPHSAGE,chameleon,0.0,0.633553,0.025332,10
MLP_ONLY,chameleon,0.0,0.466447,0.022437,10
SGC,chameleon,0.0,0.625219,0.019408,10
APPNP,chameleon,0.1,0.501974,0.020058,10
CLP,chameleon,0.1,0.472588,0.041522,10
CORRECT_AND_SMOOTH,chameleon,0.1,0.443860,0.023871,10
FINAL_V3,chameleon,0.1,0.467105,0.023934,10
GRAPHSAGE,chameleon,0.1,0.582456,0.023578,10
MLP_ONLY,chameleon,0.1,0.466447,0.022437,10
SGC,chameleon,0.1,0.566228,0.019826,10
APPNP,chameleon,0.2,0.481579,0.024403,10
CLP,chameleon,0.2,0.473246,0.037656,10
CORRECT_AND_SMOOTH,chameleon,0.2,0.404167,0.030370,10
FINAL_V3,chameleon,0.2,0.465570,0.024223,10
GRAPHSAGE,chameleon,0.2,0.561842,0.022071,10
MLP_ONLY,chameleon,0.2,0.466447,0.022437,10
SGC,chameleon,0.2,0.530263,0.025297,10
APPNP,chameleon,0.3,0.478947,0.025051,10
CLP,chameleon,0.3,0.476096,0.038200,10
CORRECT_AND_SMOOTH,chameleon,0.3,0.400658,0.028142,10
FINAL_V3,chameleon,0.3,0.465789,0.022177,10
GRAPHSAGE,chameleon,0.3,0.540570,0.027531,10
MLP_ONLY,chameleon,0.3,0.466447,0.022437,10
SGC,chameleon,0.3,0.499561,0.019636,10
APPNP,citeseer,0.0,0.767137,0.014956,10
CLP,citeseer,0.0,0.751480,0.017712,10
CORRECT_AND_SMOOTH,citeseer,0.0,0.773163,0.013519,10
FINAL_V3,citeseer,0.0,0.705344,0.021531,10
GRAPHSAGE,citeseer,0.0,0.760552,0.011900,10
MLP_ONLY,citeseer,0.0,0.680529,0.019525,10
SGC,citeseer,0.0,0.765077,0.016529,10
APPNP,citeseer,0.1,0.754225,0.015598,10
CLP,citeseer,0.1,0.748734,0.017443,10
CORRECT_AND_SMOOTH,citeseer,0.1,0.763834,0.013585,10
