scope,dataset,delta_rho,mean_delta_vs_mlp_pp,std_delta_vs_mlp_pp,mean_fraction_routed_to_correction_pct,n
dataset,chameleon,-0.10,+0.0658,0.3929,10.18,10
dataset,chameleon,-0.05,+0.0658,0.3929,10.11,10
dataset,chameleon,+0.00,+0.0877,0.3824,9.65,10
dataset,chameleon,+0.05,+0.0877,0.3426,8.55,10
dataset,chameleon,+0.10,+0.0439,0.2739,6.80,10
dataset,citeseer,-0.10,+2.6897,0.8112,23.99,10
dataset,citeseer,-0.05,+2.6661,0.8545,23.35,10
dataset,citeseer,+0.00,+2.5288,0.8820,21.00,10
dataset,citeseer,+0.05,+2.4688,0.8706,19.74,10
dataset,citeseer,+0.10,+1.2440,0.2694,14.00,10
dataset,cora,-0.10,+3.2193,0.9176,25.53,10
dataset,cora,-0.05,+3.1992,0.9152,25.29,10
dataset,cora,+0.00,+2.9980,0.8558,22.80,10
dataset,cora,+0.05,+2.8169,0.8296,21.21,10
dataset,cora,+0.10,+1.9316,0.5414,16.30,10
dataset,pubmed,-0.10,+1.2906,0.1826,25.01,10
dataset,pubmed,-0.05,+1.2906,0.1826,24.85,10
dataset,pubmed,+0.00,+1.2956,0.1649,23.94,10
dataset,pubmed,+0.05,+1.2627,0.1499,23.41,10
dataset,pubmed,+0.10,+0.6111,0.1493,18.47,10
dataset,texas,-0.10,+0.2703,1.8919,2.70,10
dataset,texas,-0.05,+0.2703,1.8919,2.43,10
dataset,texas,+0.00,+0.5405,1.6216,2.16,10
dataset,texas,+0.05,-0.0000,1.2087,1.08,10
dataset,texas,+0.10,-0.2703,0.8108,0.81,10
dataset,wisconsin,-0.10,-0.0000,0.8769,2.55,10
dataset,wisconsin,-0.05,-0.0000,0.8769,2.55,10
dataset,wisconsin,+0.00,+0.1961,0.5882,1.76,10
dataset,wisconsin,+0.05,+0.1961,0.5882,1.18,10
dataset,wisconsin,+0.10,+0.0000,0.0000,0.98,10
global,ALL,-0.10,+1.2559,1.6286,14.99,60
global,ALL,-0.05,+1.2487,1.6245,14.76,60
global,ALL,+0.00,+1.2745,1.4326,13.55,60
global,ALL,+0.05,+1.1387,1.3713,12.53,60
global,ALL,+0.10,+0.5934,0.8883,9.56,60
