rho,chameleon_delta_pp,cora_delta_pp,texas_delta_pp,mean_delta_pp,total_hurt_nodes,source
0.0,0.15,2.21,0.90,1.09,11,archived final_tables_prl.md Table 8 (3-split ρ grid; historical)
0.2,0.15,2.21,0.90,1.09,11,archived final_tables_prl.md Table 8 (3-split ρ grid; historical)
0.3,0.15,2.08,0.90,1.04,10,archived final_tables_prl.md Table 8 (3-split ρ grid; historical)
0.4,0.15,1.48,0.00,0.54,5,archived final_tables_prl.md Table 8 (3-split ρ grid; historical)
0.5,-0.07,0.47,0.00,0.13,1,archived final_tables_prl.md Table 8 (3-split ρ grid; historical)
0.6,0.00,0.00,0.00,0.00,0,archived final_tables_prl.md Table 8 (3-split ρ grid; historical)
0.7,0.00,0.00,0.00,0.00,0,archived final_tables_prl.md Table 8 (3-split ρ grid; historical)
