variant,mean_test_acc,std_test_acc,delta_vs_mlp_pp,delta_vs_final_v3_pp
FINAL_V3,0.7433867357689317,0.13985518256141566,1.274465189794082,0.0
NO_RELIABILITY_GATE,0.7427509907430796,0.13918722417911364,1.2108906872088754,-0.06357450258520636
BALANCED_PROFILE_ONLY,0.7388599095419403,0.13986133477441026,0.8217825670949496,-0.45268262269914095
GRAPH_HEAVY_PROFILE_ONLY,0.7433136363537269,0.1399972055113298,1.2671552482736144,-0.007309941520472485
NO_COMPATIBILITY_TERM,0.7391594882617247,0.13939922295956952,0.8517404390733887,-0.42272475072069327
NO_PROTOTYPE_TERM,0.7432088647627613,0.1400146758782436,1.2566780891770508,-0.017787100617039364
