dataset,mean_runtime_sec_final_v3,std_runtime_sec_final_v3,mean_runtime_sec_v1,mean_runtime_sec_v2
chameleon,0.286456,0.000652,,
citeseer,0.203877,0.021907,,
cora,0.110187,0.001970,,
pubmed,0.609177,0.075244,,
texas,0.006935,0.000266,,
wisconsin,0.009181,0.000192,,
