section,metric,value
overall,n_changed,341.0
overall,n_harmful,84.0
overall,harmful_rate_within_changed,0.24633431085043989
harmful,mean_reliability,0.41787015672112654
harmful,mean_margin,0.2419395044091202
harmful,mean_score_gap,0.4949958809497673
harmful,proto_graph_agreement_rate,0.47619047619047616
beneficial,mean_reliability,0.4325483073268116
beneficial,mean_margin,0.21750855816818992
beneficial,mean_score_gap,0.6158144024100883
beneficial,proto_graph_agreement_rate,0.6329113924050633
harmful_dataset_share,pubmed,0.8095238095238095
harmful_dataset_share,citeseer,0.13095238095238096
harmful_dataset_share,cora,0.05952380952380952
harmful_split_count,pubmed_split_0,38.0
harmful_split_count,pubmed_split_1,30.0
harmful_split_count,citeseer_split_1,6.0
harmful_split_count,citeseer_split_0,5.0
harmful_split_count,cora_split_0,3.0
harmful_split_count,cora_split_1,2.0
harmful_driver_share,neighbor_support,1.0
beneficial_driver_share,neighbor_support,1.0
harmful_driver_share,prototype,0.0
beneficial_driver_share,prototype,0.0
harmful_driver_share,compatibility,0.0
beneficial_driver_share,compatibility,0.0
harmful_driver_share,mlp_anchor,0.0
beneficial_driver_share,mlp_anchor,0.0
harmful_driver_share,feature_knn,0.0
beneficial_driver_share,feature_knn,0.0
harmful_driver_share,structural_far,0.0
beneficial_driver_share,structural_far,0.0
