dataset,final_v3_minus_mlp,final_v3_minus_gcn,final_v3_minus_appnp,changed_fraction,harmful_overwrite_rate,correction_precision_changed,uncertainty_gated_coverage,reliability_gated_coverage,edge_homophily,avg_degree,mlp_acc,regime_note
chameleon,0.00021929824561403577,-0.18355263733027274,-0.07828947567103202,0.058333333333333334,0.3333333333333333,0.4666666666666666,0.08859649122807016,0.058333333333333334,0.231,27.58,0.46315789473684205,heterophilic
citeseer,0.02590939996600373,-0.05801817050087695,-0.057052813674094725,0.20047523939033374,0.1754964943413811,0.824503505658619,0.2288514930024364,0.20047523939033374,0.736,2.74,0.6796921921921921,homophilic
cora,0.028973843058350122,-0.13299799808554008,-0.13702214011244132,0.23682092555331993,0.07832354878710376,0.9216764512128961,0.2583501006036217,0.23682092555331993,0.81,3.9,0.7126760563380282,homophilic
pubmed,0.012880324543610554,0.011359039692559535,0.012652132658639247,0.23909736308316426,0.280522064688393,0.719477935311607,0.24584178498985804,0.23909736308316426,0.802,8.992037328193945,0.8720081135902638,
texas,0.005405405405405406,,,0.021621621621621623,0.1,0.7,0.037837837837837826,0.021621621621621623,0.087,3.14,0.8054054054054054,heterophilic
wisconsin,0.0019607843137254832,0.3058823344169878,0.27450978130686515,0.01764705882352941,0.0,0.9,0.02352941176470589,0.01764705882352941,0.192,3.65,0.8431372549019608,heterophilic
