dataset,bucket,n_test_nodes,mlp_acc,final_v3_acc,gcn_acc,appnp_acc,final_v3_delta_vs_mlp,final_v3_changed_fraction,final_v3_beneficial_change_count,final_v3_harmful_change_count,final_v3_harmful_overwrite_rate,final_v3_correction_precision
chameleon,high,456,0.6140350877192983,0.6140350877192983,0.6381578947368421,0.537280701754386,0.0,0.0,0,0,0.0,0.0
chameleon,low,456,0.39035087719298245,0.40350877192982454,0.5,0.4385964912280702,0.013157894736842127,0.039473684210526314,9,3,0.16666666666666666,0.7777777777777778
chameleon,medium,456,0.36622807017543857,0.36622807017543857,0.5285087719298246,0.43421052631578955,0.0,0.0,0,0,0.0,0.0
citeseer,high,666,0.8963963963963963,0.8963963963963963,0.8888888888888888,0.8948948948948949,0.0,0.0,0,0,0.0,0.0
citeseer,low,666,0.4189189189189189,0.509009009009009,0.6486486486486486,0.6276276276276276,0.09009009009009006,0.17417417417417416,78,18,0.1615581098339719,0.804954954954955
citeseer,medium,666,0.7132132132132133,0.7132132132132133,0.7357357357357358,0.7402402402402403,0.0,0.0,0,0,0.0,0.0
texas,high,36,0.9444444444444443,0.9444444444444443,0.7222222222222222,0.6944444444444445,0.0,0.0,0,0,0.0,0.0
texas,low,39,0.7435897435897436,0.7435897435897436,0.5128205128205128,0.4615384615384615,0.0,0.10256410256410257,1,1,0.16666666666666666,0.16666666666666666
texas,medium,36,0.861111111111111,0.861111111111111,0.5,0.5,0.0,0.0,0,0,0.0,0.0
