dataset,split_id,tau,uncertain_frac,delta_vs_mlp
chameleon,0,0.2,0.2149122807017544,0.0
chameleon,1,0.05,0.021929824561403466,0.0
chameleon,2,0.1,0.07017543859649122,0.0
chameleon,3,0.05,0.021929824561403466,0.004385964912280715
chameleon,4,0.2,0.11403508771929827,-0.004385964912280715
citeseer,0,0.70393,0.26726726726726724,0.01501501501501501
citeseer,1,0.70361,0.2642642642642643,0.02552552552552556
citeseer,2,0.3,0.11561561561561562,0.019519519519519468
citeseer,3,0.6388,0.26126126126126126,0.04654654654654655
citeseer,4,0.62642,0.23584905660377353,0.04009433962264153
cora,0,0.67931,0.2655935613682092,0.028169014084507116
cora,1,0.69513,0.2676056338028169,0.01810865191146882
cora,2,0.70031,0.21126760563380287,0.024144869215291798
cora,3,0.69187,0.2655935613682092,0.048289738430583484
cora,4,0.74703,0.2816901408450704,0.014084507042253502
pubmed,0,0.92149,0.24492900608519275,0.012170385395537497
pubmed,1,0.91959,0.25076064908722107,0.01724137931034475
pubmed,2,0.93093,0.2522819472616633,0.012170385395537497
pubmed,3,0.92877,0.2421399594320487,0.011409736308316432
pubmed,4,0.9176,0.23909736308316432,0.011156186612576113
texas,0,0.05,0.05405405405405406,0.0
texas,1,0.05,0.027027027027026973,0.027027027027027084
texas,2,0.05,0.0,0.0
texas,3,0.05,0.05405405405405406,0.027027027027026973
texas,4,0.05,0.05405405405405406,0.0
wisconsin,0,0.05,0.0,0.0
wisconsin,1,0.05,0.019607843137254943,0.0
wisconsin,2,0.05,0.039215686274509776,0.0
wisconsin,3,0.05,0.039215686274509776,0.0
wisconsin,4,0.05,0.019607843137254943,0.0
