dataset,subgroup,n_nodes,n_test_total,fraction_test_nodes,mlp_acc_subgroup,final_acc_subgroup,delta_subgroup,mean_reliability,mean_mlp_margin,changed_precision,source_ablation_csv,source_bounded_csv,source_explanation_csv
chameleon,changed,53,4560,0.01162280701754386,0.22641509433962265,0.3018867924528302,0.07547169811320753,0.4707319728761875,0.04902333059747304,0.40857142857142853,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
chameleon,routed,440,4560,0.09649122807017543,0.40454545454545454,0.41363636363636364,0.009090909090909094,0.5657820224596366,0.08008422037713589,0.40857142857142853,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
chameleon,unchanged,4507,4560,0.9883771929824562,0.4768138451297981,0.4768138451297981,0.0,0.5061710459328508,0.6625365520534684,,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
citeseer,changed,306,6176,0.049546632124352334,0.1503267973856209,0.6764705882352942,0.5261437908496732,0.4188380090848587,0.20687361337468185,0.8071769920703519,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
citeseer,routed,1295,6176,0.20968264248704663,0.4301158301158301,0.5544401544401545,0.12432432432432439,0.5596300080000897,0.32518284231656325,0.8071769920703519,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
citeseer,unchanged,5870,6176,0.9504533678756477,0.7085178875638841,0.7085178875638841,0.0,0.6269427746298264,0.8248785923882733,,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
cora,changed,196,4970,0.03943661971830986,0.07653061224489796,0.8367346938775511,0.7602040816326531,0.4342623531066091,0.1812018564041519,0.9148424369747901,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
cora,routed,1133,4970,0.22796780684104628,0.43601059135039716,0.5675198587819947,0.13150926743159758,0.5634659903342863,0.35790709330257026,0.9148424369747901,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
cora,unchanged,4774,4970,0.9605633802816902,0.7339757017176372,0.7339757017176372,0.0,0.6550284007000142,0.8290116834317253,,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
pubmed,changed,1162,39440,0.029462474645030427,0.2641996557659208,0.7039586919104991,0.4397590361445783,0.4276888185762999,0.2368431508178596,0.7273509945354406,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
pubmed,routed,9443,39440,0.23942697768762677,0.6625013237318649,0.7166154823678915,0.054114158636026644,0.6427110472170641,0.5925414326230901,0.7273509945354406,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
pubmed,unchanged,38278,39440,0.9705375253549696,0.89064214431266,0.89064214431266,0.0,0.7110767017736672,0.9118009549741906,,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
texas,changed,7,370,0.01891891891891892,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.386003741244322,0.01392955332994461,0.3,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
texas,routed,8,370,0.021621621621621623,0.125,0.375,0.25,0.40148010242983906,0.016911764939626057,0.3,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
texas,unchanged,363,370,0.981081081081081,0.8181818181818182,0.8181818181818182,0.0,0.3829598992265165,0.7124354978485706,,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
wisconsin,changed,2,510,0.00392156862745098,0.0,0.5,0.5,0.4016227383919456,0.016236916184425354,0.1,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
wisconsin,routed,9,510,0.01764705882352941,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.5554778020928942,0.019937469959259033,0.1,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
wisconsin,unchanged,508,510,0.996078431372549,0.8464566929133859,0.8464566929133859,0.0,0.44586156881095124,0.8008150707025974,,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
ALL,changed,1726,56026,0.030807125263270625,0.22074159907300117,0.7004634994206257,0.4797219003476245,0.42810903293341307,0.1469005218064182,0.5429903086920018,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
ALL,routed,12328,56026,0.2200406953914254,0.6074789097988319,0.6746430889033095,0.06716417910447758,0.5588658883363583,0.2697708593260323,0.5429903086920018,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
ALL,unchanged,54300,56026,0.9691928747367293,0.8219337016574586,0.8219337016574586,0.0,0.5546733985123043,0.7902463918998044,,reports/final_v3_expert_systems_lightweight_ablation_20260404_fullscope.csv,tables/bounded_intervention_fullscope_20260404.csv,reports/correction_explanation_nodes_20260404.csv
