dataset,n_splits,edge_homophily,improvement_vs_mlp_pp,changed_fraction,changed_precision,harmful_overwrite_rate,wins_vs_mlp,losses_vs_mlp,ties_vs_mlp,routed_fraction_pct,changed_fraction_pct,changed_precision_bounded,harmful_split_level_departures,mean_reliability_corrected_nodes,improvement_vs_mlp_pp_diagnostics,num_nodes,num_classes,gate_delta_span_pp,gate_delta_std_pp,gate_mean_routed_pct_across_rho,n_changed_nodes,harmful_rate_changed_nodes,mean_score_gap_changed_nodes,mean_reliability_changed_nodes,mean_gap_concentration
cora,10,0.8099658961727927,0.0299798792756539,0.0394366197183098,0.91484243697479,0.08515756302521,10,0,0,22.8,3.94,0.9148,0,0.563466,2.998,2708,7,1.2877,0.5299378029542712,22.226,40.0,0.125,0.5036027569415416,0.43213760022819026,0.47520843492115106
citeseer,10,0.7355008787346221,0.0252882599580712,0.0490311065782763,0.8071769920703519,0.1928230079296481,10,0,0,21.0,4.9,0.8072,0,0.55963,2.5288,3327,6,1.4457000000000002,0.608271491194516,20.416,49.0,0.22448979591836735,0.6494871994010181,0.42074291302260103,0.5300601306829301
pubmed,10,0.8023869686851367,0.0129563894523326,0.0294624746450304,0.7273509945354406,0.2726490054645594,10,0,0,23.94,2.95,0.7274,0,0.642711,1.2956,19717,3,0.6845000000000001,0.3016001110742501,23.136000000000003,232.0,0.29310344827586204,0.5843046738045684,0.4297979967835945,0.5047927311264576
texas,10,0.060931899641577,0.0054054054054054,0.0189189189189189,0.7,0.3,3,1,6,2.16,1.89,0.7,1,0.40148,0.5405,183,5,0.8108,0.3081587220897698,1.8359999999999999,,,,,
wisconsin,10,0.1777777777777777,0.0019607843137254,0.0039215686274509,0.9,0.1,1,0,9,1.76,0.39,0.9,0,0.555478,0.1961,251,5,0.1961,0.10740839352676307,1.8039999999999998,,,,,
chameleon,10,0.2299257275827994,0.0008771929824561,0.0116228070175438,0.6085714285714285,0.3914285714285714,3,2,5,9.65,1.16,0.6086,2,0.565782,0.0877,2277,5,0.0438,0.018322854581096254,9.058,,,,,
