dataset,n_runs,mean_threshold,std_threshold,mean_uncertain_frac,std_uncertain_frac,mean_delta_vs_mlp,std_delta_vs_mlp,corr_thr_vs_uncertain
actor,30,0.16114526666666668,0.1548145582559843,0.18646929824561403,0.1127438727563759,-0.0008771959731453338,0.0034030098634817243,0.987
chameleon,30,0.12512973333333333,0.06184325421091257,0.06849415204678362,0.03130507526621651,-2.945375721097321e-09,0.004385965069143702,0.951
citeseer,30,0.5688879,0.04142570144515761,0.21220843484994428,0.022598142877204647,0.025101269130376094,0.00853333069855304,0.710
cora,30,0.5922588,0.05987043294838167,0.2073775989268947,0.027213522456314955,0.035077125661569813,0.009756421271877504,0.824
cornell,30,0.0612778,0.052224142683500965,0.04144144144144144,0.042866224336469624,-6.604838994247094e-09,0.01973774415829297,0.664
pubmed,30,0.8574518333333333,0.008366976025157206,0.19845334685598376,0.008154464634361853,0.011713999090684764,0.0027901234684033706,0.730
squirrel,30,0.12833333333333333,0.06668749674580852,0.07252641690682037,0.03616707255717017,0.0002241462774472125,0.002400682362092718,0.978
texas,30,0.05,0.0,0.02882882882882883,0.029551746787129237,0.0009009013304839424,0.014775875331794372,nan
wisconsin,30,0.06666666666666667,0.04714045207910317,0.024183006535947713,0.028043709742385535,-0.001960793429729986,0.009266304786801126,0.560
