dataset,split,mlp_acc,final_v3_canonical_acc,final_v3_local_acc,local_minus_mlp,local_minus_canonical,canonical_minus_mlp,low_bucket_acc_local,low_bucket_delta_vs_mlp_local,high_bucket_delta_vs_mlp_local,changed_fraction_local,harmful_overwrite_count_local,harmful_overwrite_rate_local,changed_precision_local,changed_fraction_canonical,harmful_overwrite_count_canonical,harmful_overwrite_rate_canonical,changed_precision_canonical,high_conf_untouched_rate_local,selected_local_mode,selected_local_eta,mean_local_agreement_test,mean_local_multiplier_test
chameleon,0,0.44956140350877194,0.44956140350877194,0.44956140350877194,0.0,0.0,0.0,0.39473684210526316,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,1.0,1.0,none,,0.2461854234913646,1.0
chameleon,1,0.48026315789473684,0.48026315789473684,0.48026315789473684,0.0,0.0,0.0,0.42105263157894735,0.0,0.0,0.019736842105263157,2,0.2222222222222222,0.5,0.019736842105263157,2,0.2222222222222222,0.5,1.0,none,,0.23805604824467042,1.0
chameleon,2,0.44298245614035087,0.4473684210526316,0.4451754385964912,0.0021929824561403577,-0.0021929824561403577,0.004385964912280715,0.3815789473684211,0.006578947368421073,0.0,0.0021929824561403508,0,0.0,1.0,0.008771929824561403,0,0.0,1.0,1.0,linear,,0.2292425662947886,0.2292425662947886
texas,0,0.7567567567567568,0.7567567567567568,0.7567567567567568,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.05405405405405406,0,0.0,0.0,0.05405405405405406,0,0.0,0.0,1.0,none,,0.1749984190619396,1.0
texas,1,0.9459459459459459,0.972972972972973,0.972972972972973,0.027027027027027084,0.0,0.027027027027027084,1.0,0.07692307692307687,0.0,0.02702702702702703,0,0.0,1.0,0.02702702702702703,0,0.0,1.0,1.0,none,,0.07945082104428285,1.0
texas,2,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,1.0,1.0,none,,0.2081748895584468,1.0
citeseer,0,0.6546546546546547,0.6831831831831832,0.6831831831831832,0.028528528528528496,0.0,0.028528528528528496,0.46396396396396394,0.08558558558558554,0.0,0.046546546546546545,4,0.12903225806451613,0.8518518518518519,0.046546546546546545,4,0.12903225806451613,0.8518518518518519,1.0,none,,0.581393700447081,1.0
citeseer,1,0.6906906906906907,0.7132132132132132,0.7132132132132132,0.022522522522522515,0.0,0.022522522522522515,0.49099099099099097,0.06756756756756754,0.0,0.046546546546546545,5,0.16129032258064516,0.8,0.046546546546546545,5,0.16129032258064516,0.8,1.0,none,,0.6105931605300249,1.0
citeseer,2,0.6711711711711712,0.6921921921921922,0.6921921921921922,0.02102102102102099,0.0,0.02102102102102099,0.46396396396396394,0.06306306306306303,0.0,0.04354354354354354,4,0.13793103448275862,0.8181818181818182,0.04354354354354354,4,0.13793103448275862,0.8181818181818182,1.0,none,,0.609909794237774,1.0
cora,0,0.6861167002012073,0.716297786720322,0.716297786720322,0.030181086519114664,0.0,0.030181086519114664,0.5060240963855421,0.09036144578313249,0.0,0.03822937625754527,2,0.10526315789473684,0.8947368421052632,0.03822937625754527,2,0.10526315789473684,0.8947368421052632,1.0,none,,0.5759340836884046,1.0
cora,1,0.6981891348088531,0.7303822937625755,0.7303822937625755,0.03219315895372232,0.0,0.03219315895372232,0.5180722891566265,0.09638554216867468,0.0,0.04024144869215292,2,0.1,0.9,0.04024144869215292,2,0.1,0.9,1.0,none,,0.5799545659873805,1.0
cora,2,0.7303822937625755,0.7625754527162978,0.7625754527162978,0.03219315895372232,0.0,0.03219315895372232,0.5542168674698795,0.09638554216867473,0.0,0.04426559356136821,2,0.09090909090909091,0.9,0.04426559356136821,2,0.09090909090909091,0.9,1.0,none,,0.6172699129977856,1.0
pubmed,0,0.867393509127789,0.8798174442190669,0.8798174442190669,0.012423935091277927,0.0,0.012423935091277927,0.7330798479087453,0.03726235741444872,0.0,0.02814401622718053,29,0.26126126126126126,0.7289719626168224,0.02814401622718053,29,0.26126126126126126,0.7289719626168224,1.0,none,,0.7640490539133599,1.0
pubmed,1,0.8820993914807302,0.8924949290060852,0.8924949290060852,0.010395537525354936,0.0,0.010395537525354936,0.7566539923954373,0.03117870722433458,0.0,0.0276369168356998,33,0.30275229357798167,0.6915887850467289,0.0276369168356998,33,0.30275229357798167,0.6915887850467289,1.0,none,,0.7647183046469759,1.0
pubmed,2,0.8704361054766734,0.8836206896551724,0.8836206896551724,0.013184584178498993,0.0,0.013184584178498993,0.7460076045627376,0.03954372623574143,0.0,0.02915821501014199,31,0.26956521739130435,0.7280701754385965,0.02915821501014199,31,0.26956521739130435,0.7280701754385965,1.0,none,,0.7533002238397009,1.0
wisconsin,0,0.803921568627451,0.803921568627451,0.803921568627451,0.0,0.0,0.0,0.5882352941176471,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,1.0,1.0,none,,0.2702072811476323,1.0
wisconsin,1,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.0,0.0,0.0,0.4117647058823529,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,1.0,1.0,none,,0.23806064989520187,1.0
wisconsin,2,0.803921568627451,0.803921568627451,0.803921568627451,0.0,0.0,0.0,0.5882352941176471,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,1.0,1.0,none,,0.19179558954446616,1.0
