dataset,split_id,bucket,bucket_size,mlp_acc,final_v3_acc,final_v3_delta_vs_mlp,final_v3_corrected_fraction,final_v3_changed_count,final_v3_helped_count,final_v3_hurt_count,final_v3_correction_precision,final_v3_hurt_rate,baseline_method,baseline_acc,baseline_delta_vs_mlp,baseline_harmful_count_vs_mlp
cora,0,low,166,0.4397590361445783,0.5240963855421686,0.08433734939759036,0.8012048192771084,23,17,3,0.85,0.13043478260869565,gcn,0.8132530120481928,0.3734939759036145,9
cora,0,medium,165,0.7212121212121212,0.7212121212121212,0.0,0.0,0,0,0,1.0,0.0,gcn,0.8424242424242424,0.12121212121212122,11
cora,0,high,166,0.9156626506024096,0.9156626506024096,0.0,0.0,0,0,0,1.0,0.0,gcn,0.9397590361445783,0.024096385542168752,5
cora,1,low,166,0.42168674698795183,0.5180722891566265,0.09638554216867468,0.6626506024096386,20,18,2,0.9,0.1,gcn,0.8192771084337349,0.3975903614457831,9
cora,1,medium,165,0.7151515151515152,0.7151515151515152,0.0,0.0,0,0,0,1.0,0.0,gcn,0.8666666666666667,0.1515151515151515,10
cora,1,high,166,0.9578313253012049,0.9578313253012049,0.0,0.0,0,0,0,1.0,0.0,gcn,0.9698795180722891,0.012048192771084265,4
cora,2,low,166,0.5060240963855421,0.5783132530120482,0.07228915662650603,0.572289156626506,14,13,1,0.9285714285714286,0.07142857142857142,gcn,0.7891566265060241,0.283132530120482,13
cora,2,medium,165,0.7818181818181819,0.7818181818181819,0.0,0.0,0,0,0,1.0,0.0,gcn,0.9151515151515152,0.1333333333333333,5
cora,2,high,166,0.9397590361445783,0.9397590361445783,0.0,0.0,0,0,0,1.0,0.0,gcn,0.9578313253012049,0.01807228915662651,1
chameleon,0,low,152,0.40789473684210525,0.40789473684210525,0.0,0.9868421052631579,5,2,2,0.5,0.4,gcn,0.5789473684210527,0.1710526315789474,18
chameleon,0,medium,152,0.375,0.375,0.0,0.15789473684210525,0,0,0,1.0,0.0,gcn,0.5526315789473685,0.17763157894736847,19
chameleon,0,high,152,0.5855263157894737,0.5855263157894737,0.0,0.0,0,0,0,1.0,0.0,gcn,0.7368421052631579,0.15131578947368418,10
chameleon,1,low,152,0.375,0.375,0.0,0.03289473684210526,0,0,0,1.0,0.0,gcn,0.6052631578947368,0.23026315789473684,15
chameleon,1,medium,152,0.3881578947368421,0.3881578947368421,0.0,0.0,0,0,0,1.0,0.0,gcn,0.5526315789473685,0.16447368421052638,16
chameleon,1,high,152,0.6381578947368421,0.6381578947368421,0.0,0.0,0,0,0,1.0,0.0,gcn,0.7894736842105263,0.15131578947368418,11
chameleon,2,low,152,0.3881578947368421,0.40131578947368424,0.013157894736842146,0.14473684210526316,8,2,0,1.0,0.0,gcn,0.5197368421052632,0.13157894736842107,24
chameleon,2,medium,152,0.3355263157894737,0.3355263157894737,0.0,0.0,0,0,0,1.0,0.0,gcn,0.5855263157894737,0.25,15
chameleon,2,high,152,0.618421052631579,0.618421052631579,0.0,0.0,0,0,0,1.0,0.0,gcn,0.6710526315789473,0.05263157894736836,17
texas,0,low,13,0.46153846153846156,0.46153846153846156,0.0,0.15384615384615385,2,0,0,0.0,0.0,gcn,0.5384615384615384,0.07692307692307687,1
texas,0,medium,12,0.9166666666666666,0.9166666666666666,0.0,0.0,0,0,0,1.0,0.0,gcn,0.6666666666666666,-0.25,4
texas,0,high,12,0.9166666666666666,0.9166666666666666,0.0,0.0,0,0,0,1.0,0.0,gcn,0.8333333333333334,-0.08333333333333326,1
texas,1,low,13,0.9230769230769231,1.0,0.07692307692307687,0.07692307692307693,1,1,0,1.0,0.0,gcn,0.6153846153846154,-0.3076923076923077,5
texas,1,medium,12,0.9166666666666666,0.9166666666666666,0.0,0.0,0,0,0,1.0,0.0,gcn,0.5,-0.41666666666666663,5
texas,1,high,12,1.0,1.0,0.0,0.0,0,0,0,1.0,0.0,gcn,0.6666666666666666,-0.33333333333333337,4
texas,2,low,13,0.8461538461538461,0.8461538461538461,0.0,0.0,0,0,0,1.0,0.0,gcn,0.46153846153846156,-0.3846153846153846,5
texas,2,medium,12,0.75,0.75,0.0,0.0,0,0,0,1.0,0.0,gcn,0.3333333333333333,-0.4166666666666667,5
texas,2,high,12,0.9166666666666666,0.9166666666666666,0.0,0.0,0,0,0,1.0,0.0,gcn,0.8333333333333334,-0.08333333333333326,1
