dataset,n_splits,num_nodes,num_edges,num_classes,avg_degree,degree_std,degree_var,density,edge_homophily,regime_note,mlp_acc,final_v3_acc,gcn_acc,appnp_acc,final_v3_minus_mlp,final_v3_minus_gcn,final_v3_minus_appnp,low_confidence_bucket_gain_vs_mlp,changed_fraction,harmful_overwrite_count,harmful_overwrite_rate,correction_precision_changed,uncertainty_gated_coverage,reliability_gated_coverage
chameleon,10,2277,62792,5,27.58,,,,0.231,heterophilic,0.46315789473684205,0.46337719298245605,0.6469298303127289,0.5416666686534881,0.00021929824561403577,-0.18355263733027274,-0.07828947567103202,,0.058333333333333334,0.9,0.3333333333333333,0.4666666666666666,0.08859649122807016,0.058333333333333334
citeseer,10,3327,9104,6,2.74,,,,0.736,homophilic,0.6796921921921921,0.7056015921581958,0.7636197626590728,0.7626544058322906,0.02590939996600373,-0.05801817050087695,-0.057052813674094725,,0.20047523939033374,3.9,0.1754964943413811,0.824503505658619,0.2288514930024364,0.20047523939033374
cora,10,2708,10556,7,3.9,,,,0.81,homophilic,0.7126760563380282,0.7416498993963783,0.8746478974819183,0.8786720395088196,0.028973843058350122,-0.13299799808554008,-0.13702214011244132,,0.23682092555331993,1.3,0.07832354878710376,0.9216764512128961,0.2583501006036217,0.23682092555331993
pubmed,10,19717,88648,3,8.992037328193945,,,,0.802,,0.8720081135902638,0.8848884381338742,0.8735293984413147,0.872236305475235,0.012880324543610554,0.011359039692559535,0.012652132658639247,,0.23909736308316426,32.6,0.280522064688393,0.719477935311607,0.24584178498985804,0.23909736308316426
texas,10,183,574,5,3.14,,,,0.087,heterophilic,0.8054054054054054,0.8108108108108107,,,0.005405405405405406,,,,0.021621621621621623,0.1,0.1,0.7,0.037837837837837826,0.021621621621621623
wisconsin,10,251,916,5,3.65,,,,0.192,heterophilic,0.8431372549019608,0.8450980392156863,0.5392157047986984,0.5705882579088211,0.0019607843137254832,0.3058823344169878,0.27450978130686515,,0.01764705882352941,0.0,0.0,0.9,0.02352941176470589,0.01764705882352941
