dataset,split_id,mlp_acc,final_v3_acc,gcn_acc,appnp_acc,final_v3_delta_vs_mlp,gcn_delta_vs_mlp,appnp_delta_vs_mlp,final_v3_changed_count,final_v3_beneficial_change_count,final_v3_harmful_change_count,final_v3_correction_precision,final_v3_harmful_overwrite_rate,selected_tau,selected_rho,selected_b6,enable_lowconf_structural_term
cora,0,0.6921529175050302,0.7203219315895373,0.8611670020120724,0.8611670020120724,0.028169014084507116,0.16901408450704225,0.16901408450704225,23,17,3,0.85,0.13043478260869565,0.71587,0.3,0.0,False
cora,1,0.6981891348088531,0.7303822937625755,0.8832997987927566,0.903420523138833,0.03219315895372232,0.1851106639839034,0.2052313883299799,20,18,2,0.9,0.1,0.68542,0.3,0.0,False
cora,2,0.7424547283702213,0.7665995975855131,0.8853118712273642,0.8812877263581489,0.024144869215291798,0.1428571428571429,0.1388329979879276,14,13,1,0.9285714285714286,0.07142857142857142,0.70031,0.3,0.0,False
citeseer,0,0.6666666666666666,0.6906906906906907,0.7582582582582582,0.7537537537537538,0.024024024024024038,0.09159159159159158,0.08708708708708712,30,21,5,0.8076923076923077,0.16666666666666666,0.3,0.3,0.0,False
citeseer,1,0.6951951951951952,0.7117117117117117,0.7717717717717718,0.7612612612612613,0.016516516516516422,0.07657657657657657,0.06606606606606602,28,17,6,0.7391304347826086,0.21428571428571427,0.7299,0.3,0.0,False
citeseer,2,0.6666666666666666,0.6981981981981982,0.7432432432432432,0.7477477477477478,0.03153153153153154,0.07657657657657657,0.08108108108108114,36,26,5,0.8387096774193549,0.1388888888888889,0.67668,0.3,0.0,False
pubmed,0,0.8653651115618661,0.8770283975659229,0.8316430020283976,0.8156693711967545,0.01166328600405675,-0.03372210953346855,-0.049695740365111596,126,84,38,0.6885245901639344,0.30158730158730157,0.92235,0.3,0.0,False
pubmed,1,0.8765212981744422,0.8891987829614605,0.8321501014198783,0.8149087221095335,0.012677484787018245,-0.04437119675456391,-0.061612576064908775,114,80,30,0.7272727272727273,0.2631578947368421,0.91456,0.3,0.0,False
pubmed,2,0.8696754563894523,0.8833671399594321,0.8247971602434077,0.8121196754563894,0.01369168356997974,-0.04487829614604466,-0.057555780933062906,119,85,31,0.7327586206896551,0.2605042016806723,0.92678,0.3,0.0,False
chameleon,0,0.45614035087719296,0.45614035087719296,0.5833333333333334,0.4824561403508772,0.0,0.1271929824561404,0.026315789473684237,5,2,2,0.5,0.4,0.56885,0.3,0.0,False
chameleon,1,0.46710526315789475,0.46710526315789475,0.5877192982456141,0.4824561403508772,0.0,0.12061403508771934,0.015350877192982448,0,0,0,0.0,0.0,0.05,0.6,0.0,False
chameleon,2,0.4473684210526316,0.4517543859649123,0.4956140350877193,0.4451754385964912,0.004385964912280715,0.0482456140350877,-0.0021929824561403577,8,2,0,1.0,0.0,0.1,0.4,0.0,False
texas,0,0.7567567567567568,0.7567567567567568,0.6756756756756757,0.6216216216216216,0.0,-0.08108108108108114,-0.1351351351351352,2,0,0,0.0,0.0,0.05,0.3,0.0,False
texas,1,0.9459459459459459,0.972972972972973,0.5675675675675675,0.5405405405405406,0.027027027027027084,-0.3783783783783784,-0.4054054054054054,1,1,0,1.0,0.0,0.05,0.3,0.0,False
texas,2,0.8378378378378378,0.8378378378378378,0.4864864864864865,0.4864864864864865,0.0,-0.3513513513513513,-0.3513513513513513,0,0,0,0.0,0.0,0.05,0.3,0.0,False
wisconsin,0,0.803921568627451,0.803921568627451,0.5490196078431373,0.5686274509803921,0.0,-0.2549019607843137,-0.23529411764705888,0,0,0,0.0,0.0,0.05,0.3,0.0,False
wisconsin,1,0.7843137254901961,0.7843137254901961,0.6666666666666666,0.5882352941176471,0.0,-0.11764705882352944,-0.196078431372549,0,0,0,0.0,0.0,0.05,0.3,0.0,False
wisconsin,2,0.803921568627451,0.803921568627451,0.5294117647058824,0.6274509803921569,0.0,-0.27450980392156865,-0.17647058823529416,0,0,0,0.0,0.0,0.05,0.3,0.0,False
