dataset,split,bucket,method,bucket_size,bucket_acc,delta_vs_mlp
chameleon,0,low,MLP,152,0.39473684210526316,0.0
chameleon,0,low,FINAL_V3_CANONICAL,152,0.39473684210526316,0.0
chameleon,0,low,FINAL_V3_LOCAL_AGREEMENT,152,0.39473684210526316,0.0
chameleon,0,medium,MLP,152,0.3815789473684211,0.0
chameleon,0,medium,FINAL_V3_CANONICAL,152,0.3815789473684211,0.0
chameleon,0,medium,FINAL_V3_LOCAL_AGREEMENT,152,0.3815789473684211,0.0
chameleon,0,high,MLP,152,0.5723684210526315,0.0
chameleon,0,high,FINAL_V3_CANONICAL,152,0.5723684210526315,0.0
chameleon,0,high,FINAL_V3_LOCAL_AGREEMENT,152,0.5723684210526315,0.0
chameleon,1,low,MLP,152,0.42105263157894735,0.0
chameleon,1,low,FINAL_V3_CANONICAL,152,0.42105263157894735,0.0
chameleon,1,low,FINAL_V3_LOCAL_AGREEMENT,152,0.42105263157894735,0.0
chameleon,1,medium,MLP,152,0.4144736842105263,0.0
chameleon,1,medium,FINAL_V3_CANONICAL,152,0.4144736842105263,0.0
chameleon,1,medium,FINAL_V3_LOCAL_AGREEMENT,152,0.4144736842105263,0.0
chameleon,1,high,MLP,152,0.6052631578947368,0.0
chameleon,1,high,FINAL_V3_CANONICAL,152,0.6052631578947368,0.0
chameleon,1,high,FINAL_V3_LOCAL_AGREEMENT,152,0.6052631578947368,0.0
chameleon,2,low,MLP,152,0.375,0.0
chameleon,2,low,FINAL_V3_CANONICAL,152,0.3881578947368421,0.01315789473684209
chameleon,2,low,FINAL_V3_LOCAL_AGREEMENT,152,0.3815789473684211,0.006578947368421073
chameleon,2,medium,MLP,152,0.3815789473684211,0.0
chameleon,2,medium,FINAL_V3_CANONICAL,152,0.3815789473684211,0.0
chameleon,2,medium,FINAL_V3_LOCAL_AGREEMENT,152,0.3815789473684211,0.0
chameleon,2,high,MLP,152,0.5723684210526315,0.0
chameleon,2,high,FINAL_V3_CANONICAL,152,0.5723684210526315,0.0
chameleon,2,high,FINAL_V3_LOCAL_AGREEMENT,152,0.5723684210526315,0.0
texas,0,low,MLP,12,0.4166666666666667,0.0
texas,0,low,FINAL_V3_CANONICAL,12,0.4166666666666667,0.0
texas,0,low,FINAL_V3_LOCAL_AGREEMENT,12,0.4166666666666667,0.0
texas,0,medium,MLP,13,0.9230769230769231,0.0
texas,0,medium,FINAL_V3_CANONICAL,13,0.9230769230769231,0.0
texas,0,medium,FINAL_V3_LOCAL_AGREEMENT,13,0.9230769230769231,0.0
texas,0,high,MLP,12,0.9166666666666666,0.0
texas,0,high,FINAL_V3_CANONICAL,12,0.9166666666666666,0.0
texas,0,high,FINAL_V3_LOCAL_AGREEMENT,12,0.9166666666666666,0.0
texas,1,low,MLP,13,0.9230769230769231,0.0
texas,1,low,FINAL_V3_CANONICAL,13,1.0,0.07692307692307687
texas,1,low,FINAL_V3_LOCAL_AGREEMENT,13,1.0,0.07692307692307687
texas,1,medium,MLP,11,0.9090909090909091,0.0
texas,1,medium,FINAL_V3_CANONICAL,11,0.9090909090909091,0.0
texas,1,medium,FINAL_V3_LOCAL_AGREEMENT,11,0.9090909090909091,0.0
texas,1,high,MLP,13,1.0,0.0
texas,1,high,FINAL_V3_CANONICAL,13,1.0,0.0
texas,1,high,FINAL_V3_LOCAL_AGREEMENT,13,1.0,0.0
texas,2,low,MLP,12,0.8333333333333334,0.0
texas,2,low,FINAL_V3_CANONICAL,12,0.8333333333333334,0.0
texas,2,low,FINAL_V3_LOCAL_AGREEMENT,12,0.8333333333333334,0.0
texas,2,medium,MLP,13,0.7692307692307693,0.0
texas,2,medium,FINAL_V3_CANONICAL,13,0.7692307692307693,0.0
texas,2,medium,FINAL_V3_LOCAL_AGREEMENT,13,0.7692307692307693,0.0
texas,2,high,MLP,12,0.9166666666666666,0.0
texas,2,high,FINAL_V3_CANONICAL,12,0.9166666666666666,0.0
texas,2,high,FINAL_V3_LOCAL_AGREEMENT,12,0.9166666666666666,0.0
citeseer,0,low,MLP,222,0.3783783783783784,0.0
citeseer,0,low,FINAL_V3_CANONICAL,222,0.46396396396396394,0.08558558558558554
citeseer,0,low,FINAL_V3_LOCAL_AGREEMENT,222,0.46396396396396394,0.08558558558558554
citeseer,0,medium,MLP,222,0.6756756756756757,0.0
citeseer,0,medium,FINAL_V3_CANONICAL,222,0.6756756756756757,0.0
citeseer,0,medium,FINAL_V3_LOCAL_AGREEMENT,222,0.6756756756756757,0.0
citeseer,0,high,MLP,222,0.9099099099099099,0.0
citeseer,0,high,FINAL_V3_CANONICAL,222,0.9099099099099099,0.0
citeseer,0,high,FINAL_V3_LOCAL_AGREEMENT,222,0.9099099099099099,0.0
citeseer,1,low,MLP,222,0.42342342342342343,0.0
citeseer,1,low,FINAL_V3_CANONICAL,222,0.49099099099099097,0.06756756756756754
citeseer,1,low,FINAL_V3_LOCAL_AGREEMENT,222,0.49099099099099097,0.06756756756756754
citeseer,1,medium,MLP,222,0.7792792792792793,0.0
citeseer,1,medium,FINAL_V3_CANONICAL,222,0.7792792792792793,0.0
citeseer,1,medium,FINAL_V3_LOCAL_AGREEMENT,222,0.7792792792792793,0.0
citeseer,1,high,MLP,222,0.8693693693693694,0.0
citeseer,1,high,FINAL_V3_CANONICAL,222,0.8693693693693694,0.0
citeseer,1,high,FINAL_V3_LOCAL_AGREEMENT,222,0.8693693693693694,0.0
citeseer,2,low,MLP,222,0.4009009009009009,0.0
citeseer,2,low,FINAL_V3_CANONICAL,222,0.46396396396396394,0.06306306306306303
citeseer,2,low,FINAL_V3_LOCAL_AGREEMENT,222,0.46396396396396394,0.06306306306306303
citeseer,2,medium,MLP,222,0.7702702702702703,0.0
citeseer,2,medium,FINAL_V3_CANONICAL,222,0.7702702702702703,0.0
citeseer,2,medium,FINAL_V3_LOCAL_AGREEMENT,222,0.7702702702702703,0.0
citeseer,2,high,MLP,222,0.8423423423423423,0.0
citeseer,2,high,FINAL_V3_CANONICAL,222,0.8423423423423423,0.0
citeseer,2,high,FINAL_V3_LOCAL_AGREEMENT,222,0.8423423423423423,0.0
cora,0,low,MLP,166,0.41566265060240964,0.0
cora,0,low,FINAL_V3_CANONICAL,166,0.5060240963855421,0.09036144578313249
cora,0,low,FINAL_V3_LOCAL_AGREEMENT,166,0.5060240963855421,0.09036144578313249
cora,0,medium,MLP,165,0.7454545454545455,0.0
cora,0,medium,FINAL_V3_CANONICAL,165,0.7454545454545455,0.0
cora,0,medium,FINAL_V3_LOCAL_AGREEMENT,165,0.7454545454545455,0.0
cora,0,high,MLP,166,0.8975903614457831,0.0
cora,0,high,FINAL_V3_CANONICAL,166,0.8975903614457831,0.0
cora,0,high,FINAL_V3_LOCAL_AGREEMENT,166,0.8975903614457831,0.0
cora,1,low,MLP,166,0.42168674698795183,0.0
cora,1,low,FINAL_V3_CANONICAL,166,0.5180722891566265,0.09638554216867468
cora,1,low,FINAL_V3_LOCAL_AGREEMENT,166,0.5180722891566265,0.09638554216867468
cora,1,medium,MLP,165,0.7151515151515152,0.0
cora,1,medium,FINAL_V3_CANONICAL,165,0.7151515151515152,0.0
cora,1,medium,FINAL_V3_LOCAL_AGREEMENT,165,0.7151515151515152,0.0
cora,1,high,MLP,166,0.9578313253012049,0.0
cora,1,high,FINAL_V3_CANONICAL,166,0.9578313253012049,0.0
cora,1,high,FINAL_V3_LOCAL_AGREEMENT,166,0.9578313253012049,0.0
cora,2,low,MLP,166,0.4578313253012048,0.0
cora,2,low,FINAL_V3_CANONICAL,166,0.5542168674698795,0.09638554216867473
cora,2,low,FINAL_V3_LOCAL_AGREEMENT,166,0.5542168674698795,0.09638554216867473
cora,2,medium,MLP,165,0.7878787878787878,0.0
cora,2,medium,FINAL_V3_CANONICAL,165,0.7878787878787878,0.0
cora,2,medium,FINAL_V3_LOCAL_AGREEMENT,165,0.7878787878787878,0.0
cora,2,high,MLP,166,0.9457831325301205,0.0
cora,2,high,FINAL_V3_CANONICAL,166,0.9457831325301205,0.0
cora,2,high,FINAL_V3_LOCAL_AGREEMENT,166,0.9457831325301205,0.0
pubmed,0,low,MLP,1315,0.6958174904942965,0.0
pubmed,0,low,FINAL_V3_CANONICAL,1315,0.7330798479087453,0.03726235741444872
pubmed,0,low,FINAL_V3_LOCAL_AGREEMENT,1315,0.7330798479087453,0.03726235741444872
pubmed,0,medium,MLP,1314,0.9254185692541856,0.0
pubmed,0,medium,FINAL_V3_CANONICAL,1314,0.9254185692541856,0.0
pubmed,0,medium,FINAL_V3_LOCAL_AGREEMENT,1314,0.9254185692541856,0.0
pubmed,0,high,MLP,1315,0.9809885931558935,0.0
pubmed,0,high,FINAL_V3_CANONICAL,1315,0.9809885931558935,0.0
pubmed,0,high,FINAL_V3_LOCAL_AGREEMENT,1315,0.9809885931558935,0.0
pubmed,1,low,MLP,1315,0.7254752851711027,0.0
pubmed,1,low,FINAL_V3_CANONICAL,1315,0.7566539923954373,0.03117870722433458
pubmed,1,low,FINAL_V3_LOCAL_AGREEMENT,1315,0.7566539923954373,0.03117870722433458
pubmed,1,medium,MLP,1314,0.9383561643835616,0.0
pubmed,1,medium,FINAL_V3_CANONICAL,1314,0.9383561643835616,0.0
pubmed,1,medium,FINAL_V3_LOCAL_AGREEMENT,1314,0.9383561643835616,0.0
pubmed,1,high,MLP,1315,0.9825095057034221,0.0
pubmed,1,high,FINAL_V3_CANONICAL,1315,0.9825095057034221,0.0
pubmed,1,high,FINAL_V3_LOCAL_AGREEMENT,1315,0.9825095057034221,0.0
pubmed,2,low,MLP,1315,0.7064638783269962,0.0
pubmed,2,low,FINAL_V3_CANONICAL,1315,0.7460076045627376,0.03954372623574143
pubmed,2,low,FINAL_V3_LOCAL_AGREEMENT,1315,0.7460076045627376,0.03954372623574143
pubmed,2,medium,MLP,1314,0.9269406392694064,0.0
pubmed,2,medium,FINAL_V3_CANONICAL,1314,0.9269406392694064,0.0
pubmed,2,medium,FINAL_V3_LOCAL_AGREEMENT,1314,0.9269406392694064,0.0
pubmed,2,high,MLP,1315,0.9779467680608365,0.0
pubmed,2,high,FINAL_V3_CANONICAL,1315,0.9779467680608365,0.0
pubmed,2,high,FINAL_V3_LOCAL_AGREEMENT,1315,0.9779467680608365,0.0
wisconsin,0,low,MLP,17,0.5882352941176471,0.0
wisconsin,0,low,FINAL_V3_CANONICAL,17,0.5882352941176471,0.0
wisconsin,0,low,FINAL_V3_LOCAL_AGREEMENT,17,0.5882352941176471,0.0
wisconsin,0,medium,MLP,17,0.8823529411764706,0.0
wisconsin,0,medium,FINAL_V3_CANONICAL,17,0.8823529411764706,0.0
wisconsin,0,medium,FINAL_V3_LOCAL_AGREEMENT,17,0.8823529411764706,0.0
wisconsin,0,high,MLP,17,0.9411764705882353,0.0
wisconsin,0,high,FINAL_V3_CANONICAL,17,0.9411764705882353,0.0
wisconsin,0,high,FINAL_V3_LOCAL_AGREEMENT,17,0.9411764705882353,0.0
wisconsin,1,low,MLP,17,0.4117647058823529,0.0
wisconsin,1,low,FINAL_V3_CANONICAL,17,0.4117647058823529,0.0
wisconsin,1,low,FINAL_V3_LOCAL_AGREEMENT,17,0.4117647058823529,0.0
wisconsin,1,medium,MLP,17,0.9411764705882353,0.0
wisconsin,1,medium,FINAL_V3_CANONICAL,17,0.9411764705882353,0.0
wisconsin,1,medium,FINAL_V3_LOCAL_AGREEMENT,17,0.9411764705882353,0.0
wisconsin,1,high,MLP,17,1.0,0.0
wisconsin,1,high,FINAL_V3_CANONICAL,17,1.0,0.0
wisconsin,1,high,FINAL_V3_LOCAL_AGREEMENT,17,1.0,0.0
wisconsin,2,low,MLP,17,0.5882352941176471,0.0
wisconsin,2,low,FINAL_V3_CANONICAL,17,0.5882352941176471,0.0
