method,dataset,train_fraction,mean_delta_vs_mlp,std_delta_vs_mlp,n_splits
APPNP,chameleon,0.1,0.003728,0.037759,10
CLP,chameleon,0.1,-0.044079,0.040231,10
CORRECT_AND_SMOOTH,chameleon,0.1,0.062281,0.033772,10
FINAL_V3,chameleon,0.1,-0.000658,0.002080,10
GRAPHSAGE,chameleon,0.1,0.079386,0.045496,10
SGC,chameleon,0.1,0.133772,0.053816,10
APPNP,chameleon,0.2,0.025219,0.040161,10
CLP,chameleon,0.2,-0.046491,0.035433,10
CORRECT_AND_SMOOTH,chameleon,0.2,0.047149,0.025264,10
FINAL_V3,chameleon,0.2,0.001316,0.003896,10
GRAPHSAGE,chameleon,0.2,0.130263,0.051567,10
SGC,chameleon,0.2,0.184211,0.044380,10
APPNP,chameleon,0.4,0.057018,0.030562,10
CLP,chameleon,0.4,-0.048026,0.057003,10
CORRECT_AND_SMOOTH,chameleon,0.4,0.054167,0.034396,10
FINAL_V3,chameleon,0.4,-0.001096,0.003467,10
GRAPHSAGE,chameleon,0.4,0.146930,0.030667,10
SGC,chameleon,0.4,0.190570,0.036847,10
APPNP,chameleon,1.0,0.061184,0.019214,10
CLP,chameleon,1.0,0.004605,0.038032,10
CORRECT_AND_SMOOTH,chameleon,1.0,0.024561,0.024525,10
FINAL_V3,chameleon,1.0,-0.000219,0.004788,10
GRAPHSAGE,chameleon,1.0,0.167105,0.026352,10
SGC,chameleon,1.0,0.158772,0.025579,10
APPNP,citeseer,0.1,0.206030,0.034613,10
CLP,citeseer,0.1,0.076286,0.047671,10
CORRECT_AND_SMOOTH,citeseer,0.1,0.221750,0.042266,10
FINAL_V3,citeseer,0.1,0.020890,0.007734,10
GRAPHSAGE,citeseer,0.1,0.197129,0.031190,10
SGC,citeseer,0.1,0.213535,0.033200,10
APPNP,citeseer,0.2,0.163199,0.031539,10
CLP,citeseer,0.2,0.125344,0.025391,10
CORRECT_AND_SMOOTH,citeseer,0.2,0.170877,0.027177,10
FINAL_V3,citeseer,0.2,0.030777,0.010740,10
GRAPHSAGE,citeseer,0.2,0.155800,0.028619,10
SGC,citeseer,0.2,0.169505,0.030565,10
APPNP,citeseer,0.4,0.130619,0.013874,10
CLP,citeseer,0.4,0.104903,0.011282,10
CORRECT_AND_SMOOTH,citeseer,0.4,0.138897,0.014442,10
FINAL_V3,citeseer,0.4,0.024987,0.006667,10
GRAPHSAGE,citeseer,0.4,0.123154,0.013859,10
SGC,citeseer,0.4,0.129116,0.017501,10
APPNP,citeseer,1.0,0.086608,0.019230,10
CLP,citeseer,1.0,0.070952,0.018352,10
CORRECT_AND_SMOOTH,citeseer,1.0,0.092635,0.019260,10
FINAL_V3,citeseer,1.0,0.024815,0.009758,10
GRAPHSAGE,citeseer,1.0,0.080024,0.018614,10
SGC,citeseer,1.0,0.084549,0.023105,10
APPNP,cora,0.1,0.312475,0.023599,10
CLP,cora,0.1,0.099195,0.071686,10
CORRECT_AND_SMOOTH,cora,0.1,0.344266,0.030844,10
FINAL_V3,cora,0.1,0.025352,0.010092,10
GRAPHSAGE,cora,0.1,0.279678,0.022566,10
SGC,cora,0.1,0.287928,0.029103,10
APPNP,cora,0.2,0.283501,0.030076,10
CLP,cora,0.2,0.153521,0.033696,10
CORRECT_AND_SMOOTH,cora,0.2,0.298994,0.027493,10
FINAL_V3,cora,0.2,0.031590,0.008217,10
GRAPHSAGE,cora,0.2,0.261972,0.029308,10
SGC,cora,0.2,0.269416,0.026242,10
APPNP,cora,0.4,0.233400,0.025345,10
