method,dataset,train_fraction,mean_delta_vs_mlp,std_delta_vs_mlp,n_splits
CLP,cora,0.4,0.146881,0.019206,10
CORRECT_AND_SMOOTH,cora,0.4,0.242254,0.026409,10
FINAL_V3,cora,0.4,0.032394,0.007790,10
GRAPHSAGE,cora,0.4,0.227767,0.018533,10
SGC,cora,0.4,0.223541,0.021430,10
APPNP,cora,1.0,0.175050,0.034773,10
CLP,cora,1.0,0.119718,0.031275,10
CORRECT_AND_SMOOTH,cora,1.0,0.172636,0.028578,10
FINAL_V3,cora,1.0,0.034205,0.012512,10
GRAPHSAGE,cora,1.0,0.164185,0.032433,10
SGC,cora,1.0,0.162374,0.030983,10
APPNP,pubmed,0.1,0.076749,0.009281,10
CLP,pubmed,0.1,0.060015,0.005170,10
CORRECT_AND_SMOOTH,pubmed,0.1,0.084001,0.008327,10
FINAL_V3,pubmed,0.1,0.013565,0.002703,10
GRAPHSAGE,pubmed,0.1,0.058950,0.008785,10
SGC,pubmed,0.1,0.058266,0.008906,10
APPNP,pubmed,0.2,0.053093,0.006415,10
CLP,pubmed,0.2,0.040086,0.005186,10
CORRECT_AND_SMOOTH,pubmed,0.2,0.052865,0.009502,10
FINAL_V3,pubmed,0.2,0.012931,0.002452,10
GRAPHSAGE,pubmed,0.2,0.041962,0.006056,10
SGC,pubmed,0.2,0.030147,0.007991,10
APPNP,pubmed,0.4,0.030553,0.009227,10
CLP,pubmed,0.4,0.022591,0.007360,10
CORRECT_AND_SMOOTH,pubmed,0.4,0.030680,0.006170,10
FINAL_V3,pubmed,0.4,0.013007,0.003849,10
GRAPHSAGE,pubmed,0.4,0.029640,0.008748,10
SGC,pubmed,0.4,0.006719,0.010920,10
APPNP,pubmed,1.0,0.008342,0.007544,10
CLP,pubmed,1.0,0.000634,0.004566,10
CORRECT_AND_SMOOTH,pubmed,1.0,0.008900,0.006957,10
FINAL_V3,pubmed,1.0,0.010903,0.002087,10
GRAPHSAGE,pubmed,1.0,0.014275,0.004512,10
SGC,pubmed,1.0,-0.017292,0.008600,10
APPNP,texas,0.1,-0.005405,0.068374,10
CLP,texas,0.1,0.008108,0.097072,10
CORRECT_AND_SMOOTH,texas,0.1,-0.194595,0.210047,10
FINAL_V3,texas,0.1,0.000000,0.018018,10
GRAPHSAGE,texas,0.1,0.032432,0.050643,10
SGC,texas,0.1,0.010811,0.073411,10
APPNP,texas,0.2,-0.070270,0.089366,10
CLP,texas,0.2,-0.005405,0.128548,10
CORRECT_AND_SMOOTH,texas,0.2,-0.091892,0.099671,10
FINAL_V3,texas,0.2,-0.002703,0.008547,10
GRAPHSAGE,texas,0.2,-0.005405,0.104908,10
SGC,texas,0.2,-0.059459,0.109451,10
APPNP,texas,0.4,-0.108108,0.090987,10
CLP,texas,0.4,0.035135,0.103545,10
CORRECT_AND_SMOOTH,texas,0.4,-0.048649,0.128548,10
FINAL_V3,texas,0.4,0.000000,0.012741,10
GRAPHSAGE,texas,0.4,0.032432,0.107203,10
SGC,texas,0.4,-0.135135,0.084512,10
APPNP,texas,1.0,-0.216216,0.095342,10
CLP,texas,1.0,-0.010811,0.075590,10
CORRECT_AND_SMOOTH,texas,1.0,-0.016216,0.092051,10
FINAL_V3,texas,1.0,0.005405,0.017093,10
GRAPHSAGE,texas,1.0,0.018919,0.118871,10
SGC,texas,1.0,-0.237838,0.096863,10
