method,dataset,train_fraction,mean_test_acc,std_test_acc,n_splits
APPNP,chameleon,0.1,0.361623,0.032861,10
CLP,chameleon,0.1,0.313816,0.043816,10
CORRECT_AND_SMOOTH,chameleon,0.1,0.420175,0.037704,10
FINAL_V3,chameleon,0.1,0.357237,0.033217,10
GRAPHSAGE,chameleon,0.1,0.437281,0.042350,10
MLP_ONLY,chameleon,0.1,0.357895,0.032524,10
SGC,chameleon,0.1,0.491667,0.051126,10
APPNP,chameleon,0.2,0.395395,0.025260,10
CLP,chameleon,0.2,0.323684,0.035060,10
CORRECT_AND_SMOOTH,chameleon,0.2,0.417325,0.017907,10
FINAL_V3,chameleon,0.2,0.371491,0.026962,10
GRAPHSAGE,chameleon,0.2,0.500439,0.029346,10
MLP_ONLY,chameleon,0.2,0.370175,0.027367,10
SGC,chameleon,0.2,0.554386,0.030225,10
APPNP,chameleon,0.4,0.458114,0.024298,10
CLP,chameleon,0.4,0.353070,0.052581,10
CORRECT_AND_SMOOTH,chameleon,0.4,0.455263,0.026562,10
FINAL_V3,chameleon,0.4,0.400000,0.022958,10
GRAPHSAGE,chameleon,0.4,0.548026,0.030935,10
MLP_ONLY,chameleon,0.4,0.401096,0.024992,10
SGC,chameleon,0.4,0.591667,0.029400,10
APPNP,chameleon,1.0,0.527632,0.025390,10
CLP,chameleon,1.0,0.471053,0.041271,10
CORRECT_AND_SMOOTH,chameleon,1.0,0.491009,0.025332,10
FINAL_V3,chameleon,1.0,0.466228,0.024403,10
GRAPHSAGE,chameleon,1.0,0.633553,0.025332,10
MLP_ONLY,chameleon,1.0,0.466447,0.022437,10
SGC,chameleon,1.0,0.625219,0.019408,10
APPNP,citeseer,0.1,0.698696,0.016462,10
CLP,citeseer,0.1,0.568952,0.049039,10
CORRECT_AND_SMOOTH,citeseer,0.1,0.714416,0.017731,10
FINAL_V3,citeseer,0.1,0.513556,0.034893,10
GRAPHSAGE,citeseer,0.1,0.689795,0.020460,10
MLP_ONLY,citeseer,0.1,0.492666,0.032540,10
SGC,citeseer,0.1,0.706201,0.018545,10
APPNP,citeseer,0.2,0.721044,0.018086,10
CLP,citeseer,0.2,0.683189,0.020249,10
CORRECT_AND_SMOOTH,citeseer,0.2,0.728723,0.012404,10
FINAL_V3,citeseer,0.2,0.588623,0.027931,10
GRAPHSAGE,citeseer,0.2,0.713645,0.014030,10
MLP_ONLY,citeseer,0.2,0.557845,0.028659,10
SGC,citeseer,0.2,0.727350,0.022870,10
APPNP,citeseer,0.4,0.744873,0.017819,10
CLP,citeseer,0.4,0.719157,0.018575,10
CORRECT_AND_SMOOTH,citeseer,0.4,0.753152,0.013912,10
FINAL_V3,citeseer,0.4,0.639242,0.017115,10
