dataset,threshold,n_runs,mean_selective_test_acc,std_selective_test_acc,mean_delta_vs_mlp,std_delta_vs_mlp,wins_vs_mlp,losses_vs_mlp,ties_vs_mlp,avg_uncertain,avg_changed
citeseer,0.03,10,0.6901807467845203,0.017968844093348205,0.0026382427123310404,0.0031350144743674782,8,2,0,0.012439798288854893,0.006991897557935294
citeseer,0.05,10,0.6919825485863221,0.017341540930179356,0.004440044514132846,0.00400155697267344,9,1,0,0.020225650178480367,0.009994900560938297
citeseer,0.08,10,0.6950067992520823,0.016570556561514797,0.0074642951798929436,0.0051623107368734674,9,1,0,0.03238710408521729,0.01567865034846167
citeseer,0.12,10,0.6991033486316505,0.016610175836185223,0.011560844559461192,0.004815449378959511,10,0,0,0.048065046178253724,0.021705195761799533
citeseer,0.18,10,0.7039931440874837,0.015365891850442598,0.016450640015294393,0.005164426937120271,10,0,0,0.073523995693807,0.03067029293444387
citeseer,0.25,10,0.706652643209247,0.01645922401944142,0.01911013913705766,0.005849608914833421,10,0,0,0.09505779364269931,0.03596804351521333
citeseer,0.35,10,0.7106202901014221,0.01622045902247356,0.023077786029232838,0.0052701895498175316,10,0,0,0.1333637883166185,0.04371069182389937
citeseer,0.5,10,0.7136657884299394,0.017515530536774158,0.02612328435775003,0.005720720662755528,10,0,0,0.18338078644682418,0.04915859255481897
citeseer,0.65,10,0.7141162388803899,0.017245016746751482,0.026573734808200477,0.005635579422627095,10,0,0,0.24611734375885322,0.050209643605870026
cora,0.03,10,0.7120724346076459,0.024319455988593756,0.004024138632914431,0.0028455011177249308,9,1,0,0.013279678068410464,0.006237424547283703
cora,0.05,10,0.7126760563380282,0.024074343679913124,0.004627760363296718,0.003250603969143237,9,1,0,0.01750503018108652,0.008048289738430582
cora,0.08,10,0.7152917505030181,0.023997707126512193,0.007243454528286652,0.0037318426899766153,10,0,0,0.02857142857142857,0.011871227364185109
cora,0.12,10,0.7185110663983904,0.02476484385544418,0.010462770423658885,0.0055322911667384745,9,1,0,0.04446680080482897,0.019114688128772633
cora,0.18,10,0.7243460764587525,0.02346459515028291,0.016297780484021064,0.006132703105753116,10,0,0,0.06639839034205232,0.026156941649899394
cora,0.25,10,0.7301810865191147,0.023627077022515156,0.022132790544383264,0.006911700282935618,10,0,0,0.09014084507042253,0.032796780684104625
cora,0.35,10,0.7354124748490947,0.02319126244511152,0.027364178874363133,0.0065631862248359055,10,0,0,0.12334004024144869,0.03822937625754527
cora,0.5,10,0.7396378269617706,0.022838573237284037,0.03158953098703917,0.006172183090373216,10,0,0,0.17062374245472836,0.04426559356136821
cora,0.65,10,0.740241448692153,0.02277200256681888,0.03219315271742147,0.005691005254362656,10,0,0,0.23098591549295772,0.044869215291750496
