dataset,threshold,avg_uncertain,avg_changed,mean_delta_vs_mlp
citeseer,0.03,0.012439798288854893,0.006991897557935294,0.0026382427123310404
citeseer,0.05,0.020225650178480367,0.009994900560938297,0.004440044514132846
citeseer,0.08,0.03238710408521729,0.01567865034846167,0.0074642951798929436
citeseer,0.12,0.048065046178253724,0.021705195761799533,0.011560844559461192
citeseer,0.18,0.073523995693807,0.03067029293444387,0.016450640015294393
citeseer,0.25,0.09505779364269931,0.03596804351521333,0.01911013913705766
citeseer,0.35,0.1333637883166185,0.04371069182389937,0.023077786029232838
citeseer,0.5,0.18338078644682418,0.04915859255481897,0.02612328435775003
citeseer,0.65,0.24611734375885322,0.050209643605870026,0.026573734808200477
cora,0.03,0.013279678068410464,0.006237424547283703,0.004024138632914431
cora,0.05,0.01750503018108652,0.008048289738430582,0.004627760363296718
cora,0.08,0.02857142857142857,0.011871227364185109,0.007243454528286652
cora,0.12,0.04446680080482897,0.019114688128772633,0.010462770423658885
cora,0.18,0.06639839034205232,0.026156941649899394,0.016297780484021064
cora,0.25,0.09014084507042253,0.032796780684104625,0.022132790544383264
cora,0.35,0.12334004024144869,0.03822937625754527,0.027364178874363133
cora,0.5,0.17062374245472836,0.04426559356136821,0.03158953098703917
cora,0.65,0.23098591549295772,0.044869215291750496,0.03219315271742147
