dataset,mlp_only_mean,mlp_only_std,mlp_only_runtime,prop_only_mean,prop_only_std,prop_only_runtime,selective_graph_correction_mean,selective_graph_correction_std,selective_graph_correction_runtime
cora,0.7078470846017202,0.02080266142907164,0.9412836731023465,0.8173038229376258,0.022961146705902487,35.41033067146782,0.7431924882629108,0.020751243075662576,0.10853413269602849
citeseer,0.6857621828715007,0.020375234325940995,1.6459623438015114,0.6902834438211797,0.02788858976864144,89.13840136646371,0.7101913233988706,0.022335899051753233,0.21463815132932115
chameleon,0.4591374297936757,0.01847391523506919,0.9640917839346609,0.3960526315789474,0.037850817900246976,49.96562519603079,0.4598684210526315,0.019451725541754887,0.28291561756729305
texas,0.7792792856693268,0.05542553938307913,0.22041503983200528,0.5684684684684683,0.09905404381188776,1.3622889884660254,0.7774774774774775,0.05655620221880903,0.006308487040223553
actor,0.34208333293596904,0.009293926319911043,1.9542229191031462,0.32256578947368425,0.019201173822901697,75.90893893746252,0.3418859649122807,0.008782887892324908,0.3809293252309241
cornell,0.734234235684077,0.04987607998204311,0.21929543506897364,0.5045045045045045,0.08669269710788761,1.3949896151985741,0.7315315315315316,0.04831382946952045,0.006394572496841041
wisconsin,0.8549019694328308,0.04738449118976043,0.24264360626014725,0.5398692810457516,0.08662041964459771,1.8083074993366608,0.8516339869281047,0.04658897617567775,0.008720985432349455
