dataset,config_name,mean_delta_vs_mlp,mean_selective_test_acc,mean_selective_minus_full,mean_delta_vs_mlp_minus_full
cora,full,0.03219315271742147,0.740241448692153,0.0,0.0
cora,no_graph,0.0006036154940814442,0.7086519114688129,-0.031589537223340125,-0.03158953722334003
cora,no_feature_sim,0.031991945473960705,0.7400402414486922,-0.00020120724346084362,-0.0002012072434607673
cora,no_compatibility,0.022937619518226295,0.7309859154929578,-0.009255533199195254,-0.009255533199195178
citeseer,full,0.026573734808200477,0.7141162388803899,0.0,0.0
citeseer,no_graph,0.00030029155362517603,0.6878427956258145,-0.026273443254575368,-0.026273443254575302
citeseer,no_feature_sim,0.026423584658050326,0.7139660887302397,-0.00015015015015018562,-0.00015015015015015093
citeseer,no_compatibility,0.02080428611422349,0.7083467901864128,-0.005769448693977108,-0.005769448693976987
